@relation compressive
@attribute Cement numeric
@attribute "Blast Furnace Slag" numeric
@attribute "Fly Ash" numeric
@attribute Water numeric
@attribute Superplasticizer numeric
@attribute "Coarse Aggregate" numeric
@attribute "Fine Aggregate" numeric
@attribute Age numeric
@attribute class numeric
@attribute group {0,1}
@data
250,0,95.69,187.42,5.53,956.86,861.17,3,13.817099,1
250,0,95.69,187.42,5.53,956.86,861.17,14,24.917663,1
250,0,95.69,187.42,5.53,956.86,861.17,28,29.219993,1
250,0,95.69,187.42,5.53,956.86,861.17,56,38.327971,0
250,0,95.69,187.42,5.53,956.86,861.17,100,42.347616,0
212.52,0,100.37,159.32,8.71,1007.8,903.59,3,13.541309,1
212.52,0,100.37,159.32,8.71,1007.8,903.59,14,26.310404,1
212.52,0,100.37,159.32,8.71,1007.8,903.59,28,31.640054,1
212.52,0,100.37,159.32,8.71,1007.8,903.59,56,42.547564,0
212.52,0,100.37,159.32,8.71,1007.8,903.59,100,42.919881,0
212.57,0,100.39,159.35,10.37,1003.8,903.79,3,13.334466,1
212.57,0,100.39,159.35,10.37,1003.8,903.79,14,25.372717,1
212.57,0,100.39,159.35,10.37,1003.8,903.79,28,37.404073,0
212.57,0,100.39,159.35,10.37,1003.8,903.79,56,44.39536,0
212.57,0,100.39,159.35,10.37,1003.8,903.79,100,47.739318,0
212,0,124.78,159,7.84,1085.4,799.54,3,19.519066,1
212,0,124.78,159,7.84,1085.4,799.54,14,31.350474,1
212,0,124.78,159,7.84,1085.4,799.54,28,38.50034,0
212,0,124.78,159,7.84,1085.4,799.54,56,45.084836,0
212,0,124.78,159,7.84,1085.4,799.54,100,47.815161,0
231.75,0,121.62,173.96,6.72,1056.4,778.45,3,15.437368,1
231.75,0,121.62,173.96,6.72,1056.4,778.45,14,26.772353,1
231.75,0,121.62,173.96,6.72,1056.4,778.45,28,33.729166,1
231.75,0,121.62,173.96,6.72,1056.4,778.45,56,42.699249,0
231.75,0,121.62,173.96,6.72,1056.4,778.45,100,45.836364,0
251.37,0,118.27,188.45,5.75,1028.4,757.73,3,17.22311,1
251.37,0,118.27,188.45,5.75,1028.4,757.73,14,29.930153,1
251.37,0,118.27,188.45,5.75,1028.4,757.73,28,29.654363,1
251.37,0,118.27,188.45,5.75,1028.4,757.73,56,36.969703,0
251.37,0,118.27,188.45,5.75,1028.4,757.73,100,43.581778,0
251.37,0,118.27,188.45,6.35,1028.4,757.73,3,13.120728,1
251.37,0,118.27,188.45,6.35,1028.4,757.73,14,24.428135,1
251.37,0,118.27,188.45,6.35,1028.4,757.73,28,32.660478,1
251.37,0,118.27,188.45,6.35,1028.4,757.73,56,36.638755,0
251.37,0,118.27,188.45,6.35,1028.4,757.73,100,44.209201,0
181.38,0,167.01,169.59,7.56,1055.6,777.8,3,13.624046,1
181.38,0,167.01,169.59,7.56,1055.6,777.8,14,21.601283,1
181.38,0,167.01,169.59,7.56,1055.6,777.8,28,27.772093,1
181.38,0,167.01,169.59,7.56,1055.6,777.8,56,35.570067,0
181.38,0,167.01,169.59,7.56,1055.6,777.8,100,45.367521,0
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3,7.31534,1
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14,21.504756,1
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28,31.267737,1
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56,43.499041,0
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100,48.670111,0
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,7.398077,1
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14,23.511132,1
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,31.116052,1
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56,39.148447,0
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,48.153004,0
290.35,0,96.18,168.08,9.41,961.18,865,3,22.504497,1
290.35,0,96.18,168.08,9.41,961.18,865,14,34.673748,0
290.35,0,96.18,168.08,9.41,961.18,865,28,34.735801,0
290.35,0,96.18,168.08,9.41,961.18,865,56,45.084836,0
290.35,0,96.18,168.08,9.41,961.18,865,100,48.97348,0
277.05,0,97.39,160.6,11.83,973.9,875.61,3,23.138815,1
277.05,0,97.39,160.6,11.83,973.9,875.61,14,41.885667,0
277.05,0,97.39,160.6,11.83,973.9,875.61,28,48.284004,0
277.05,0,97.39,160.6,11.83,973.9,875.61,56,51.035014,0
277.05,0,97.39,160.6,11.83,973.9,875.61,100,55.640713,0
295.71,0,95.64,171.54,8.87,955.14,859.2,3,22.945761,1
295.71,0,95.64,171.54,8.87,955.14,859.2,14,35.232224,0
295.71,0,95.64,171.54,8.87,955.14,859.2,28,39.941345,0
295.71,0,95.64,171.54,8.87,955.14,859.2,56,48.718374,0
295.71,0,95.64,171.54,8.87,955.14,859.2,100,52.041648,0
251.81,0,99.94,146.14,12.35,1006,899.76,3,21.022123,1
251.81,0,99.94,146.14,12.35,1006,899.76,14,33.356849,1
251.81,0,99.94,146.14,12.35,1006,899.76,28,33.942903,1
251.81,0,99.94,146.14,12.35,1006,899.76,56,44.140254,0
251.81,0,99.94,146.14,12.35,1006,899.76,100,45.367521,0
249.1,0,98.75,158.11,12.8,987.76,889.01,3,15.361525,1
249.1,0,98.75,158.11,12.8,987.76,889.01,14,28.682202,1
249.1,0,98.75,158.11,12.8,987.76,889.01,28,30.847156,1
249.1,0,98.75,158.11,12.8,987.76,889.01,56,42.030457,0
249.1,0,98.75,158.11,12.8,987.76,889.01,100,51.055698,0
252.31,0,98.75,146.25,14.17,987.76,889.01,3,21.780547,1
252.31,0,98.75,146.25,14.17,987.76,889.01,14,42.292458,0
252.31,0,98.75,146.25,14.17,987.76,889.01,28,50.600644,0
252.31,0,98.75,146.25,14.17,987.76,889.01,56,55.826872,0
252.31,0,98.75,146.25,14.17,987.76,889.01,100,60.949678,0
246.83,0,125.08,143.3,11.99,1086.8,800.89,3,23.524921,1
246.83,0,125.08,143.3,11.99,1086.8,800.89,14,42.216615,0
246.83,0,125.08,143.3,11.99,1086.8,800.89,28,52.503597,0
246.83,0,125.08,143.3,11.99,1086.8,800.89,56,60.322255,0
246.83,0,125.08,143.3,11.99,1086.8,800.89,100,66.424118,0
275.07,0,121.35,159.48,9.9,1053.6,777.5,3,23.800712,1
275.07,0,121.35,159.48,9.9,1053.6,777.5,14,38.769235,0
275.07,0,121.35,159.48,9.9,1053.6,777.5,28,51.331488,0
275.07,0,121.35,159.48,9.9,1053.6,777.5,56,56.847296,0
275.07,0,121.35,159.48,9.9,1053.6,777.5,100,58.60546,0
297.16,0,117.54,174.8,9.52,1022.8,753.45,3,21.911547,1
297.16,0,117.54,174.8,9.52,1022.8,753.45,14,36.990387,0
297.16,0,117.54,174.8,9.52,1022.8,753.45,28,47.401475,0
297.16,0,117.54,174.8,9.52,1022.8,753.45,56,51.958911,0
297.16,0,117.54,174.8,9.52,1022.8,753.45,100,56.743875,0
213.74,0,174.74,154.79,10.16,1053.5,776.35,3,17.574743,1
213.74,0,174.74,154.79,10.16,1053.5,776.35,14,33.729166,1
213.74,0,174.74,154.79,10.16,1053.5,776.35,28,40.148187,0
213.74,0,174.74,154.79,10.16,1053.5,776.35,56,46.643051,0
213.74,0,174.74,154.79,10.16,1053.5,776.35,100,50.076642,0
213.5,0,174.24,154.61,11.66,1052.3,775.48,3,17.3679,1
213.5,0,174.24,154.61,11.66,1052.3,775.48,14,33.701587,1
213.5,0,174.24,154.61,11.66,1052.3,775.48,28,45.939786,0
213.5,0,174.24,154.61,11.66,1052.3,775.48,56,51.43491,0
213.5,0,174.24,154.61,11.66,1052.3,775.48,100,59.301831,0
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,3,30.44726,1
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,14,47.711739,0
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28,63.142212,0
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56,66.824014,0
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100,66.94812,0
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3,27.420461,1
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,14,35.956173,0
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28,55.509713,0
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,56,61.990787,0
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100,63.528319,0
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3,18.016008,1
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14,38.603761,0
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28,52.200228,0
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56,53.958392,0
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100,56.633559,0
218.85,0,124.13,158.49,11.33,1078.7,794.91,3,15.340841,1
218.85,0,124.13,158.49,11.33,1078.7,794.91,14,26.048403,1
218.85,0,124.13,158.49,11.33,1078.7,794.91,28,30.219733,1
218.85,0,124.13,158.49,11.33,1078.7,794.91,56,37.266178,0
218.85,0,124.13,158.49,11.33,1078.7,794.91,100,46.229366,0
376,0,0,214.6,0,1003.5,762.36,3,16.278528,1
376,0,0,214.6,0,1003.5,762.36,14,25.620928,1
376,0,0,214.6,0,1003.5,762.36,28,31.971002,1
376,0,0,214.6,0,1003.5,762.36,56,36.300911,0
376,0,0,214.6,0,1003.5,762.36,100,43.057776,0
500,0,0,140,4,966,853,28,67.568648,0
475,0,59,142,1.9,1098,641,28,57.226508,0
315,137,0,145,5.9,1130,745,28,81.751169,0
505,0,60,195,0,1030,630,28,64.017847,0
451,0,0,165,11.25,1030,745,28,78.800212,0
516,0,0,162,8.2,801,802,28,41.36856,0
520,0,0,170,5.2,855,855,28,60.280887,0
528,0,0,185,6.86,920,720,28,56.833507,0
520,0,0,175,5.2,870,805,28,51.021224,0
385,0,136,158,20,903,768,28,55.551081,0
500.1,0,0,200,3,1124.4,613.2,28,44.133359,0
450.1,50,0,200,3,1124.4,613.2,28,39.375974,0
397,17.2,158,167,20.8,967,633,28,55.647608,0
333,17.5,163,167,17.9,996,652,28,47.277369,0
334,17.6,158,189,15.3,967,633,28,44.326412,0
405,0,0,175,0,1120,695,28,52.303649,0
200,200,0,190,0,1145,660,28,49.249271,0
516,0,0,162,8.26,801,802,28,41.36856,0
145,116,119,184,5.7,833,880,28,29.15794,1
160,128,122,182,6.4,824,879,28,39.396659,0
234,156,0,189,5.85,981,760,28,39.300132,0
250,180,95,159,9.45,860,800,28,67.865123,0
475,0,0,162,9.5,1044,662,28,58.522723,0
285,190,0,163,7.6,1031,685,28,53.57918,0
356,119,0,160,9.03,1061,657,28,58.998461,0
275,180,120,162,10.35,830,765,28,76.235361,0
500,0,0,151,9,1033,655,28,69.837024,0
165,0.02,143.57,163.81,0,1005.6,900.9,3,14.396259,1
165,128.5,132.1,175.06,8.08,1005.8,746.6,3,19.415644,1
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,3,20.725649,1
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3,14.940945,1
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3,21.291019,1
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3,23.076762,1
167,75.4,167,164.03,7.91,1007.3,770.1,3,15.520105,1
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3,15.816579,1
190.34,0,125.18,166.61,9.88,1079,798.9,3,12.548463,1
250,0,95.69,191.84,5.33,948.9,857.2,3,8.48745,1
213.5,0,174.24,159.21,11.66,1043.6,771.9,3,15.609737,1
194.68,0,100.52,170.17,7.48,998,901.8,3,12.176146,1
251.37,0,118.27,192.94,5.75,1043.6,754.3,3,11.983093,1
