@relation mortgage
@attribute X1MonthCDRate numeric
@attribute X1Y-CMaturityRate numeric
@attribute X3M-Rate-AuctionAverage numeric
@attribute X3M-Rate-SecondaryMarket numeric
@attribute X3Y-CMaturityRate numeric
@attribute X5Y-CMaturityRate numeric
@attribute bankCredit numeric
@attribute currency numeric
@attribute demandDeposits numeric
@attribute federalFunds numeric
@attribute moneyStock numeric
@attribute checkableDeposits numeric
@attribute loansLeases numeric
@attribute savingsDeposits numeric
@attribute tradeCurrencies numeric
@attribute class numeric
@attribute group {0,1}
@data
5.56,96.43,7.07,5.02,4.95,5.56,5.57,4247.3,436.3,387.7,5.45,1080.1,635.4,3119.4,1477.5,5.43,1
5.55,92.69,7.54,5.17,5.17,6.08,6.17,3981.3,412.6,400.6,5.45,1069.2,647.3,2946,1350.7,5.59,1
5.34,84.438,7.52,5.03,5.02,5.75,5.9,3768.2,393.5,403.8,5.3,1083.5,681.7,2783.1,1266.7,5.41,1
4.86,92.123,6.77,4.42,4.4,4.83,4.84,4537.4,466.7,370.8,4.77,1091.9,617.1,3327.4,1639.8,4.67,1
5.39,85.041,8.14,5.12,5.13,6.43,6.6,3686.1,382.2,409.6,5.53,1112.8,720.8,2700,1210.3,5.82,1
13.8,106.67,17.59,13.36,12.79,14.57,14.52,1335,123.6,233.7,13.98,443.7,316.4,1020.3,346.6,14.37,0
7.74,114.792,10.8,7.18,7.11,8.17,8.44,1954,169.5,265.4,7.85,623.7,449.2,1489.7,820.1,7.69,0
8.21,91.564,10.71,7.05,7.03,8.85,9.05,2382,207.5,289.5,8.19,784.7,568.7,1826.7,952.4,8.27,0
3.21,88.58,7.17,3.06,3.04,4.57,5.18,3118.8,322.4,385.7,2.94,1130,800.2,2207.1,1218.7,3.61,1
5.22,83.939,7.32,4.78,4.82,5.28,5.52,3649.4,372.7,395.8,5.17,1116.1,734.9,2654.7,1163.9,5.04,1
7.75,118.877,11.14,7,7.06,8.23,8.55,1922.8,167.8,268.6,8.05,620.9,448.3,1468.6,815.1,7.57,0
3.64,87.402,8.04,3.5,3.5,5.62,6.19,3183.5,333,390,3.49,1144.1,803.4,2223.2,1224.6,4.46,1
5.24,83.867,7.38,4.89,4.89,5.52,5.71,3634.3,373.8,400.9,5.57,1120.9,738.6,2649.9,1170.9,5.15,1
8.22,82.744,9.64,6.78,6.66,7.42,7.69,2752.8,247.2,279.2,7.29,827.4,573.2,2117.8,924.1,6.96,0
4.05,86.79,8.84,3.95,3.8,5.81,6.69,2884.3,273.4,310.9,3.98,941.4,660.9,2113,1114.8,4.25,1
9.25,122.634,13.26,8.87,8.91,10.87,11.31,1594.5,147.8,240.9,9.41,526.1,374.2,1187.8,689,9.81,0
5.27,85.314,7.86,5.01,5,6.09,6.29,3714.5,390.6,400.4,5.22,1083.8,684.5,2749.4,1253.8,5.56,1
3.16,85.059,7.48,3.14,3.1,4.65,5.32,3023.7,306.2,360.7,2.96,1073.6,759.1,2137.9,1206.5,3.61,1
3.22,88.776,7.13,3.06,3.02,4.53,5.14,3114,323.6,386.8,2.99,1131.2,800,2200.3,1219.4,3.61,1
3.1,87.719,6.86,3.08,3.06,4.28,4.82,3073,318.7,381.2,2.97,1119.5,792.9,2176.6,1213.2,3.46,1
4.28,87.644,9.03,4.09,4.06,6.33,7.08,2878.5,272,309.8,4.04,938.1,658.9,2115.4,1104.9,4.73,1
5.57,89.461,7.94,5.03,4.94,6.44,6.6,3912,406.9,397.3,5.43,1067.7,652.1,2895.5,1323.5,5.86,1
8.17,91.007,10.1,7.69,7.7,8.38,8.41,2680.8,233.1,275,8.26,807.9,567.4,2064.6,913.4,8.08,0
7.9,87.546,9.84,7.5,7.43,8.01,8.12,2717.3,237.2,275.9,8.03,814,567.6,2089.7,918.4,7.67,0
5.98,79.448,7.85,5.72,5.69,6.14,6.28,3481.1,368,382.5,5.99,1141.5,764.3,2500.4,1094.7,5.92,1
11.82,103.392,16.94,10.4,10.47,13.46,13.47,1313.6,122.2,230.3,12.04,434.6,308.8,1000.6,343.5,12.32,0
14.88,107.696,17.56,13.85,13.68,14.84,14.73,1338,123.8,231,14.77,440.9,313.4,1023,346.2,14.85,0
5.85,88.047,9.45,5.46,5.46,7.07,7.66,2779.6,257.3,276.7,5.72,850,585.3,2115.3,978.1,6.13,1
4.86,92.011,6.74,4.31,4.35,4.58,4.56,4528.4,465,374.5,4.66,1096.6,623.5,3310.7,1627.6,4.51,1
8.2,115.283,12.74,7.94,7.97,9.48,9.76,1448.5,136,236.1,8.44,489.1,349.3,1093.6,628.3,8.59,0
3.86,85.797,8.6,3.75,3.71,5.83,6.7,2882.3,275.4,313.2,3.8,952.4,669.5,2102.7,1126.9,4.27,1
5.35,83.967,7.78,5.07,5.01,5.97,6.14,3642.7,375.4,404.4,5.3,1126.2,742.1,2665.9,1177.6,5.48,1
16.79,95.394,14.28,14.38,14.31,13.62,13.06,1216.8,115.3,263.2,17.43,410,291.3,918.3,409.8,14.81,0
9.32,121.148,13.72,9.04,9.08,11.14,11.46,1520.9,142.8,238.4,9.54,512.9,365.1,1131.1,681.5,10.21,0
4.86,94.838,7.01,4.47,4.42,5.03,5.05,4486.3,472.1,371.8,4.79,1101.3,621,3306.6,1646.3,4.74,1
13.43,110.532,16.63,11.48,11.54,13.71,13.74,1374.3,127.2,228.2,13.7,447.5,316.2,1054.9,344.3,13,0
6.76,112.535,9.98,6.19,6.07,6.82,7.04,1969.7,171.2,271.6,7.05,638.2,461.7,1508.3,836,6.41,1
6.76,83.996,9.49,6.09,6.05,7.36,7.75,2776.1,256,273.8,6.47,836.4,573.3,2125.4,942.5,6.48,1
3.11,87.174,7.53,2.96,2.91,4.43,5.25,2982.3,300.3,345.6,3.18,1043.9,736,2108.1,1185.6,3.32,1
10.28,119.808,13.67,9.8,9.76,11.99,12.38,1636.9,150.4,242,10.37,534.3,379.5,1226.4,703.6,10.94,0
5.37,84.239,8.34,5.19,5.19,6.55,6.73,3686.2,387.1,411.3,5.39,1105.5,709,2714.5,1228.7,5.95,1
9.77,121.69,13.43,8.94,8.96,11.1,11.54,1575.9,146.7,238.2,8.96,521.5,370.8,1174.4,683.2,10.09,0
5.31,86.157,8.87,5.11,5.07,6.26,6.88,2819,263.4,281.8,5.33,875.7,604.4,2107.4,1014,5.4,1
6.86,94.261,10.63,6.19,6.21,8.41,8.69,2219.8,191,288.9,6.85,745.6,546.7,1692.8,953.7,7.41,0
4.3,86.98,8.55,4.23,4.15,6.29,6.7,3204.7,338.9,385.9,4.27,1144.9,797.8,2245.5,1215,5.31,1
13.59,112.184,16.65,11.52,12.09,13.99,13.98,1373.1,127.3,227.9,13.43,448.1,316.5,1055.1,344.5,13.46,0
8.24,90.812,10.15,7.78,7.77,8.42,8.45,2688.6,234.6,277.8,8.28,815.1,572.1,2068.1,916.2,8.13,0
5.95,90.451,9.62,5.59,5.58,7.42,7.95,2787.8,259.1,280.5,6.34,861.5,594,2109.8,990.6,6.4,1
12.45,92.271,13.78,11.34,11.07,11.65,11.55,1192.7,113.5,265.7,12.64,408.7,291.3,899.8,193.5,11.98,0
13.46,98.188,15.4,12.76,12.63,13.06,12.98,1241.4,117.1,238,14.13,418.9,298.2,935.2,371.4,12.96,0
3.84,87.191,8.32,3.85,3.85,6.08,6.56,3191.2,335.5,387,3.59,1142.3,799.2,2230.2,1224,4.99,1
5.54,89.504,7.47,4.97,4.99,6.03,6.15,3964,410.6,400.9,5.48,1067.3,647.2,2927.1,1334,5.54,1
5.44,83.051,9.19,5.29,5.34,7.45,7.73,3297.1,353.5,386,5.22,1152.2,790.6,2347.5,1165.7,6.58,1
4.06,83.973,8.68,3.84,3.84,5.65,6.41,2868.8,269.8,300.7,4.01,918.9,641.9,2114.8,1079,4.23,1
9.25,119.943,13.42,8.78,8.81,10.96,11.42,1557.3,145.6,238.1,9.42,518.4,368.6,1158.1,677.5,9.92,0
5.99,89.98,9.67,5.58,5.56,7.42,7.96,2799.9,258.9,282.2,5.79,863.6,596.4,2122,986.3,6.36,1
9.33,88.487,10.69,8.49,8.52,9.36,9.32,2471.7,213.7,282.6,9.27,782.9,562.9,1909.7,897.4,9.27,0
10.69,122.221,14.33,9.9,9.81,12.99,13.34,1654.4,151.7,242.7,10.72,540.2,383.5,1251.5,702.8,11.92,0
5.53,92.963,7.46,5.15,5.15,6.06,6.15,4008.8,411.9,399.7,5.62,1068.3,646.8,2946.1,1345.6,5.55,1
8.9,121.015,13.84,7.96,8.07,9.96,10.44,1410.4,131.4,234.2,9.45,471.8,336.5,1079.4,362.5,9.19,0
5.59,98.209,6.98,5,4.94,5.49,5.46,4290.6,440.4,390.5,5.88,1089.1,639.5,3150.6,1495.2,5.38,1
8.18,87.829,10.22,7.45,7.42,8.42,8.47,2400.7,210.4,287.1,8.29,784.5,567.3,1845,935.2,8.13,0
8.02,133.646,13.12,7.62,7.77,10.29,10.79,1795.4,159.8,248.8,7.69,570.3,405.7,1378.2,748.1,8.89,0
11.32,127.632,14.68,10.04,10.04,13.19,13.39,1673.1,152.9,243.4,11.25,543.5,384.5,1267.1,698.6,12.1,0
9.55,131.219,13.85,9.38,9.1,11.33,11.58,1722.8,155,242.6,9.73,546.2,386.7,1315.9,690.1,10.31,0
8.95,93.009,9.87,7.87,7.97,7.89,7.88,2529.5,218.5,279.5,9.24,780.4,553.5,1964.2,862.2,7.96,0
7.72,89.034,10.6,5.49,5.41,8.04,8.4,2247.3,196.5,288.3,6.89,749.5,547.2,1716.6,937.6,7.02,0
5.53,93.962,6.71,4.44,4.38,4.42,4.39,4540.8,458.2,378.2,4.86,1094.1,627.8,3315.6,1595.3,4.46,1
7.94,130.883,12.21,7.17,7.12,9.43,9.85,1858.8,165.5,259.6,7.85,603.2,431.6,1429.7,793.7,8.11,0
9.05,88.935,10.55,8.33,8.38,9.14,9.07,2447.2,213.1,284.2,9.16,783.6,564.2,1888.4,905.2,9.05,0
7.86,118.571,11.58,7.15,7.18,8.75,9.17,1908.8,168,264.1,7.71,615,442.1,1461.6,811.8,7.87,0
5.96,77.751,7.71,5.64,5.55,5.83,5.98,3506.9,368.6,383.4,6.02,1144.9,767,2519.6,1095.8,5.71,1
6.33,104.108,10.4,5.72,5.78,6.82,7.01,2019.5,175,284.1,6.42,674.8,491.9,1536,885.3,6.25,1
6.01,88.755,9.48,5.59,5.58,7.29,7.86,2787.1,257.7,280.6,5.91,856.6,591.2,2118.5,980,6.3,1
4.75,84.356,8.48,4.61,4.56,6.45,6.83,3272.6,346.6,388.1,4.72,1153.8,798,2306.9,1193.8,5.56,1
8.55,117.327,13.66,8.28,8.14,10.04,10.31,1416.4,132.1,233.7,8.69,473.8,338,1082.2,365.5,9.26,0
8.16,88.499,10.28,7.36,7.4,8.43,8.52,2401.2,210.1,286.7,8.27,783.5,566.5,1847.1,935,8.12,0
3.08,85.774,7.52,3,2.99,4.48,5.28,3003.2,304.2,357.6,3.01,1066.4,754.2,2123.8,1200.8,3.4,1
5.56,89.951,7.85,4.93,4.91,6.32,6.48,3915.5,407.5,398.5,5.54,1064.6,648.2,2899.9,1327.3,5.76,1
9.14,118.297,13.6,8.83,8.79,10.95,11.36,1536.4,144.1,239.1,9.46,517.8,369,1143.6,681.9,9.92,0
6.02,81.002,8.62,5.77,5.76,7.04,7.18,3383.5,361.8,383.2,5.93,1149.3,779.2,2442.4,1100.3,6.54,1
4.83,95.129,6.88,4.23,4.26,5.06,5.1,4501.5,477.1,371,4.61,1107.3,622,3312.9,1669.8,4.7,1
6.85,95.232,10.7,5.81,5.7,8,8.19,2184.2,187.3,294.4,6.65,742.6,548.8,1662.7,967,6.91,0
5.36,83.958,7.69,4.99,5,5.89,6.08,3641.8,375.6,403.1,5.22,1123.8,739.3,2655.8,1178.6,5.42,1
4.29,85.825,8.46,4.18,4.16,6.32,6.76,3213.4,340.9,383.9,4.19,1145.9,796.1,2245.9,1212.2,5.3,1
7.78,90.945,10.46,6.76,6.72,8.51,8.72,2371,206.5,289.5,7.83,784.4,569.2,1816.8,958.1,7.79,0
5.6,91.768,7.23,5.16,5.16,5.76,5.81,4076,421.4,391.5,5.5,1065.4,635.8,2999.3,1386.4,5.44,1
5.38,84.688,8.28,5.17,5.13,6.45,6.64,3697,387.5,407.2,5.16,1098.6,701.7,2721.6,1233.4,5.88,1
3.93,87.515,8.85,3.69,3.68,6.02,6.89,2894.5,274.3,313.3,3.47,946.1,664.7,2119.7,1117.7,4.32,1
8.32,114.986,13.1,8.06,8.05,9.87,10.22,1435.8,134.1,233.4,8.44,479.2,341.7,1088.9,562.9,8.83,0
9.25,120.044,13.47,8.83,8.77,11.04,11.5,1554.3,145.1,238.9,9.36,518.8,369.4,1156.3,677.3,9.95,0
5.01,95.51,7.65,4.62,4.56,5.67,5.8,4557.9,483.6,362.4,4.73,1101.3,608.8,3349.6,1699.9,5.03,1
7.49,133.304,12.13,7,6.9,8.98,9.53,1836.8,162.4,254.2,8.06,588.3,419.1,1407.5,774.6,7.66,0
5.83,84.687,9.22,5.78,5.67,7.81,7.86,3333.4,356,384.7,5.4,1154.1,790.1,2395,1135.1,7.24,0
7.26,83.95,9.75,6.12,6.07,7.43,7.77,2753.6,252.2,272.9,6.77,825.3,566,2112.7,926.9,6.62,1
5.53,95.506,6.66,4.74,4.62,4.65,4.62,4387.9,450.6,377.2,5.54,1079.7,620.4,3216.4,1540,4.76,1
9.3,119.077,13.5,9.07,9.1,10.92,11.22,1495.1,140.4,237.8,9.21,507.9,362,1112.5,691,10.27,0
17.49,105.403,16.62,14.34,14.39,14.39,14.05,1271.7,118.9,234.1,19.2,425.9,302.5,961.6,361.2,14.86,0
8.74,92.008,9.96,7.94,7.92,8.01,7.99,2544.7,218.7,278.1,8.98,780.8,553.6,1979.6,864.4,8.12,0
7.8,120.386,11.9,7.21,7.25,9,9.38,1883.4,167.1,259.7,8.3,608.9,436.6,1447.4,808.6,7.91,0
8.18,90.117,10.17,7.77,7.76,8.38,8.39,2627.2,225.2,278.8,8.24,797.4,565.8,2025.7,903.4,8.09,0
7.54,89.33,10.39,6.59,6.57,8.21,8.46,2361,205.8,288.5,7.63,780,566.1,1809.3,959.4,7.52,0
9.08,119.19,13.59,8.72,8.62,10.74,11.15,1534,143.7,240,10,517.4,368.9,1139.5,685,9.77,0
8.39,116.343,12.73,8.15,8.11,9.68,9.95,1465,138.1,235.8,8.58,495.6,353.5,1095.6,670.7,8.83,0
8.23,87.734,10.12,7.37,7.38,8.38,8.44,2405.8,210.5,287.4,8.36,784.2,567,1853.3,938,8.1,0
6.35,85.1,9.5,5.85,5.83,7.26,7.7,2784.3,256,273.4,6.17,836.5,573.4,2132,946.1,6.32,1
7.51,110.77,10.2,6.92,6.79,7.51,7.66,1966.7,170.5,269,7.89,631.1,455.4,1507.4,824.9,7.22,0
5.57,89.265,9.17,5.17,5.24,6.66,7.29,2801,262,281.1,5.68,871.4,600.8,2107.6,1001.2,5.62,1
8.45,115.559,13.06,8.25,8.22,10.06,10.45,1436.9,134.5,234.1,8.5,482.8,344.7,1086.8,597.4,9.06,0
4.08,83.854,8.45,3.83,3.81,5.45,6.34,2869.8,269.2,295.2,4.01,909.3,632.9,2117.2,1066.5,4.17,1
8.16,87.533,10.69,6,5.9,8.17,8.5,2248.7,196.6,287,6.58,748.8,546.5,1715.5,936.3,7.23,0
8.14,91.806,10.42,7.23,7.3,8.62,8.73,2388.2,209.3,287.3,8.24,782,565.2,1834.5,938.2,8.18,0
16.15,96.356,14,15.14,15.37,14.27,13.65,1154.9,107.4,259.6,16.17,388.4,277.8,886.2,185.9,15.77,0
5.36,91.718,7.93,4.99,4.97,5.99,6.09,4635.3,500.8,353.5,5.18,1101.7,592.5,3382.6,1746.8,5.47,1
3.34,88.913,7.25,3.12,3.12,4.54,5.14,3105.8,321,385.6,3.09,1127.4,799.1,2196.7,1218.4,3.62,1
3.08,86.297,6.82,2.95,2.96,4.09,4.66,3061.8,315.2,374.5,2.99,1104.6,780.6,2160.4,1213.6,3.32,1
7.82,122.595,12.17,7.07,7.01,9.25,9.71,1868.2,165.7,261.7,8.12,606.5,435,1438.3,799.4,7.96,0
3.12,89.062,8,3.03,2.99,4.91,5.82,2957.5,295,340.5,3.1,1031.5,729,2113.5,1187.5,3.47,1
6.76,90.774,10.6,6.01,5.78,7.98,8.35,2247.9,195.8,290.4,6.77,752,550.4,1716.8,938.4,7.01,0
8.63,93.395,9.95,7.63,7.66,8,7.95,2579,219.9,280.5,8.93,788.9,561.9,2007.1,876.1,8,0
4.02,86.435,8.53,4,4.04,6.3,6.76,3186.5,336.4,387,3.76,1143.8,799.6,2224.7,1222,5.23,1
7.75,127.025,12.18,7.14,7.07,9.18,9.67,1851.9,164.7,258.2,8.06,599.8,428.3,1424.4,788.5,7.95,0
8.22,90.317,10.37,7.67,7.67,8.6,8.67,2671.5,231.9,275.8,8.16,805.5,566.7,2060.5,911.2,8.24,0
5.64,93.074,7.17,5.15,5.13,5.77,5.82,4100.6,422.7,394.5,5.49,1071.5,640.9,3013.7,1390.2,5.5,1
8.02,81.935,10.17,7.2,7.19,7.99,8.24,2745.6,244.7,277.1,7.99,820.8,568.3,2112.2,922.8,7.5,0
9.52,95.323,10.48,8.5,8.54,8.71,8.6,2507.6,217.2,278.3,9.84,774.7,550.8,1943.6,857.9,8.8,0
5.55,92.365,7.58,5.12,5.13,6.11,6.22,3980.6,415,404.2,5.56,1080.7,656.6,2941.9,1348.9,5.59,1
9.02,88.529,10.6,8.26,8.29,9.11,9.04,2443.2,213.1,283.6,9.06,782.7,563.3,1880.8,910.7,8.97,0
6.37,105.298,10.43,5.78,5.75,6.73,6.91,2020.2,174.8,283.7,6.51,673.2,490.7,1539.8,882.5,6.18,1
11.8,116.446,16.75,11.14,10.64,13.53,13.66,1384,128.3,227,12.14,449.7,316.1,1063.7,341.8,12.5,0
5.29,84.154,7.59,5.02,5.03,5.81,5.97,3735.5,391.6,405.4,5.21,1083.1,683,2762.1,1261.8,5.41,1
7.46,95.08,11.18,6.59,6.62,8.89,9.17,2240.9,192.3,294,7.56,753.8,554.3,1713.4,953.2,7.88,0
6.77,90.13,10.55,5.7,5.72,8.05,8.41,2243.6,195.9,287.7,6.78,748.9,547.2,1711.7,938,7.02,0
8.74,142.364,13.2,8.48,8.55,11.08,11.54,1773.7,158.4,246.9,8.52,564.8,401.8,1360.9,742.9,9.91,0
17.27,108.186,18.22,15.61,15.14,16.42,16.07,1286.6,120.2,232.4,16.5,429.6,304.8,976.8,348.8,16.93,0
17.43,106.396,16.64,13.91,14.34,14.58,14.28,1276.2,119.3,236.6,18.84,429.5,305.5,966.9,361.7,14.94,0
9.35,94.164,10.07,8.07,8.03,8.2,8.13,2517.7,217.6,278,9.58,776.2,550.7,1951.1,860.4,8.28,0
5.55,99.25,6.82,4.8,4.76,4.84,4.92,4392.1,447.6,374,5.61,1074.9,618.7,3210.9,1536.8,4.91,1
6.76,87.861,10.34,5.98,5.85,7.8,8.08,2267,198.3,289.8,6.89,758.2,554,1728.2,936.9,6.9,0
7.93,81.772,10.09,7.07,7.08,7.81,8.13,2744.9,245.4,277.1,7.97,821.9,569,2109.5,922.3,7.35,0
8.13,91.819,10.53,7.26,7.3,8.56,8.68,2383.8,208.8,288.5,8.15,784.2,567.4,1832.4,944.7,8.09,0
3.74,82.978,8.29,3.59,3.48,5.33,6.22,2905.6,277.9,317.1,3.87,960.3,673.9,2111,1136.8,3.96,1
5.33,84.448,7.99,5,5,6.24,6.46,3670.7,376.6,407.2,5.3,1121.1,736,2679.9,1186.6,5.63,1
6.57,87.297,9.99,5.76,5.77,7.6,7.95,2297.7,200.8,287.7,6.51,763.1,556,1756.1,946.8,6.77,0
3.09,86.989,6.74,3.06,3.04,4.17,4.69,3072.6,318.2,378.3,2.97,1114.5,788.3,2172.2,1212.5,3.4,1
5.9,93.948,7.15,5.11,5.13,5.79,5.82,4092.4,423.7,392.3,5.58,1068,636.2,3005.9,1394.7,5.54,1
9.54,120.673,13.25,9.13,9.18,11.17,11.67,1607.4,148.2,239.6,9.6,526.9,374.4,1201.3,659.9,10.21,0
17.36,108.324,17.79,15.58,15.59,16.47,16.13,1287.7,120.1,230,16.89,426.1,301.4,977.3,350,17.15,0
5.57,92.387,7.28,4.9,4.85,5.89,6,3998.2,416.7,392.4,5.45,1068.2,642.6,2955,1367.3,5.47,1
9.8,118.463,13.37,8.56,9.43,11.53,11.98,1616.5,149.3,240.9,9.79,531,377.4,1205.7,703.1,10.53,0
10.95,116.707,16.55,9.63,9.8,13.26,13.62,1388.2,128.8,226.3,11.15,450.8,316.6,1066.7,343.4,12.32,0
5.53,96.811,6.77,4.79,4.73,4.67,4.72,4380.7,449.3,375.6,5.47,1077.6,619.6,3204.6,1537.8,4.76,1
14.68,112.481,16.95,13.4,13.32,14.47,14.34,1357.5,125,229.7,14.99,444.7,316,1039.7,344.9,14.32,0
5.37,91.961,7.82,4.73,4.69,5.87,5.95,4624.7,498.1,351,5.27,1097.6,591,3368.7,1744,5.34,1
6.52,104.274,9.3,5.55,5.57,6.45,6.68,2091.4,180.4,304.1,6.3,725.6,539.9,1587.1,941.3,5.9,1
4.97,82.891,8.82,4.79,4.66,6.87,7.25,3274,348.7,386.5,4.66,1150.4,792.7,2315.9,1187.3,5.92,1
6.62,108.045,9.86,5.86,6.03,6.94,7.1,1977.2,171.9,274.1,6.92,643.1,465.9,1515.3,842.6,6.46,1
6.55,94.274,10.27,5.98,5.8,7.4,7.68,2170.9,185.6,302.9,6.41,749,557.6,1653,968.3,6.6,1
8.3,87.777,10.24,7.54,7.57,8.61,8.69,2403.7,210.6,286.5,8.31,783.5,566.4,1852.4,937.1,8.35,0
5.98,86.98,9.48,5.6,5.59,7.24,7.69,2776.6,256,276.7,5.9,843.5,580.5,2119.3,955,6.22,1
5.75,81.452,7.38,5.32,5.27,5.74,5.83,3579.6,370.9,391,5.71,1136.3,756.2,2588.9,1120.6,5.59,1
14.14,109.031,16.63,12.25,12.38,13.73,13.69,1367.9,126.7,228.2,14.97,445.6,314.9,1049.2,343.9,13.49,0
8.31,134.097,13.16,8.04,7.86,10.28,10.81,1794.3,159.5,249.6,8.46,571.4,407.2,1378,747.8,8.95,0
9.29,122.628,13.29,4.46,8.93,10.89,11.31,1587.8,147.7,239,9.53,523.6,371.8,1180.8,686.5,9.87,0
11,118.107,16.44,10.03,9.7,13.24,13.59,1389.3,129.1,227,10.9,452.3,317.9,1065.3,344.3,12.23,0
5.53,95.015,6.99,5.08,5.06,5.38,5.45,4187.7,430.6,392,5.54,1076.1,637.6,3076.2,1435.9,5.28,1
11.25,115.451,16.65,10.56,10.51,13.72,13.89,1388.1,128.4,226.6,11.02,449.9,316,1066,342.3,12.73,0
16.63,97.442,15,14.66,14.9,13.41,13.13,1237.1,116,242.1,17.19,413.1,293.6,931,376,14.41,0
3.1,87.98,7.44,2.97,2.95,4.28,5.09,2981.5,298,342.9,3.24,1036.7,731.1,2117.1,1189,3.3,1
