@relation laser
@attribute Input1 numeric
@attribute Input2 numeric
@attribute Input3 numeric
@attribute Input4 numeric
@attribute class numeric
@attribute group {0,1}
@data
93,17,145,167,58,0
28,46,167,58,19,1
12,167,19,11,12,1
17,58,11,12,21,1
46,19,12,21,68,0
145,11,21,68,183,0
167,12,68,183,132,0
58,21,183,132,38,1
19,68,132,38,15,1
11,183,38,15,11,1
12,132,15,11,13,1
21,38,11,13,26,1
68,15,13,26,93,0
183,11,26,93,202,0
132,13,93,202,100,0
38,26,202,100,27,1
15,93,100,27,12,1
11,202,27,12,10,1
26,27,10,13,30,1
93,12,13,30,114,0
202,10,30,114,206,0
12,114,82,21,11,1
13,82,11,9,10,1
30,21,9,10,30,1
114,11,10,30,120,0
206,9,30,120,215,0
21,30,215,77,20,1
9,215,20,10,8,1
30,20,8,9,21,1
120,10,9,21,95,0
215,8,21,95,234,0
77,9,95,234,99,0
20,21,234,99,22,1
10,95,99,22,9,1
8,234,22,9,8,1
9,99,9,8,7,1
21,22,8,7,9,1
95,9,7,9,35,1
234,8,9,35,176,0
99,7,35,176,215,0
22,9,176,215,46,0
9,35,215,46,11,1
8,176,46,11,7,1
7,215,11,7,5,1
9,46,7,5,4,1
35,11,5,4,3,1
176,7,4,3,4,1
46,4,4,19,105,0
11,3,19,105,125,0
7,4,105,125,55,0
5,19,125,55,30,1
4,105,55,30,28,1
4,55,28,41,71,0
105,28,71,98,79,0
55,71,79,49,34,1
28,79,34,33,47,0
41,49,33,47,75,0
71,34,47,75,95,0
98,33,75,95,76,0
79,47,95,76,48,0
34,95,48,34,35,1
33,76,34,35,49,0
47,48,35,49,78,0
75,34,49,78,96,0
95,35,78,96,75,0
76,49,96,75,47,0
48,78,75,47,34,1
34,96,47,34,34,1
35,75,34,34,49,0
49,47,34,49,81,0
78,34,49,81,99,0
75,49,99,76,46,0
47,81,76,46,32,1
34,99,46,32,33,1
49,46,33,49,83,0
81,32,49,83,101,0
99,33,83,101,74,0
76,49,101,74,44,1
46,83,74,44,32,1
32,101,44,32,33,1
33,74,32,33,50,0
49,44,33,50,85,0
83,32,50,85,103,0
101,33,85,103,73,0
74,50,103,73,43,1
44,85,73,43,30,1
32,103,43,30,31,1
33,73,30,31,49,0
50,43,31,49,85,0
103,31,85,106,74,0
73,49,106,74,43,1
30,106,43,31,31,1
31,74,31,31,49,0
49,43,31,49,87,0
85,31,49,87,109,0
74,49,109,76,41,1
43,87,76,41,29,1
31,109,41,29,30,1
31,76,29,30,47,0
49,41,30,47,87,0
109,30,87,110,76,0
76,47,110,76,41,1
41,87,76,41,28,1
29,110,41,28,30,1
30,76,28,30,47,0
47,41,30,47,88,0
87,28,47,88,114,0
110,30,88,114,79,0
76,47,114,79,41,1
41,88,79,41,28,1
28,114,41,28,28,1
30,79,28,28,45,1
47,41,28,45,86,0
114,28,86,117,82,0
79,45,117,82,42,1
41,86,82,42,26,1
45,42,26,43,84,0
86,26,43,84,119,0
117,26,84,119,85,0
82,43,119,85,42,1
42,84,85,42,26,1
26,119,42,26,25,1
26,85,26,25,39,1
43,42,25,39,80,0
84,26,39,80,121,0
85,39,121,90,43,1
42,80,90,43,26,1
26,121,43,26,24,1
25,90,26,24,36,1
39,43,24,36,76,0
80,26,36,76,123,0
121,24,76,123,96,0
90,36,123,96,46,0
43,76,96,46,26,1
26,123,46,26,23,1
24,96,26,23,35,1
36,46,23,35,72,0
76,26,35,72,123,0
123,23,72,123,102,0
46,72,102,50,27,1
26,123,50,27,22,1
23,102,27,22,31,1
35,50,22,31,64,0
72,27,31,64,121,0
123,22,64,121,110,0
50,64,110,53,27,1
27,121,53,27,21,1
22,110,27,21,28,1
31,53,21,28,57,0
64,27,28,57,117,0
110,28,117,120,59,0
53,57,120,59,28,1
21,120,28,20,25,1
57,28,25,49,109,0
28,109,68,31,20,1
20,128,31,20,23,1
25,68,20,23,43,1
109,20,43,98,135,0
128,23,98,135,77,0
68,43,135,77,34,1
31,98,77,34,22,1
20,135,34,22,22,1
98,22,36,86,139,0
135,22,86,139,91,0
77,36,139,91,38,1
34,86,91,38,21,1
22,139,38,21,19,1
22,91,21,19,30,1
36,38,19,30,73,0
86,21,30,73,137,0
139,19,73,137,107,0
91,30,137,107,44,1
38,73,107,44,23,1
21,137,44,23,19,1
19,107,23,19,26,1
30,44,19,26,59,0
137,19,59,129,125,0
44,59,125,55,24,1
23,129,55,24,18,1
19,125,24,18,22,1
129,18,47,114,140,0
125,22,114,140,68,0
55,47,140,68,28,1
24,114,68,28,18,1
18,140,28,18,19,1
114,18,36,93,150,0
140,19,93,150,88,0
68,36,150,88,34,1
28,93,88,34,19,1
18,150,34,19,18,1
19,88,19,18,28,1
150,18,72,147,112,0
88,28,147,112,43,1
34,72,112,43,20,1
19,147,43,20,16,1
18,112,20,16,23,1
28,43,16,23,53,0
72,20,23,53,131,0
43,53,137,58,24,1
20,131,58,24,16,1
16,137,24,16,19,1
53,24,19,38,104,0
131,16,38,104,156,0
58,38,156,80,30,1
16,156,30,17,16,1
19,80,17,16,28,1
38,30,16,28,75,0
104,17,28,75,156,0
156,16,75,156,112,0
80,28,156,112,40,1
30,75,112,40,18,1
17,156,40,18,15,1
16,112,18,15,21,1
28,40,15,21,51,0
75,18,21,51,132,0
156,15,51,132,145,0
18,132,59,22,15,1
15,145,22,15,17,1
21,59,15,17,32,1
51,22,17,32,96,0
145,17,96,164,89,0
59,32,164,89,30,1
22,96,89,30,16,1
17,89,16,14,24,1
32,30,14,24,62,0
96,16,24,62,153,0
164,14,62,153,130,0
89,24,153,130,46,0
30,62,130,46,19,1
16,153,46,19,13,1
24,46,13,17,37,1
62,19,17,37,113,0
153,13,37,113,165,0
130,17,113,165,75,0
46,37,165,75,25,1
13,165,25,14,13,1
37,25,13,24,68,0
113,14,24,68,164,0
165,13,68,164,123,0
75,24,164,123,40,1
25,68,123,40,17,1
14,164,40,17,13,1
13,123,17,13,16,1
24,40,13,16,38,1
68,17,16,38,118,0
164,13,38,118,170,0
40,38,170,71,24,1
13,170,24,13,12,1
16,71,13,12,22,1
38,24,12,22,65,0
118,13,22,65,167,0
170,12,65,167,129,0
71,22,167,129,40,1
24,65,129,40,16,1
13,167,40,16,12,1
12,129,16,12,14,1
22,40,12,14,33,1
65,16,14,33,107,0
167,12,33,107,182,0
129,14,107,182,81,0
40,33,182,81,24,1
16,107,81,24,12,1
12,182,24,12,11,1
14,81,12,11,17,1
107,12,17,51,156,0
182,11,51,156,155,0
81,17,156,155,49,0
24,51,155,49,17,1
12,156,49,17,11,1
11,155,17,11,11,1
17,49,11,11,23,1
51,17,11,23,77,0
156,11,23,77,189,0
155,11,77,189,115,0
49,23,189,115,32,1
17,77,115,32,13,1
11,189,32,13,9,1
11,115,13,9,12,1
23,32,9,12,30,1
189,9,30,107,197,0
115,12,107,197,82,0
32,30,197,82,23,1
13,107,82,23,10,1
9,197,23,10,9,1
30,23,9,12,36,1
107,10,12,36,134,0
197,9,36,134,192,0
82,12,134,192,64,0
10,134,64,18,10,1
9,192,18,10,8,1
36,18,8,13,37,1
134,10,13,37,148,0
192,8,37,148,195,0
10,148,58,16,9,1
8,195,16,9,8,1
148,9,10,29,132,0
195,8,29,132,220,0
58,10,132,220,67,0
16,29,220,67,15,1
9,132,67,15,8,1
8,220,15,8,6,1
10,67,8,6,7,1
29,15,6,7,14,1
132,8,7,14,66,0
220,6,14,66,237,0
15,14,237,137,25,1
8,66,137,25,9,1
6,237,25,9,6,1
7,137,9,6,5,1
14,25,6,5,4,1
66,9,5,4,5,1
137,5,5,25,165,0
25,4,25,165,233,0
9,5,165,233,51,0
6,25,233,51,12,1
5,165,51,12,7,1
5,51,7,7,7,1
25,12,7,7,18,1
165,7,7,18,80,0
233,7,18,80,201,0
12,18,201,109,29,1
7,80,109,29,12,1
7,201,29,12,10,1
7,109,12,10,14,1
18,29,10,14,38,1
80,12,14,38,128,0
201,10,38,128,169,0
109,14,128,169,63,0
12,128,63,20,11,1
10,169,20,11,11,1
14,63,11,11,23,1
38,20,11,23,74,0
128,11,23,74,173,0
169,11,74,173,114,0
63,23,173,114,34,1
20,74,114,34,14,1
11,114,14,11,14,1
23,34,11,14,37,1
74,14,14,37,122,0
173,11,37,122,172,0
114,14,122,172,67,0
34,37,172,67,21,1
14,122,67,21,11,1
11,172,21,11,11,1
37,21,11,20,64,0
172,11,64,169,131,0
67,20,169,131,39,1
11,169,39,13,9,1
11,131,13,9,12,1
20,39,9,12,28,1
64,13,12,28,100,0
169,9,28,100,188,0
9,188,25,11,10,1
12,88,11,10,14,1
28,25,10,14,41,1
100,11,14,41,141,0
188,10,41,141,176,0
25,41,176,57,17,1
11,141,57,17,10,1
10,176,17,10,10,1
14,57,10,10,16,1
141,10,16,56,175,0
176,10,56,175,149,0
57,16,175,149,41,1
10,175,41,14,8,1
10,149,14,8,9,1
16,41,8,9,18,1
56,14,9,18,67,0
175,8,18,67,196,0
149,9,67,196,130,0
41,18,196,130,32,1
14,67,130,32,11,1
9,130,11,8,7,1
18,32,8,7,17,1
67,11,7,17,66,0
130,7,66,207,131,0
32,17,207,131,30,1
11,66,131,30,10,1
8,207,30,10,7,1
17,30,7,6,12,1
66,10,6,12,48,0
207,7,12,48,193,0
131,6,48,193,172,0
10,48,172,39,11,1
7,193,39,11,7,1
12,39,7,6,6,1
48,11,6,6,16,1
193,7,6,16,86,0
172,6,16,86,255,0
39,6,86,255,107,0
11,16,255,107,19,1
7,86,107,19,8,1
6,255,19,8,5,1
6,107,8,5,4,1
16,19,5,4,3,1
255,5,3,2,2,1
107,4,2,2,7,1
19,3,2,7,23,1
5,2,23,8,6,1
4,7,8,6,8,1
3,23,6,8,16,1
2,8,8,16,33,1
7,8,33,57,65,0
8,33,65,56,46,0
6,57,56,46,46,0
16,56,46,54,64,0
33,46,54,64,66,0
57,46,64,66,59,0
65,54,66,59,49,0
56,64,59,49,46,0
46,66,49,46,48,0
46,59,46,48,58,0
54,49,48,58,67,0
66,48,67,67,60,0
49,67,60,50,47,0
46,67,50,47,51,0
48,60,47,51,60,0
58,50,51,60,69,0
67,47,60,69,68,0
67,51,69,68,58,0
60,60,68,58,50,0
50,69,58,50,46,0
47,68,50,46,52,0
51,58,46,52,61,0
50,71,58,48,46,0
46,68,48,46,53,0
52,58,46,53,64,0
61,48,53,64,72,0
71,46,64,72,68,0
68,53,72,68,56,0
58,64,68,56,47,0
48,72,56,47,45,1
64,47,53,65,73,0
72,45,65,73,67,0
68,53,73,67,54,0
56,65,67,54,46,0
47,73,54,46,46,0
45,67,46,46,55,0
53,54,46,55,67,0
73,46,67,74,66,0
54,67,66,54,44,1
46,74,54,44,46,0
46,66,44,46,55,0
74,46,70,76,66,0
66,55,76,66,51,0
54,70,66,51,45,1
44,76,51,45,46,0
46,66,45,46,58,0
55,51,46,58,73,0
70,45,58,73,77,0
66,58,77,65,52,0
46,65,44,46,59,0
58,52,46,59,75,0
77,46,75,78,64,0
65,59,78,64,49,0
52,75,64,49,43,1
44,78,49,43,47,0
46,64,43,47,61,0
59,49,47,61,78,0
75,43,61,78,79,0
78,47,78,79,63,0
49,78,63,47,43,1
43,79,47,43,47,0
47,63,43,47,63,0
61,47,47,63,80,0
78,43,63,80,79,0
79,47,80,79,61,0
47,80,61,46,42,1
43,79,46,42,48,0
47,61,42,48,66,0
63,46,48,66,84,0
80,42,66,84,80,0
79,48,84,80,60,0
61,66,80,60,46,0
42,80,46,42,50,0
48,60,42,50,68,0
66,46,50,68,86,0
84,42,68,86,80,0
80,50,86,80,59,0
46,86,59,43,41,1
42,80,43,41,50,0
50,59,41,50,71,0
68,43,50,71,88,0
86,41,71,88,79,0
59,71,79,56,41,1
43,88,56,41,41,1
41,79,41,41,51,0
50,56,41,51,73,0
71,41,51,73,91,0
88,41,73,91,78,0
79,51,91,78,55,0
41,78,41,40,52,0
51,55,40,52,75,0
73,41,52,75,94,0
91,40,75,94,78,0
78,52,94,78,54,0
55,75,78,54,39,1
41,94,54,39,40,1
40,78,39,40,52,0
75,39,52,79,95,0
78,52,95,76,50,0
54,79,76,50,37,1
39,95,50,37,38,1
40,76,37,38,52,0
79,37,52,80,97,0
76,52,97,76,50,0
50,80,76,50,36,1
37,97,50,36,37,1
38,76,36,37,54,0
52,50,37,54,83,0
80,36,54,83,98,0
50,83,74,47,34,1
36,98,47,34,37,1
54,47,37,53,85,0
98,37,85,100,74,0
47,85,74,45,34,1
34,100,45,34,35,1
37,74,34,35,54,0
53,45,35,54,87,0
85,34,54,87,103,0
100,35,87,103,72,0
74,54,103,72,43,1
45,87,72,43,33,1
34,103,43,33,35,1
35,72,33,35,53,0
87,33,53,88,103,0
103,35,88,103,73,0
43,88,73,43,32,1
33,103,43,32,33,1
35,73,32,33,53,0
53,43,33,53,91,0
88,32,53,91,105,0
103,33,91,105,72,0
73,53,105,72,41,1
43,91,72,41,31,1
32,105,41,31,33,1
33,72,31,33,54,0
91,31,54,91,108,0
105,33,91,108,72,0
72,54,108,72,41,1
41,91,72,41,30,1
31,108,41,30,32,1
33,72,30,32,51,0
54,41,32,51,93,0
91,30,51,93,111,0
108,32,93,111,74,0
41,93,74,41,29,1
32,74,29,31,51,0
51,41,31,51,93,0
93,29,51,93,113,0
74,51,113,75,40,1
41,93,75,40,29,1
29,113,40,29,30,1
31,75,29,30,49,0
51,40,30,49,92,0
93,29,49,92,118,0
75,49,118,78,41,1
40,92,78,41,28,1
29,118,41,28,29,1
49,41,29,46,90,0
92,28,46,90,120,0
118,29,90,120,82,0
41,90,82,42,29,1
29,82,29,28,45,1
90,29,45,88,124,0
120,28,88,124,86,0
82,45,124,86,43,1
42,88,86,43,27,1
28,86,27,27,41,1
45,43,27,41,83,0
88,27,41,83,126,0
43,83,91,45,27,1
27,126,45,27,26,1
27,91,27,26,38,1
83,27,38,78,127,0
126,26,78,127,99,0
91,38,127,99,47,0
45,78,99,47,27,1
27,127,47,27,24,1
26,99,27,24,35,1
127,24,72,126,106,0
99,35,126,106,52,0
47,72,106,52,28,1
27,126,52,28,23,1
35,52,23,32,65,0
72,28,32,65,123,0
126,23,65,123,116,0
52,65,116,56,29,1
28,123,56,29,22,1
23,116,29,22,28,1
32,56,22,28,56,0
65,29,28,56,117,0
123,22,56,117,126,0
116,28,117,126,64,0
56,56,126,64,30,1
22,126,30,22,27,1
56,30,27,49,107,0
117,22,49,107,133,0
126,27,107,133,74,0
64,49,133,74,32,1
30,107,74,32,21,1
22,133,32,21,23,1
27,74,21,23,41,1
107,21,41,95,140,0
32,95,84,36,21,1
21,140,36,21,21,1
41,36,21,35,80,0
84,35,141,99,42,1
36,80,99,42,22,1
21,141,42,22,20,1
21,99,22,20,29,1
80,22,29,67,135,0
141,20,67,135,117,0
99,29,135,117,49,0
22,135,49,24,18,1
20,117,24,18,25,1
67,24,25,52,122,0
135,18,52,122,134,0
117,25,122,134,62,0
49,52,134,62,26,1
24,122,62,26,18,1
25,62,18,20,41,1
52,26,20,41,104,0
134,20,104,148,79,0
62,41,148,79,32,1
26,104,79,32,18,1
18,148,32,18,19,1
20,79,18,19,32,1
41,32,19,32,82,0
104,18,32,82,151,0
148,19,82,151,100,0
79,32,151,100,39,1
32,82,100,39,19,1
19,100,19,17,25,1
82,19,25,62,140,0
151,17,62,140,128,0
100,25,140,128,52,0
39,62,128,52,22,1
19,140,52,22,17,1
17,128,22,17,21,1
25,52,17,21,44,1
140,17,44,116,150,0
128,21,116,150,71,0
22,116,71,27,18,1
17,150,27,18,18,1
44,27,18,32,88,0
116,18,32,88,159,0
71,32,159,98,36,1
18,159,36,19,16,1
32,36,16,25,61,0
88,19,25,61,146,0
98,25,146,132,52,0
36,61,132,52,21,1
19,146,52,21,17,1
16,132,21,17,19,1
25,52,17,19,41,1
61,21,19,41,113,0
146,17,41,113,161,0
132,19,113,161,76,0
52,41,161,76,28,1
21,113,76,28,16,1
17,161,28,16,16,1
19,76,16,16,28,1
41,28,16,28,77,0
161,16,77,163,114,0
76,28,163,114,39,1
16,114,19,15,20,1
163,15,47,132,156,0
114,20,132,156,62,0
19,132,62,24,15,1
15,156,24,15,16,1
20,62,15,16,30,1
47,24,16,30,86,0
132,15,30,86,173,0
156,16,86,173,102,0
62,30,173,102,34,1
24,86,102,34,16,1
15,173,34,16,13,1
86,16,19,50,141,0
34,50,154,57,21,1
16,141,57,21,13,1
13,154,21,13,14,1
19,57,13,14,27,1
50,21,14,27,87,0
141,13,27,87,179,0
154,14,87,179,103,0
57,27,179,103,33,1
13,179,33,15,12,1
14,103,15,12,18,1
27,33,12,18,45,1
87,15,18,45,136,0
179,12,45,136,166,0
103,18,136,166,61,0
33,45,166,61,20,1
15,136,61,20,12,1
12,166,20,12,13,1
45,20,13,23,0,1
86,22,32,72,138,0
141,21,72,138,111,0
22,138,48,23,19,1
111,27,129,129,58,0
19,129,27,19,24,1
112,20,37,92,152,0
30,92,93,36,20,1
93,29,146,117,46,0
117,22,128,142,62,0
22,62,17,19,37,1
100,17,27,72,154,0
86,27,154,118,43,1
32,72,118,43,20,1
33,33,14,22,58,0
92,16,22,58,149,0
14,137,20,15,16,1
15,169,28,15,14,1
169,14,65,160,133,0
28,65,133,45,18,1
15,160,45,18,14,1
14,133,18,14,16,1
20,45,12,14,30,1
163,12,30,98,185,0
14,145,58,19,11,1
13,100,12,10,13,1
100,13,114,206,82,0
27,30,206,82,21,1
10,206,21,11,9,1
82,10,120,215,77,0
11,120,77,20,10,1
10,77,10,8,9,1
215,5,3,4,19,1
3,125,30,28,41,1
19,30,41,71,98,0
125,41,98,79,49,0
30,98,49,34,33,1
49,75,76,48,34,1
96,34,81,99,76,0
34,76,32,33,49,0
85,30,49,85,106,0
43,85,74,43,31,1
106,31,87,109,76,0
87,29,47,87,110,0
88,28,45,86,117,0
28,117,42,26,26,1
28,82,26,26,43,1
119,25,80,121,90,0
96,35,123,102,50,0
102,31,121,110,53,0
121,21,57,117,120,0
27,117,59,28,20,1
28,59,20,25,49,0
117,20,49,109,128,0
120,25,109,128,68,0
59,49,128,68,31,1
49,31,23,43,98,0
23,77,22,22,36,1
43,34,22,36,86,0
73,23,26,59,129,0
107,26,129,125,55,0
26,55,18,22,47,0
59,24,22,47,114,0
22,68,18,19,36,1
47,28,19,36,93,0
36,34,18,28,72,0
93,19,28,72,147,0
147,16,53,131,137,0
112,23,131,137,58,0
23,58,16,19,38,1
137,19,104,156,80,0
24,104,80,30,17,1
112,21,132,145,59,0
40,51,145,59,22,1
132,15,32,96,164,0
15,164,30,16,14,1
14,130,19,13,17,1
19,113,75,25,14,1
17,75,14,13,24,1
123,16,118,170,71,0
17,118,71,24,13,1
33,24,11,17,51,0
77,13,12,30,107,0
12,82,10,9,12,1
23,36,192,64,18,1
12,64,10,8,13,1
64,13,148,195,58,0
18,37,195,58,16,1
13,58,9,8,10,1
37,16,8,10,29,1
67,7,66,237,137,0
237,6,4,5,25,1
4,233,12,7,7,1
51,7,80,201,109,0
29,38,169,63,20,1
11,173,34,14,11,1
14,67,11,11,20,1
122,11,20,64,169,0
21,64,131,39,13,1
131,12,100,188,88,0
39,28,188,88,25,1
13,100,88,25,11,1
88,14,141,176,57,0
41,17,10,16,56,0
17,56,149,41,14,1
8,196,32,11,8,1
196,8,17,66,207,0
7,131,10,7,6,1
30,12,193,172,39,1
6,172,11,7,6,1
86,8,4,3,2,1
8,2,7,23,8,1
2,6,16,33,57,0
23,16,57,65,56,0
8,65,46,46,54,0
64,46,58,67,67,0
59,58,67,60,50,0
60,50,52,61,71,0
69,46,61,71,68,0
68,52,71,68,58,0
58,61,68,58,48,0
46,68,47,45,53,0
53,56,45,53,65,0
65,46,55,67,74,0
67,55,74,66,54,0
55,54,46,55,70,0
67,44,55,70,76,0
76,46,73,77,65,0
51,73,65,52,44,1
45,77,52,44,46,0
73,44,59,75,78,0
64,61,79,63,47,0
63,63,79,61,46,0
46,84,60,46,42,1
60,68,80,59,43,1
80,50,88,79,56,0
56,73,78,55,41,1
41,91,55,41,40,1
52,54,40,52,79,0
94,40,79,95,76,0
52,50,38,52,80,0
95,38,80,97,76,0
97,37,83,98,74,0
76,54,98,74,47,0
37,74,34,37,53,0
83,34,53,85,100,0
74,53,100,74,45,1
54,43,35,53,88,0
72,53,103,73,43,1
53,41,33,54,91,0
72,51,111,74,41,1
30,111,41,29,31,1
111,31,93,113,75,0
113,30,92,118,78,0
30,78,28,29,46,0
78,46,120,82,42,1
28,120,42,29,28,1
46,42,28,45,88,0
29,124,43,27,27,1
124,27,83,126,91,0
86,41,126,91,45,1
41,45,26,38,78,0
38,47,24,35,72,0
78,27,35,72,126,0
24,106,28,23,32,1
106,32,123,116,56,0
29,117,64,30,22,1
28,64,22,27,49,0
49,32,23,41,95,0
133,23,95,140,84,0
74,41,140,84,36,1
23,84,21,21,35,1
95,21,35,80,141,0
140,21,80,141,99,0
35,42,20,29,67,0
42,67,117,49,24,1
29,49,18,25,52,0
18,134,26,18,20,1
122,18,41,104,148,0
18,151,39,19,17,1
32,39,17,25,62,0
62,22,21,44,116,0
52,44,150,71,27,1
21,71,18,18,32,1
150,18,88,159,98,0
27,88,98,36,19,1
18,98,19,16,25,1
159,16,61,146,132,0
113,16,28,77,163,0
28,77,114,39,19,1
16,163,39,19,15,1
28,39,15,20,47,0
77,19,20,47,132,0
39,47,156,62,24,1
16,102,16,13,19,1
30,34,13,19,50,0
173,13,50,141,154,0
102,19,141,154,57,0
21,87,103,33,15,1
18,61,12,13,23,1
