@relation wankara
@attribute Max_temperature numeric
@attribute Min_temperature numeric
@attribute Dewpoint numeric
@attribute Precipitation numeric
@attribute Sea_level_pressure numeric
@attribute Standard_pressure numeric
@attribute Visibility numeric
@attribute Wind_speed numeric
@attribute Max_wind_speed numeric
@attribute class numeric
@attribute group {0,1}
@data
55.8,15.6,17.2,0,30.32,26.99,8.4,4.26,13.8,36.3,1
90.3,52.2,42.6,0,29.78,26.73,8.5,4.14,13.8,71.8,0
82.6,50.4,52.4,0,29.81,26.74,9.3,3.57,23,65.7,0
68.7,54.1,53.8,0.1,29.78,26.7,7.7,4.14,12.7,61.3,0
91.4,62.6,49.7,0,29.6,26.6,8.7,9.32,13.8,78.2,0
81.3,38.7,36.4,0,29.94,26.77,8.3,3.91,11.3,63.3,0
73.4,38.8,43.4,0,30.04,26.87,7.4,4.83,12.7,57.7,0
86,53.2,48.2,0,29.93,26.8,8.2,12.8,23,72.6,0
48.7,17.4,22.5,0,30.3,26.93,5.4,2.07,9.21,31.5,1
86,47.7,41.1,0,29.99,26.84,8.5,2.19,5.87,68.2,0
69.4,32.7,37.1,0,30.14,26.95,6.4,2.07,6.9,51.6,0
45.7,28.4,34.4,0,29.95,26.7,5,5.29,13.8,37.5,1
63.3,37,33,0,30.21,27,8.2,6.56,11.3,50.3,0
50.4,37.8,36.7,0,30.18,26.93,7.5,2.99,6.9,45.1,1
85.5,60.1,44.8,0,29.87,26.75,8.4,6.67,11.3,73.1,0
48.9,35.6,36,0,29.9,26.68,7.8,3.34,9.21,41.6,1
57.2,28.4,33.6,0,30.26,26.98,5.4,1.15,5.87,40.5,1
97.5,52.2,38.4,0,29.8,26.7,8.6,5.52,11.3,77.8,0
86,57.2,47.9,0,29.76,26.71,8.7,4.72,17.2,72.1,0
63.7,20.7,23.8,0,30.39,27.07,7.3,1.27,10.2,37.6,1
44.6,25.2,21.9,0,30.2,26.87,8.4,3.68,11.3,34.5,1
40.6,30.2,30.6,0.4,29.69,26.49,7.8,7.83,11.3,36.1,1
42.4,30.2,30.1,0,30.04,26.79,8.4,7.83,13.8,35.8,1
50,38.5,36.5,0.4,29.92,26.72,8.3,5.41,14.9,43.6,1
30.2,21.2,17.6,0,30.13,26.83,8.8,7.14,12.7,26.2,1
55.8,25.5,30.2,0,30.1,26.83,8.6,4.72,17.2,43.5,1
51.8,26.6,27.5,0,30.13,26.88,7.8,5.64,12.7,40,1
65.1,46.4,47.5,0.3,29.62,26.51,8.5,7.25,19.4,54.5,0
25.9,-5.8,-2.5,0,30.57,27.03,6.3,1.15,6.9,8.4,1
41.4,17.6,19.5,0,30.42,27.05,7.1,1.04,5.87,29.6,1
57.2,25.9,31.5,0,30.06,26.79,8.6,2.76,9.21,41.8,1
82.4,48.2,36,0,30.08,26.93,8.5,2.88,12.7,66.4,0
41,33.8,31.7,0.4,29.79,26.58,8.8,14.7,32.2,37.2,1
90.7,62.2,57.6,0,29.83,26.81,8.4,10.2,17.2,77.3,0
46.9,26.6,14.3,0,30.09,26.82,8.6,8.63,18.3,35.8,1
61.5,46.4,46,0.2,29.85,26.68,7.9,4.26,12.7,51.7,0
81,50,42.3,0,29.91,26.81,8.6,3.8,11.3,67.1,0
74.8,42.8,45,0,30.01,26.88,7.5,5.06,14.9,59.9,0
50.4,28.4,27.2,0,30.02,26.75,8.7,4.72,9.21,39.1,1
74.1,50,42.5,0,29.81,26.73,8.5,5.29,14.9,61.9,0
52.5,26.6,31,0,30.38,27.11,4.1,1.15,8.06,37.4,1
45,29.8,31.3,0,30.17,26.9,4.6,1.96,6.9,36,1
49.6,26.6,29.6,0,29.97,26.72,7.5,2.3,8.06,37.7,1
64.4,53.6,52.5,0,29.8,26.69,8.2,3.45,11.3,57.8,0
61.3,46.2,43.7,0.3,29.61,26.45,8,8.29,17.2,50.7,0
55.4,25.9,28.9,0,29.95,26.72,7.6,2.07,6.9,39.5,1
85.1,60.8,51.9,0,29.76,26.7,8.8,10.1,16.1,70.5,0
77,50,44.4,0,29.83,26.74,8.6,7.25,12.7,65.2,0
75.6,57.2,47.1,0,29.83,26.75,9.1,7.14,11.3,63.8,0
49.3,28.8,31.2,0,30.01,26.77,7.6,7.02,16.1,37.5,1
61.56,37.08,36.29,0.05,29.98,26.78,7.72,5.39,13.31,49.56,0
81.3,50.4,50.2,0,29.82,26.73,8.2,4.95,20.8,65.8,0
79.2,45.5,44.7,0,29.79,26.7,8.6,6.1,13.8,64.4,0
77,42.1,46.7,0,29.99,26.86,7.8,2.3,8.06,60.8,0
83.1,55.4,51.6,0,29.71,26.65,8.4,5.29,12.7,66,0
39.2,30.2,27.9,0.1,30.11,26.82,9,5.41,11.3,34.6,1
65.5,40.6,37.5,0,30,26.8,8.6,8.63,14.9,52.2,0
100,59.4,43.1,0,29.57,26.59,8.6,2.07,6.9,81.8,0
30.9,17.6,18.5,0.1,30.09,26.72,8.4,3.57,10.2,24.7,1
80.6,52.2,44.4,0,29.94,26.83,8.1,9.55,14.9,66.7,0
68,53.6,52.9,0.2,29.96,26.79,8.2,5.64,16.1,59.3,0
47.8,24.1,23.9,0,30.22,26.91,8.5,3.45,21.8,36.7,1
70.2,43.9,41.9,0,30.11,26.94,8.5,2.19,6.9,55.5,0
37.9,30.2,33.1,0.1,30.02,26.73,4,3.45,10.2,35.3,1
57.2,28.4,29.9,0.05,30.09,26.86,8.3,3.11,9.21,45.1,1
84.7,52.5,51.3,0,29.86,26.78,8.6,7.83,18.3,68.8,0
35.6,14,14.7,0,30.26,26.89,8.7,2.76,9.21,26.2,1
89.6,60.8,50.9,0,29.87,26.76,8.6,8.75,16.1,73.5,0
75.9,41.9,41.9,0,29.77,26.66,9.2,4.95,16.1,59.8,0
51.1,32.5,37.7,0.1,29.84,26.64,8.7,4.14,11.3,44.3,1
78.8,51.1,50.6,0,30,26.89,8.4,3.8,13.8,64.3,0
72.3,46.4,45.8,0,30.01,26.85,8.7,2.88,12.7,57.4,0
64.4,42.3,42.1,0.05,29.81,26.65,9,5.29,14.9,52.4,0
88.2,49.5,44.5,0,29.59,26.52,8.7,7.83,17.2,70.1,0
46.8,35.6,32.8,0.3,29.93,26.69,7.7,2.42,8.06,39.8,1
53.6,32,34.5,0,29.87,26.66,8.7,5.87,12.7,45.8,1
37.4,24.8,21.4,0,30.39,27.08,8.9,9.32,18.3,31.2,1
91.8,56.8,53.6,0,29.66,26.64,8.6,6.67,17.2,74.8,0
41,28.8,34.3,0,30.07,26.77,2.6,1.84,8.06,36.8,1
70.9,55.4,52.5,0,29.82,26.73,8.2,11.9,21.8,62.3,0
40.1,22.6,23.9,0.05,30.04,26.77,8.1,3.34,8.06,33.2,1
50.7,24.8,28.8,0,29.97,26.73,8.5,2.53,8.06,37.1,1
49.6,37,37.9,0.1,30.06,26.83,6.7,2.3,9.21,42.3,1
48.2,33.8,35.5,0.6,29.55,26.36,7.3,8.4,24.1,41.1,1
60.3,39.6,37.5,0,30.16,26.93,8.7,7.48,11.3,49.8,0
34.5,21.2,22.4,0,30.23,26.86,6,2.53,6.9,28.2,1
64,37.4,34.3,0,29.9,26.72,8.5,4.49,12.7,50.7,0
55.4,23,29.8,0,30.25,26.95,6.5,0.92,5.87,36.3,1
39.2,33.8,33.1,0.8,29.82,26.55,7.2,9.32,16.1,36,1
75.2,48.2,49.2,0,29.9,26.78,8.7,5.18,17.2,59.8,0
89.6,61.9,48.7,0,29.71,26.7,8,6.9,13.8,75,0
66.2,44.2,47.9,0.2,30.14,26.95,7.4,5.52,21.8,55.6,0
71.2,30,46.1,0.2,29.68,26.57,7.6,6.1,23,54.5,0
48.2,33.8,30.7,0.1,30.06,26.82,8.6,14.3,19.4,39.5,1
81.7,53.6,44.5,0,29.78,26.66,8.3,8.75,17.2,69.7,0
46.4,22.5,24.3,0,30.22,26.95,7.8,2.3,6.9,34.3,1
74.3,50.7,45.4,0,30.07,26.91,8.8,6.44,10.2,62.8,0
88.5,53.6,48.7,0,29.88,26.77,8.8,6.79,11.3,74.2,0
78.3,53.6,55,0.1,29.74,26.65,8.3,6.33,51.6,60.7,0
86,49.3,44.7,0,29.86,26.73,8.3,4.6,20.8,69,0
87.8,49.3,38.9,0,29.88,26.75,8.5,3.57,10.2,72.2,0
72.7,32,27.9,0,30.09,26.89,8.2,2.19,9.21,54.5,0
63.3,46,44,0.1,29.56,26.45,8.6,11.2,21.8,53.6,0
56.5,41,41.7,0,29.81,26.65,8.1,5.75,12.7,49.8,0
