@relation cpu
@attribute vendor {'adviser','amdahl','apollo','basf','bti','burroughs','c.r.d','cambex','cdc','dec','dg','formation','four-phase','gould','harris','honeywell','hp','ibm','ipl','magnuson','microdata','nas','ncr','nixdorf','perkin-elmer','prime','siemens','sperry','sratus','wang'}
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric
@attribute group {0,1}
@data
'formation',800,256,8000,0,1,4,34,1
'four-phase',125,512,1000,0,8,20,19,1
'gould',75,2000,8000,64,1,38,75,0
'gould',75,2000,16000,64,1,38,113,0
'gould',75,2000,16000,128,1,38,157,0
'hp',90,256,1000,0,3,10,18,1
'hp',105,256,2000,0,3,10,20,1
'hp',105,1000,4000,0,3,24,28,1
'hp',105,2000,4000,8,3,19,33,1
'hp',75,2000,8000,8,3,24,47,0
'hp',75,3000,8000,8,3,48,54,0
'hp',175,256,2000,0,3,24,20,1
'harris',300,768,3000,0,6,24,23,1
'harris',300,768,3000,6,6,24,25,1
'harris',300,768,12000,6,6,24,52,0
'harris',300,768,4500,0,1,24,27,1
'harris',300,384,12000,6,1,24,50,0
'harris',300,192,768,6,6,24,18,1
'harris',180,768,12000,6,1,31,53,0
'honeywell',330,1000,3000,0,2,4,23,1
'honeywell',300,1000,4000,8,3,64,30,1
'honeywell',300,1000,16000,8,2,112,73,0
'honeywell',330,1000,2000,0,1,2,20,1
'honeywell',330,1000,4000,0,3,6,25,1
'honeywell',140,2000,4000,0,3,6,28,1
'honeywell',140,2000,4000,0,4,8,29,1
'honeywell',140,2000,4000,8,1,20,32,1
'honeywell',140,2000,32000,32,1,20,175,0
'honeywell',140,2000,8000,32,1,54,57,0
'honeywell',140,2000,32000,32,1,54,181,0
'honeywell',140,2000,32000,32,1,54,181,0
'honeywell',140,2000,4000,8,1,20,32,1
'ibm',57,4000,16000,1,6,12,82,0
'ibm',57,4000,24000,64,12,16,171,0
'ibm',26,16000,32000,64,16,24,361,0
'ibm',26,16000,32000,64,8,24,350,0
'ibm',26,8000,32000,0,8,24,220,0
'ibm',26,8000,16000,0,8,16,113,0
'ibm',480,96,512,0,1,1,15,1
'ibm',203,1000,2000,0,1,5,21,1
'ibm',115,512,6000,16,1,6,35,1
'ibm',1100,512,1500,0,1,1,18,1
'ibm',1100,768,2000,0,1,1,20,1
'ibm',600,768,2000,0,1,1,20,1
'ibm',400,2000,4000,0,1,1,28,1
'ibm',400,4000,8000,0,1,1,45,0
'ibm',900,1000,1000,0,1,2,18,1
'ibm',900,512,1000,0,1,2,17,1
'ibm',900,1000,4000,4,1,2,26,1
'ibm',900,1000,4000,8,1,2,28,1
'ibm',900,2000,4000,0,3,6,28,1
'ibm',225,2000,4000,8,3,6,31,1
'ibm',225,2000,4000,8,3,6,31,1
'ibm',180,2000,8000,8,1,6,42,1
'ibm',185,2000,16000,16,1,6,76,0
'ibm',180,2000,16000,16,1,6,76,0
'ibm',225,1000,4000,2,3,6,26,1
'ibm',25,2000,12000,8,1,4,59,0
'ibm',25,2000,12000,16,3,5,65,0
'ibm',17,4000,16000,8,6,12,101,0
'ibm',17,4000,16000,32,6,12,116,0
'ibm',1500,768,1000,0,0,0,18,1
'ibm',1500,768,2000,0,0,0,20,1
'ibm',800,768,2000,0,0,0,20,1
'ipl',50,2000,4000,0,3,6,30,1
'ipl',50,2000,8000,8,3,6,44,1
'ipl',50,2000,8000,8,1,6,44,1
'ipl',50,2000,16000,24,1,6,82,0
'ipl',50,2000,16000,24,1,6,82,0
'ipl',50,8000,16000,48,1,10,128,0
'magnuson',100,1000,8000,0,2,6,37,1
'magnuson',100,1000,8000,24,2,6,46,0
'magnuson',100,1000,8000,24,3,6,46,0
'magnuson',50,2000,16000,12,3,16,80,0
'magnuson',50,2000,16000,24,6,16,88,0
'magnuson',50,2000,16000,24,6,16,88,0
'microdata',150,512,4000,0,8,128,33,1
'nas',115,2000,8000,16,1,3,46,0
'nas',115,2000,4000,2,1,5,29,1
'nas',92,2000,8000,32,1,6,53,0
'nas',92,2000,8000,32,1,6,53,0
'nas',92,2000,8000,4,1,6,41,1
'nas',75,4000,16000,16,1,6,86,0
'nas',60,4000,16000,32,1,6,95,0
'nas',60,2000,16000,64,5,8,107,0
'nas',60,4000,16000,64,5,8,117,0
'nas',50,4000,16000,64,5,10,119,0
'nas',72,4000,16000,64,8,16,120,0
'nas',72,2000,8000,16,6,8,48,0
'nas',40,8000,16000,32,8,16,126,0
'nas',40,8000,32000,64,8,24,266,0
'nas',35,8000,32000,64,8,24,270,0
'nas',38,16000,32000,128,16,32,426,0
'nas',48,4000,24000,32,8,24,151,0
'nas',38,8000,32000,64,8,24,267,0
'nas',30,16000,32000,256,16,24,603,0
'ncr',112,1000,1000,0,1,4,19,1
'ncr',84,1000,2000,0,1,6,21,1
'ncr',56,1000,4000,0,1,6,26,1
'ncr',56,2000,6000,0,1,8,35,1
'ncr',56,2000,8000,0,1,8,41,1
'ncr',56,4000,8000,0,1,8,47,0
'ncr',56,4000,12000,0,1,8,62,0
'ncr',56,4000,16000,0,1,8,78,0
'ncr',38,4000,8000,32,16,32,80,0
'ncr',38,4000,8000,32,16,32,80,0
'ncr',38,8000,16000,64,4,8,142,0
'ncr',38,8000,24000,160,4,8,281,0
'ncr',38,4000,16000,128,16,32,190,0
'nixdorf',200,1000,2000,0,1,2,21,1
'nixdorf',200,1000,4000,0,1,4,25,1
'nixdorf',200,2000,8000,64,1,5,67,0
'perkin-elmer',250,512,4000,0,1,7,24,1
'perkin-elmer',250,512,4000,0,4,7,24,1
'perkin-elmer',250,1000,16000,1,1,8,64,0
'prime',160,512,4000,2,1,5,25,1
'prime',160,512,2000,2,3,8,20,1
'prime',160,1000,4000,8,1,14,29,1
'prime',160,1000,8000,16,1,14,43,1
'prime',160,2000,8000,32,1,13,53,0
'siemens',240,512,1000,8,1,3,19,1
'siemens',240,512,2000,8,1,5,22,1
'siemens',105,2000,4000,8,3,8,31,1
'siemens',105,2000,6000,16,6,16,41,1
'siemens',105,2000,8000,16,4,14,47,0
'siemens',52,4000,16000,32,4,12,99,0
'siemens',70,4000,12000,8,6,8,67,0
'siemens',59,4000,12000,32,6,12,81,0
'siemens',59,8000,16000,64,12,24,149,0
'siemens',26,8000,24000,32,8,16,183,0
'siemens',26,8000,32000,64,12,16,275,0
'siemens',26,8000,32000,128,24,32,382,0
'sperry',116,2000,8000,32,5,28,56,0
'sperry',50,2000,32000,24,6,26,182,0
'sperry',50,2000,32000,48,26,52,227,0
'sperry',50,2000,32000,112,52,104,341,0
'sperry',50,4000,32000,112,52,104,360,0
'sperry',30,8000,64000,96,12,176,919,0
'sperry',30,8000,64000,128,12,176,978,0
'sperry',180,262,4000,0,1,3,24,1
'sperry',180,512,4000,0,1,3,24,1
'sperry',180,262,4000,0,1,3,24,1
'sperry',180,512,4000,0,1,3,24,1
'sperry',124,1000,8000,0,1,8,37,1
'sperry',98,1000,8000,32,2,8,50,0
'sratus',125,2000,8000,0,2,14,41,1
'wang',480,512,8000,32,0,0,47,0
'wang',480,1000,4000,0,0,0,25,1
