@relation fishcatch
@attribute Species {'1','2','3','4','5','6','7'}
@attribute Length1 numeric
@attribute Length2 numeric
@attribute Length3 numeric
@attribute Height numeric
@attribute Width numeric
@attribute Sex {'0','1'}
@attribute class numeric
@attribute group {0,1}
@data
'6',36,38,41,15.6,9.7,'1',345,0
'6',40,42,45.5,16,9.5,?,456,0
'6',40,42,45.5,15,9.8,?,510,0
'6',40.1,43,45.8,17,11.2,?,540,0
'6',42,45,48,14.5,10.2,?,500,0
'6',43.2,46,48.7,16,10,'0',567,0
'6',44.8,48,51.2,15,10.5,'0',770,0
'6',48.3,51,55.1,16.2,11.2,?,950,0
'6',52,56,59.7,17.9,11.7,?,1250,0
'6',56,60,64,15,9.6,?,1600,0
'6',56,60,64,15,9.6,'0',1550,0
'6',59,63,68,15.9,11,'0',1650,0
'7',7.5,8,8.8,24,16,?,5,1
'7',12.5,13,14.7,24,13.6,?,32,1
'7',13.8,15,16,23.9,15.2,?,40,1
'7',15,16,17.2,26.7,15.3,?,51,1
'7',15.7,17,18.5,24.8,15.9,?,70,1
'7',16.2,18,19.2,27.2,17.3,?,100,1
'7',16.8,18,19.4,26.8,16.1,?,78,1
'7',17.2,19,20.2,27.9,15.1,?,80,1
'7',17.8,19,20.8,24.7,14.6,?,85,1
'7',18.2,20,21,24.2,13.2,?,85,1
'7',19,21,22.5,25.3,15.8,?,110,1
'7',19,21,22.5,26.3,14.7,?,115,1
'7',19,21,22.5,25.3,16.3,'1',125,1
'7',19.3,21,22.8,28,15.5,'0',130,1
'7',20,22,23.5,26,14.5,'0',120,1
'7',20,22,23.5,24,15,?,120,1
'7',20,22,23.5,26,15,?,130,1
'7',20,22,23.5,25,15,?,135,1
'7',20,22,23.5,23.5,17,'0',110,1
'7',20.5,22,24,24.4,15.1,'0',130,1
'7',20.5,22,24,28.3,15.1,'0',150,1
'7',20.7,22,24.2,24.6,15,?,145,1
'7',21,23,24.5,21.3,14.8,?,150,1
'7',21.5,23,25,25.1,14.9,?,170,1
'7',22,24,25.5,28.6,14.6,?,225,1
'7',22,24,25.5,25,15,?,145,1
'7',22.6,24,26.2,25.7,15.9,?,188,1
'7',23,25,26.5,24.3,13.9,'0',180,1
'7',23.5,25,27,24.3,15.7,?,197,1
'7',25,26,28,25.6,14.8,?,218,1
'7',25.2,27,28.7,29,17.9,'0',300,0
'7',25.4,27,28.9,24.8,15,'0',260,1
'7',25.4,27,28.9,24.4,15,?,265,1
'7',25.4,27,28.9,25.2,15.8,'0',250,1
'7',25.9,28,29.4,26.6,14.3,?,250,1
'7',26.9,28,30.1,25.2,15.4,'0',300,0
'7',27.8,30,31.6,24.1,15.1,'0',320,0
'7',30.5,32,34,29.5,17.7,?,514,0
'7',32,34,36.5,28.1,17.5,?,556,0
'7',32.5,35,37.3,30.8,20.9,'0',840,0
'7',34,36,39,27.9,17.6,'0',685,0
'7',34,36,38.3,27.7,17.6,'0',700,0
'7',34.5,37,39.4,27.5,15.9,'0',700,0
'7',34.6,37,39.3,26.9,16.2,'0',690,0
'7',36.5,39,41.4,26.9,18.1,'0',900,0
'7',36.5,39,41.4,26.9,14.5,?,650,0
'7',36.6,39,41.3,30.1,17.8,?,820,0
'7',36.9,40,42.3,28.2,16.8,'0',850,0
'7',37,40,42.5,27.6,17,'0',900,0
'7',37,40,42.4,29.2,17.6,'0',1015,0
'7',37.1,40,42.5,26.2,15.6,'0',820,0
'7',39,42,44.6,28.7,15.4,'0',1100,0
'7',39.8,43,45.2,26.4,16.1,'0',1000,0
'7',40.1,43,45.5,27.5,16.3,'0',1100,0
'7',40.2,43,46,27.4,17.7,'1',1000,0
'7',41.1,44,46.6,26.8,16.3,'0',1000,0
