@relation plastic
@attribute Strength numeric
@attribute Temperature numeric
@attribute class numeric
@attribute group {0,1}
@data
35.5,280,14,1
26.1,220,14,1
34.4,280,14,1
26.5,250,20,0
32.2,260,14,1
27.9,260,20,0
22.6,240,20,0
22.7,210,12,1
26.6,220,12,1
26.2,210,10,1
28.1,210,10,1
25.3,250,20,0
36.6,300,18,0
32.7,240,14,1
30.6,280,20,0
23.7,230,16,0
27,200,10,1
36.2,300,18,0
17.2,210,18,0
28.5,250,18,0
22.5,230,20,0
34.8,290,18,0
30.2,260,16,0
33.7,280,16,0
36.5,240,10,1
41.5,300,14,1
34.7,230,10,1
25.5,210,10,1
26.4,220,10,1
24.1,200,12,1
43.5,300,12,1
28.7,260,16,0
30.2,260,16,0
32.2,240,10,1
33.7,260,12,1
46.7,300,12,1
38.1,260,10,1
37.8,270,14,1
32.6,250,12,1
34.1,270,16,0
28.2,270,20,0
42.7,280,12,1
38.7,300,20,0
40.6,300,14,1
38.7,290,14,1
26.7,250,16,0
25.7,230,14,1
35.5,250,10,1
29.7,240,12,1
41.8,300,16,0
32.7,250,12,1
29.9,260,18,0
41.3,290,12,1
25.8,200,12,1
25.3,220,14,1
26.5,240,18,0
24.3,240,18,0
20.6,230,20,0
28.6,230,12,1
15.7,200,18,0
40.1,270,10,1
28.7,280,20,0
37.3,270,12,1
20.6,200,14,1
22.2,220,16,0
43.8,300,14,1
21.9,210,16,0
26.7,230,12,1
32.2,290,20,0
29.5,250,14,1
28.5,220,14,1
42.5,280,12,1
27.7,250,16,0
20.1,220,20,0
34.1,280,18,0
26.6,250,18,0
40.2,270,10,1
28.4,280,20,0
26.7,220,10,1
18.1,200,18,0
24.7,230,16,0
36.5,290,18,0
33.5,270,14,1
38.2,300,16,0
33.5,270,16,0
36.7,270,12,1
26.4,270,20,0
24.2,240,20,0
18.4,210,16,0
40.7,300,12,1
40.7,300,18,0
30.7,240,10,1
17.5,220,20,0
24.2,240,18,0
19.2,220,18,0
37,260,12,1
35.8,280,18,0
23.7,240,18,0
35.7,270,12,1
24.6,240,18,0
22.3,200,12,1
22.6,230,18,0
28.2,210,10,1
30.6,240,12,1
34.7,270,12,1
21.5,240,20,0
20.4,200,12,1
30.6,270,18,0
26.6,240,16,0
36.5,260,14,1
35.5,260,12,1
17.3,210,20,0
24.2,200,10,1
34.2,300,20,0
34.3,250,10,1
19.7,220,18,0
22.7,240,18,0
37.7,300,16,0
39.9,300,16,0
32.5,260,18,0
38.2,270,10,1
22.2,200,12,1
32.2,240,10,1
23.2,210,12,1
32.3,260,14,1
18.7,210,16,0
34.2,280,16,0
22.7,230,18,0
32.4,280,16,0
28.7,270,18,0
25.3,230,16,0
28.1,220,12,1
24.7,200,10,1
18.7,200,20,0
30.3,280,20,0
39,260,10,1
21.3,210,16,0
32.2,280,18,0
24.4,230,14,1
23.5,220,14,1
32.1,260,16,0
38.2,270,12,1
29.5,230,10,1
29.7,270,18,0
22.2,230,18,0
20.4,230,18,0
31.5,270,18,0
45.5,300,10,1
39.5,300,16,0
42.2,300,14,1
24.7,220,18,0
14.4,210,20,0
25.5,260,20,0
28.7,230,10,1
42.2,300,12,1
26.8,210,10,1
32.1,270,18,0
42.5,300,16,0
24.7,210,10,1
31.9,240,12,1
30.8,280,20,0
15.2,210,20,0
20.7,210,16,0
28.2,250,18,0
24.5,230,20,0
30.8,240,12,1
25.2,250,18,0
30.6,230,10,1
26.6,240,16,0
28.5,230,16,0
32.3,270,16,0
37.5,300,16,0
25.8,240,20,0
30.7,260,14,1
39.3,270,10,1
31.5,240,12,1
38.2,300,16,0
30.7,270,18,0
20.2,220,20,0
17.8,200,20,0
42.2,280,10,1
34.5,230,10,1
42.8,300,12,1
30.5,240,14,1
33.2,280,16,0
24.1,240,20,0
29.5,240,14,1
30.6,230,10,1
31,250,16,0
22.7,220,20,0
24.6,200,10,1
26.2,260,20,0
26.2,250,20,0
24.2,200,12,1
34.4,300,18,0
20.7,230,18,0
27.8,230,16,0
37.2,290,14,1
13.7,200,20,0
32.2,270,16,0
39.3,280,12,1
36.6,290,16,0
28.7,250,14,1
34.8,250,10,1
30.2,250,14,1
39.2,290,12,1
37.7,270,10,1
36.2,270,12,1
21.7,240,20,0
34.1,240,10,1
31.9,230,10,1
34.7,300,20,0
30.7,220,12,1
24.2,220,16,0
26.4,240,14,1
38.4,300,14,1
23.5,230,18,0
36.6,290,16,0
24.5,210,14,1
28.3,250,16,0
24.2,230,18,0
29.3,220,10,1
22.7,210,18,0
30.6,250,14,1
22.2,210,14,1
40.7,260,10,1
16.6,200,18,0
42.3,290,10,1
31,260,18,0
27.8,220,14,1
28.7,220,10,1
34.2,270,16,0
24.7,210,12,1
41.8,280,12,1
35.5,270,14,1
31.7,280,18,0
20.2,220,18,0
14.7,200,18,0
32.7,290,20,0
41.8,290,14,1
17.7,210,18,0
32.7,280,16,0
31,230,12,1
29,260,20,0
30.6,240,12,1
24.2,230,16,0
26.5,230,16,0
35.3,300,20,0
41.2,290,10,1
18.5,200,18,0
17.7,200,16,0
31.7,260,14,1
34.7,270,12,1
34.6,250,10,1
40.2,300,16,0
30.1,240,14,1
40.7,290,12,1
26.8,230,14,1
30.7,230,14,1
28.7,240,18,0
32.7,260,18,0
34.7,260,10,1
48.5,300,10,1
30.1,230,12,1
35.5,290,16,0
31.5,250,14,1
19.8,200,18,0
34.5,290,20,0
40.7,290,10,1
30.2,240,14,1
36.7,280,12,1
30.2,240,12,1
22.2,240,20,0
16.8,200,18,0
20.1,200,16,0
30.4,290,20,0
34.7,300,18,0
18.7,220,18,0
28.5,230,14,1
30.3,260,16,0
25.7,220,12,1
38.7,270,10,1
31.2,260,14,1
34.7,240,12,1
25.2,220,12,1
12.4,200,20,0
21.9,230,20,0
32.5,240,12,1
22.4,240,18,0
27.3,260,20,0
28.5,210,12,1
31.7,270,16,0
34.5,270,16,0
34.8,280,16,0
34.2,270,14,1
35.2,290,16,0
23.7,210,12,1
35.7,300,18,0
25.9,250,20,0
33.7,250,10,1
29.2,280,20,0
34.5,260,14,1
32.8,250,12,1
36.7,290,14,1
32.7,220,10,1
26.2,210,10,1
26.2,230,14,1
22.7,210,14,1
33.5,300,20,0
24.4,240,16,0
43.9,290,10,1
34.5,280,18,0
32.6,260,14,1
40.7,280,10,1
29.3,250,16,0
38.2,290,14,1
39.9,290,14,1
24.2,210,14,1
28.2,230,12,1
27.3,220,12,1
42.1,280,10,1
29.5,240,12,1
27.7,230,12,1
32.7,230,12,1
30.4,280,18,0
16.4,210,18,0
35.5,300,18,0
33.9,290,20,0
34.2,250,10,1
17,200,20,0
28.7,230,16,0
33.5,290,20,0
30.7,290,20,0
21.5,210,16,0
33.7,300,20,0
28.6,220,10,1
34.7,290,16,0
31.3,250,14,1
33.3,290,20,0
23,200,14,1
27.7,250,16,0
26.7,230,18,0
30.5,250,16,0
20.2,200,14,1
36.7,280,14,1
18.2,210,18,0
24.4,210,10,1
30.8,230,10,1
24.7,210,16,0
20.8,200,14,1
45.8,290,10,1
34.2,280,16,0
40.2,280,12,1
37,270,14,1
25.8,220,16,0
28.7,240,14,1
31.5,240,10,1
18.2,200,16,0
37.9,300,18,0
43.3,300,12,1
32.7,240,10,1
34.2,300,20,0
30.4,270,16,0
39.3,290,14,1
38.5,290,18,0
30.5,220,12,1
35.7,290,16,0
20.2,230,20,0
34.3,260,12,1
33.9,250,12,1
23.8,200,14,1
28.7,270,18,0
28.5,250,20,0
44.8,300,10,1
33.8,230,10,1
29.5,260,18,0
25.7,220,12,1
27.7,260,18,0
21.7,230,18,0
25.5,220,14,1
33.5,280,18,0
24.8,210,12,1
42.4,300,10,1
43.7,300,10,1
33,230,10,1
44.2,300,12,1
30.6,280,20,0
27.9,230,14,1
36.2,290,16,0
34.4,260,10,1
39.9,280,12,1
21.9,200,14,1
36.6,280,14,1
39.7,300,14,1
25.9,210,12,1
20.5,200,16,0
37.8,250,10,1
38.8,300,16,0
29.7,250,14,1
37.3,260,10,1
13.5,200,20,0
37.5,270,10,1
41.5,300,12,1
38.5,270,12,1
33.7,290,18,0
24.7,240,16,0
29.2,230,10,1
23.9,240,20,0
30.3,240,12,1
36.2,250,10,1
20.2,200,16,0
40.1,280,12,1
38.1,270,12,1
15.2,200,18,0
28.6,270,20,0
32.2,280,20,0
31.8,250,16,0
28.2,250,16,0
42.2,290,12,1
29.2,250,14,1
40.8,300,14,1
30.3,270,18,0
24.2,250,20,0
20.6,210,16,0
28.7,230,12,1
18.7,230,20,0
38.2,280,12,1
37.5,280,12,1
15.7,210,20,0
34.2,280,16,0
36.2,260,12,1
33.7,270,14,1
24.5,220,16,0
24.2,220,14,1
17.7,220,20,0
36.8,270,12,1
32.6,290,20,0
41,280,12,1
17.5,210,18,0
30.7,270,16,0
24.2,200,10,1
27,210,12,1
19.7,230,20,0
36.7,280,18,0
37.2,270,10,1
32.5,270,18,0
22.3,210,14,1
23.9,210,14,1
42.6,300,12,1
24.8,220,14,1
26.2,260,20,0
29.2,270,18,0
18.4,200,14,1
36.5,250,10,1
28.5,210,10,1
25.7,240,16,0
34.2,290,18,0
36.5,280,18,0
43.7,300,10,1
43.5,290,10,1
41.5,280,10,1
21.7,210,14,1
23.5,250,20,0
24.3,200,10,1
21.8,220,20,0
26.1,240,18,0
14.7,210,20,0
28.2,260,18,0
37.8,260,12,1
27.8,240,18,0
25.7,250,18,0
27.7,220,10,1
34.5,250,12,1
22.2,220,16,0
40.2,300,14,1
22.4,210,12,1
33.8,270,18,0
32.7,250,10,1
24.2,210,12,1
43.3,290,10,1
21.2,230,18,0
22.3,240,20,0
35.7,270,12,1
19.7,210,16,0
36.6,260,10,1
36.6,270,12,1
18.7,210,18,0
46.5,300,10,1
40.7,290,16,0
25.8,230,18,0
25.7,230,14,1
36.2,290,18,0
45,290,10,1
42.6,290,10,1
21.8,210,18,0
23.9,200,12,1
27.5,250,18,0
45.8,300,12,1
38.4,290,12,1
30.2,270,18,0
29.8,210,10,1
17.5,200,18,0
26.7,240,14,1
25.9,200,10,1
23.3,220,16,0
27.2,220,10,1
26.7,230,12,1
32.2,260,14,1
20.8,230,20,0
21.2,210,14,1
20.7,240,20,0
35.2,280,14,1
23.7,210,12,1
39,270,12,1
25.7,210,10,1
25,210,14,1
36.5,300,20,0
18.7,230,20,0
38.5,300,18,0
28.3,230,12,1
26.5,210,14,1
43.8,290,12,1
27.5,250,16,0
36.3,290,16,0
16.7,200,16,0
36.7,300,18,0
42.5,300,14,1
18.3,210,18,0
34.7,290,18,0
17.2,220,20,0
26.6,260,20,0
26.7,220,10,1
32.5,250,16,0
15.5,200,20,0
40.5,270,10,1
25.5,230,14,1
39.7,280,10,1
41.5,290,10,1
33.8,250,14,1
20.2,210,16,0
30.7,260,20,0
28.2,240,14,1
20.2,210,16,0
25.9,220,14,1
45.9,300,10,1
33.9,270,16,0
29.3,240,14,1
32.4,270,14,1
32.7,300,20,0
31.2,270,16,0
18.6,220,20,0
35.9,280,16,0
32.5,220,10,1
30.5,260,18,0
40.5,270,12,1
26.7,250,16,0
33,240,12,1
36.7,270,16,0
29.5,230,12,1
41.9,300,14,1
19.7,230,20,0
18.2,200,18,0
26.3,250,18,0
29.2,240,12,1
26.5,220,16,0
28.5,260,20,0
23.3,230,18,0
21.5,200,14,1
29.8,260,20,0
35.8,270,16,0
20.7,200,18,0
25.5,240,16,0
32.3,280,18,0
28.3,240,14,1
27.5,260,20,0
35,260,14,1
32.7,250,10,1
42.6,290,10,1
39.9,270,10,1
35.2,300,18,0
22.2,200,14,1
29.7,280,20,0
25,240,20,0
29.7,260,16,0
38.2,280,14,1
32.4,260,12,1
30.1,270,20,0
27.5,220,10,1
20.2,200,14,1
28.6,230,12,1
30.5,210,10,1
20.3,230,20,0
42.7,300,10,1
17.5,210,20,0
18.6,210,18,0
15.9,200,20,0
26.2,220,12,1
20.2,230,20,0
28.7,270,20,0
17.7,200,16,0
30.7,250,18,0
21.5,230,20,0
26.6,210,10,1
30.2,250,14,1
25,230,18,0
39.8,280,14,1
18.7,220,20,0
39,290,16,0
38.7,280,10,1
20.3,200,14,1
34.2,250,10,1
23.3,240,20,0
30.2,260,16,0
26.7,270,20,0
28.2,250,16,0
26.7,240,20,0
29.9,250,16,0
22.6,230,18,0
28.2,250,16,0
22.5,210,18,0
26.2,250,18,0
34.6,300,20,0
21.7,230,18,0
37.7,280,12,1
25.5,200,10,1
33.9,260,14,1
27.3,210,10,1
37.8,290,18,0
32.7,270,14,1
22.7,220,14,1
26.7,260,20,0
31.8,270,20,0
29.8,250,18,0
35.9,300,20,0
24.4,260,20,0
30.5,270,20,0
39.8,290,16,0
38.3,280,12,1
38.1,280,14,1
34.7,260,16,0
38.3,300,16,0
27.8,250,20,0
32.7,260,12,1
29.8,220,12,1
32.2,240,10,1
15.3,200,20,0
31.8,230,12,1
30.5,250,18,0
36.7,290,14,1
42.7,290,10,1
32.2,250,12,1
38.7,270,14,1
37.5,270,12,1
28.8,250,16,0
22.7,200,12,1
36.7,260,10,1
43,300,14,1
42.7,270,10,1
27.7,240,14,1
26.6,230,14,1
38.8,280,12,1
32.1,240,12,1
35.5,270,12,1
25.7,240,16,0
23.2,200,10,1
23.5,240,20,0
22.7,200,10,1
27.8,200,10,1
26.5,200,10,1
24.3,210,12,1
34.7,300,18,0
16.7,210,18,0
19.7,200,14,1
40.2,280,10,1
23.5,200,12,1
30.4,250,12,1
36.7,280,12,1
31,220,10,1
37.7,280,12,1
27.7,270,20,0
12.7,200,20,0
34.6,270,14,1
32.5,250,14,1
24.4,220,12,1
37.8,300,20,0
31.8,220,10,1
35.9,290,18,0
23.8,220,18,0
31.3,260,16,0
34.6,280,16,0
22.7,230,16,0
40.1,290,14,1
24.1,210,14,1
38.7,300,14,1
26.2,220,12,1
43,290,12,1
33,250,14,1
31.5,290,20,0
26.8,240,16,0
40.6,290,12,1
32.6,270,16,0
44.6,300,10,1
38.6,270,10,1
39.5,280,10,1
24.7,230,20,0
24.7,220,12,1
28.2,220,10,1
35.7,260,10,1
16.5,200,20,0
20.8,210,16,0
46.2,300,10,1
41.9,280,10,1
32.7,260,14,1
32.7,260,12,1
35,280,18,0
33.7,250,10,1
18.7,220,18,0
30.6,250,14,1
28.1,230,14,1
42.2,290,10,1
42.1,300,14,1
23.7,200,10,1
26.3,240,16,0
33.3,240,10,1
42.5,290,12,1
23.7,250,20,0
22.4,200,10,1
38.5,250,10,1
22.7,200,16,0
40.2,300,14,1
28.2,220,10,1
40.2,290,14,1
22.5,220,20,0
36.8,300,18,0
42.5,290,14,1
27.8,210,12,1
26.1,250,20,0
24.2,210,12,1
34.5,240,12,1
25,220,16,0
18.7,200,14,1
26.8,250,18,0
18.2,200,16,0
24.6,210,12,1
30.7,290,20,0
32.5,280,20,0
31.3,240,12,1
33.5,240,10,1
18.1,210,20,0
26.7,240,14,1
31.2,290,20,0
32.2,230,10,1
14.2,200,20,0
36.1,300,20,0
22.6,200,12,1
30.2,230,10,1
16.3,210,20,0
38.2,300,16,0
18.7,210,16,0
34.1,250,12,1
21.5,210,14,1
36.3,280,14,1
24.6,250,20,0
36.4,270,10,1
20.4,220,16,0
24.5,230,18,0
36.7,290,20,0
26.6,210,10,1
26.4,250,16,0
21.7,220,16,0
20.7,210,20,0
30.7,260,16,0
31,270,20,0
30.6,270,18,0
20.5,220,20,0
22.2,210,14,1
14.7,210,20,0
35.7,290,16,0
20.4,240,20,0
45,300,12,1
35.9,250,10,1
20.7,220,16,0
14.8,200,20,0
22.4,230,16,0
30.7,280,18,0
27.7,230,12,1
32.6,240,10,1
30.7,250,12,1
26.2,250,18,0
21.2,200,12,1
30.2,270,18,0
18.2,220,20,0
31.5,270,16,0
28.1,240,16,0
26.3,210,10,1
38.7,300,14,1
27,230,16,0
34.5,280,20,0
19.7,220,18,0
28.8,240,14,1
35.7,260,10,1
34.6,250,10,1
16.7,200,16,0
24.7,250,20,0
27.5,270,20,0
30.7,270,16,0
27,250,20,0
33.8,280,20,0
29.7,270,18,0
24.6,220,14,1
36.7,270,10,1
15.7,210,20,0
22.3,220,16,0
38.7,290,12,1
26.3,220,12,1
34.2,260,12,1
44.2,300,10,1
40.2,300,14,1
24.8,200,10,1
24.8,230,16,0
42.2,300,12,1
32.5,230,12,1
16.1,200,20,0
28.6,220,10,1
30.2,240,12,1
30.2,250,16,0
32.7,290,18,0
34.1,260,14,1
31.5,280,20,0
26.2,240,18,0
36.1,250,10,1
36.2,300,18,0
26.7,220,16,0
22.6,220,16,0
27,240,18,0
21.9,220,18,0
44.5,290,12,1
26.1,200,10,1
38.7,290,12,1
33.3,250,12,1
37.9,260,10,1
34.2,280,18,0
18.8,220,20,0
25.3,240,18,0
36.4,290,14,1
18.4,230,20,0
39.5,280,12,1
40.5,290,14,1
20.7,200,12,1
38.6,300,16,0
40.5,300,16,0
34.4,270,12,1
36.1,280,16,0
40.4,290,10,1
38.5,270,14,1
33.5,290,18,0
31.2,280,18,0
18.2,210,18,0
24.3,220,14,1
22.6,220,16,0
12.7,200,20,0
34.7,280,16,0
22.2,230,18,0
28.4,270,18,0
26.4,230,12,1
26.2,260,20,0
30.2,230,10,1
34.2,270,14,1
32.2,270,18,0
18.6,200,16,0
21.5,220,16,0
20.6,230,20,0
33.7,300,20,0
47,300,10,1
22.7,220,16,0
24.6,220,14,1
21.5,200,12,1
36.2,270,14,1
27.5,220,12,1
38.2,270,10,1
38.5,290,16,0
27.7,220,10,1
40.2,290,12,1
22.4,220,14,1
30.7,230,10,1
28.4,250,14,1
40.7,300,14,1
39.8,300,18,0
24.6,210,12,1
19.5,220,20,0
40.3,300,14,1
34.3,290,18,0
42.7,290,14,1
37,290,18,0
34.2,270,14,1
31.7,240,10,1
32.8,280,18,0
29,250,18,0
34.1,290,20,0
42.7,300,16,0
32.7,270,14,1
35.2,270,12,1
29,240,16,0
36.2,260,10,1
22.5,210,16,0
37,280,16,0
33.3,280,18,0
39.3,300,16,0
29.9,240,14,1
34.2,260,12,1
39.5,290,14,1
24.5,240,20,0
44.1,290,10,1
27.5,230,12,1
44.6,300,10,1
36.6,270,12,1
36.7,240,10,1
27.2,240,14,1
33.5,260,12,1
21.7,210,14,1
26.7,270,20,0
15.5,200,18,0
30.5,240,16,0
28.7,210,12,1
22.2,230,20,0
28.2,270,20,0
39.7,290,12,1
30.4,260,14,1
37.3,300,18,0
22.2,200,12,1
38.6,270,10,1
24.5,220,18,0
16.2,200,20,0
33.2,270,14,1
22.7,240,20,0
17.7,210,18,0
40.3,290,12,1
31.5,260,14,1
31.2,250,12,1
34.3,300,20,0
30.5,260,20,0
31.2,240,10,1
16.7,200,18,0
42.3,300,12,1
35,240,10,1
20.2,230,20,0
27.5,240,14,1
26.6,230,14,1
31.7,260,14,1
27.9,240,16,0
14.6,200,20,0
30.2,280,20,0
21.5,220,18,0
35,250,12,1
34.7,280,14,1
26.2,220,12,1
24.2,230,16,0
37.8,280,16,0
44.2,300,10,1
20.7,230,20,0
23.7,220,14,1
19.5,200,14,1
35.5,300,20,0
38.6,280,12,1
19.9,210,18,0
32.6,280,18,0
30.2,240,12,1
44.7,280,10,1
29.3,230,12,1
30.2,250,14,1
26.2,240,16,0
27.3,250,18,0
22.1,200,14,1
30.3,230,10,1
33.3,270,16,0
34.2,250,12,1
33.9,280,18,0
25.3,200,10,1
24.2,230,16,0
16.2,210,20,0
27.2,260,18,0
33.7,290,18,0
23.5,200,10,1
42.7,300,12,1
26.2,210,12,1
24.8,250,20,0
20.8,220,18,0
36.6,300,18,0
43.8,280,10,1
28.2,220,12,1
21,200,16,0
25.3,210,12,1
31.7,290,20,0
25.5,230,16,0
26.7,230,14,1
24.7,250,18,0
37.7,290,14,1
14.7,200,18,0
26.7,210,10,1
22.7,240,18,0
16.2,200,18,0
23.5,230,16,0
26.3,260,20,0
30.7,240,10,1
32.2,290,20,0
28.2,240,14,1
28.3,270,20,0
34.7,270,14,1
26.1,210,12,1
38.8,290,14,1
16.8,210,20,0
22.7,220,14,1
38.7,290,18,0
44.3,300,10,1
40.5,300,18,0
37.5,290,14,1
24.8,240,18,0
20.4,210,14,1
19.3,200,16,0
36.5,270,16,0
18.6,200,16,0
30.2,220,10,1
19.9,220,20,0
40.7,270,12,1
34.2,260,14,1
33.8,240,12,1
32.1,280,20,0
28.7,240,12,1
44.5,300,14,1
29.5,270,18,0
23.3,210,14,1
36.6,260,10,1
26.2,220,14,1
30.2,230,10,1
25.2,240,16,0
29.5,270,20,0
19.5,220,18,0
23.2,230,16,0
40.6,280,10,1
31.3,280,20,0
21.7,200,12,1
24.3,250,20,0
40.8,280,10,1
28.7,260,18,0
38.7,280,10,1
40.5,280,12,1
21.7,220,16,0
26.8,260,20,0
34.8,300,20,0
20.7,210,14,1
21,220,20,0
36.1,260,12,1
31.8,240,14,1
19.2,230,20,0
35.3,260,12,1
28.2,260,20,0
22.1,230,20,0
32.2,250,12,1
42.1,290,12,1
20.7,200,12,1
38.3,270,10,1
30.2,270,18,0
26.7,240,16,0
30.7,240,12,1
32.2,270,16,0
35,290,20,0
25.2,230,14,1
20.7,230,18,0
34.6,300,20,0
37.7,270,10,1
34.5,240,10,1
26.7,260,18,0
24.7,200,14,1
20.2,200,14,1
34.6,270,14,1
24.7,210,10,1
19.2,200,14,1
22.6,210,14,1
30.7,280,20,0
37.2,300,16,0
40.2,280,10,1
29,220,12,1
35.8,240,10,1
34.7,260,12,1
31.7,290,20,0
36.8,260,10,1
23.9,230,18,0
24.5,200,14,1
20.6,210,16,0
36.4,300,16,0
25.5,240,18,0
34.7,250,10,1
30.4,240,10,1
32.5,230,10,1
34.2,260,12,1
25.7,250,18,0
40.5,290,16,0
37.3,290,16,0
14.3,200,20,0
32.7,270,16,0
46.5,290,10,1
26.7,250,18,0
35.8,250,12,1
18.7,200,14,1
24.7,230,14,1
28.7,280,20,0
17.5,200,16,0
25.5,210,12,1
23.7,250,20,0
24.1,220,16,0
18.2,210,20,0
24.2,220,14,1
34.7,280,20,0
26.6,260,20,0
18.7,200,16,0
16.7,220,20,0
24.7,230,14,1
30.2,280,20,0
16.7,220,20,0
19.5,230,20,0
32.2,250,12,1
32.3,250,12,1
32.8,290,20,0
20.6,220,18,0
29.7,230,10,1
16.6,200,18,0
27.9,250,18,0
20.6,220,18,0
36.5,290,20,0
19.5,210,18,0
22.2,210,16,0
39.2,300,14,1
40.2,290,12,1
42.2,290,10,1
36.6,280,14,1
34.3,270,14,1
44.7,290,12,1
22.5,220,18,0
18.2,220,20,0
24.1,230,18,0
42.5,280,10,1
29.7,280,20,0
28.8,230,12,1
41.2,300,12,1
45.3,300,10,1
31.5,230,10,1
22.5,200,16,0
19.3,210,18,0
18.5,210,20,0
38.2,290,16,0
23.2,250,20,0
19.7,210,16,0
28.3,220,10,1
29.8,240,16,0
39.5,290,12,1
36.3,270,12,1
16.4,220,20,0
38.2,280,12,1
26.5,240,20,0
28.6,260,18,0
36.3,300,18,0
24.7,260,20,0
24.2,200,10,1
37.9,270,12,1
17.3,200,18,0
16.7,210,18,0
24.2,240,18,0
39.2,280,10,1
40.7,290,10,1
21.7,240,20,0
39.8,260,10,1
39,300,18,0
26.7,220,12,1
43.2,300,10,1
40.7,300,12,1
32.4,250,10,1
36.7,290,16,0
16.2,200,18,0
34.5,270,18,0
19.5,210,16,0
36.5,270,14,1
18.2,210,18,0
26.5,200,12,1
28.5,240,18,0
33.3,260,14,1
20.7,200,14,1
16.4,200,16,0
28.5,240,16,0
28.4,260,16,0
15.7,200,18,0
28.6,250,16,0
24.7,220,12,1
32.5,260,16,0
28.1,250,18,0
28.2,230,12,1
32.1,230,10,1
23,230,20,0
23.9,220,16,0
27.7,270,20,0
36.7,250,12,1
19.7,200,14,1
37.5,300,18,0
27.5,230,14,1
23.3,200,12,1
34.6,260,12,1
26.2,230,14,1
23.8,210,16,0
33.7,260,12,1
14.2,200,20,0
37,250,10,1
22.8,240,20,0
33,260,16,0
34.2,300,20,0
28.8,220,10,1
22.7,250,20,0
42.8,290,10,1
28.2,260,18,0
23,210,16,0
29.9,270,20,0
36.7,270,10,1
34.6,260,12,1
29,230,14,1
38.7,260,12,1
35.3,250,10,1
28.6,250,16,0
32.8,270,16,0
19.5,200,16,0
33.5,250,12,1
33.5,250,10,1
36.7,300,16,0
25.7,260,20,0
20.3,210,16,0
34.7,280,14,1
23,220,18,0
31.3,270,18,0
32.6,280,18,0
37.5,280,14,1
35.5,290,18,0
41.3,300,14,1
36.7,260,14,1
28.2,240,16,0
16.2,210,20,0
15.5,210,20,0
22.1,220,18,0
38.7,280,12,1
32.7,270,20,0
17.9,210,20,0
40.3,280,10,1
16.2,200,18,0
38.2,280,12,1
38.5,280,16,0
26.7,210,14,1
22.6,210,14,1
37.2,280,12,1
22.7,250,20,0
27.5,210,10,1
14.2,200,20,0
25.9,240,18,0
36.8,290,16,0
30.8,260,16,0
25.2,210,10,1
31.8,260,18,0
16.7,210,20,0
33,280,20,0
30.8,250,14,1
42.2,300,12,1
36.8,280,14,1
35.9,270,14,1
14.7,200,20,0
33.2,250,10,1
18.5,200,20,0
38.8,270,10,1
40.2,280,10,1
28.7,250,20,0
28.2,260,18,0
26.2,250,18,0
29.7,240,12,1
25.5,250,20,0
25.7,210,10,1
38.2,260,10,1
22.6,240,20,0
17.2,200,16,0
