@relation ele.2
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute class numeric
@attribute group {0,1}
@data
0.7,0.21,6.99,3.5,388.679993,1
2.5,2.25,37.5,25,2482.919922,0
4,1.2,13.32,40,1689.880005,0
2,0.6,6.66,20,958,1
0.7,0.42,13.98,7,680.059998,1
0.9,0.54,9,13.5,1016.799988,1
3,0.9,9.99,45,1713.150024,0
2,1.2,19.98,10,830.530029,1
9.5,2.85,31.59,95,3711.040039,0
0.9,0.81,13.5,9,668.059998,1
0.6,0.36,3.96,6,267.440002,1
0.6,0.36,6,3,304.799988,1
3,1.8,19.98,45,2029.599976,0
0.7,0.42,4.64,3.5,260.089996,1
2.5,1.5,24.959999,37.5,2156.219971,0
0.6,0.36,3.96,6,271.230011,1
4,1.2,13.32,20,1268.550049,0
0.5,0.45,4.95,5,291.850006,1
4,1.2,19.98,40,2063.76001,0
0.9,0.27,9,9,706.099976,1
0.8,0.24,7.98,1.6,407.149994,1
8,7.2,79.919998,120,6107.359863,0
0.6,0.18,6,9,525.669983,1
0.5,0.45,7.5,2.5,323.369995,1
8,2.4,26.639999,120,4257.720215,0
6.5,1.95,32.459999,32.5,2640.22998,0
0.7,0.21,6.99,7,454.890015,1
0.8,0.24,3.96,1.6,157.809998,1
0.9,0.81,13.5,4.5,607.289978,1
2.5,2.25,24.93,12.5,1582.660034,0
2.5,1.5,16.65,25,1566.890015,0
0.5,0.3,4.98,5,301.869995,1
2,1.8,19.98,30,1760.849976,0
0.9,0.54,5.94,13.5,839.190002,1
0.6,0.36,3.96,3,207.270004,1
0.8,0.48,7.98,12,940.809998,1
0.7,0.42,4.64,7,327.649994,1
1.5,1.35,22.5,7.5,855.169983,1
0.7,0.21,3.48,1.4,192.789993,1
0.5,0.15,1.64,1,71.580002,1
2.5,0.75,12.48,5,544.48999,1
4,2.4,26.639999,20,1807.680054,0
0.9,0.27,4.5,13.5,787.450012,1
8,7.2,120,120,8269.709961,0
0.6,0.18,1.98,9,256.559998,1
0.7,0.21,3.48,7,276.549988,1
5,3,49.98,75,4039.780029,0
0.7,0.21,6.99,1.4,331.850006,1
0.7,0.21,6.99,1.4,215.149994,1
8,4.8,53.279999,16,3023.929932,0
11,3.3,54.959999,165,6970.02002,0
4,3.6,39.959999,20,2288.51001,0
3,1.8,30,45,2584.560059,0
2,1.2,13.32,30,1460.170044,0
8,4.8,53.279999,120,4886.060059,0
0.7,0.21,2.3,7,229.559998,1
11,3.3,54.959999,165,7043.950195,0
0.7,0.21,3.48,3.5,237.570007,1
6.5,3.9,64.980003,97.5,5403.209961,0
0.9,0.54,5.94,9,399.649994,1
8,4.8,79.980003,120,6545.149902,0
0.6,0.36,3.96,3,210.660004,1
1.5,1.35,22.5,15,1522.25,0
2.5,1.5,16.65,12.5,1226.829956,0
0.8,0.24,3.96,4,270.040009,1
3,2.7,29.969999,15,1808.290039,0
0.6,0.54,9,3,386.01001,1
0.8,0.24,2.64,4,185.940002,1
0.7,0.42,4.64,3.5,243.860001,1
0.9,0.27,4.5,9,392.390015,1
8,2.4,26.639999,80,3075.209961,0
0.9,0.81,13.5,13.5,1239.609985,0
0.6,0.54,5.94,3,275.149994,1
0.6,0.36,6,6,421.769989,1
0.8,0.72,7.92,4,373.5,1
6.5,5.85,64.980003,97.5,5119.910156,0
0.8,0.48,5.31,12,786.929993,1
0.7,0.21,6.99,3.5,365.920013,1
0.6,0.54,18,9,1079.47998,0
0.9,0.54,18,9,1079.47998,0
8,4.8,79.980003,40,4670.790039,0
8,2.4,39.959999,16,2737.320068,0
6.5,5.85,97.5,97.5,6801.47998,0
0.8,0.48,5.31,1.6,236.050003,1
4,3.6,60,40,3688.340088,0
5,1.5,16.65,75,2569.790039,0
0.6,0.18,6,1.2,306.269989,1
0.8,0.48,15.99,8,776.940002,1
0.8,0.48,5.31,8,392.559998,1
2,1.8,19.98,30,1773.459961,0
2,1.2,13.32,10,598.330017,1
4,3.6,39.959999,60,3164.790039,0
2,0.6,9.96,4,475.299988,1
0.7,0.42,4.64,3.5,255.800003,1
0.6,0.18,6,3,332.670013,1
1.5,1.35,14.94,7.5,601.77002,1
11,6.6,73.260002,55,4774.379883,0
2.5,1.5,16.65,37.5,1710.98999,0
11,3.3,36.630001,110,4391.97998,0
0.6,0.18,1.98,3,137.059998,1
2.5,1.5,16.65,5,651.090027,1
0.8,0.24,2.64,8,293.170013,1
0.9,0.81,13.5,13.5,1239.609985,0
0.9,0.54,9,13.5,1024.23999,1
6.5,1.95,32.459999,13,2237.77002,0
0.7,0.42,13.98,3.5,622.849976,1
4,1.2,19.98,8,911.539978,1
0.9,0.54,5.94,13.5,841,1
8,7.2,79.919998,40,4483.629883,0
0.5,0.15,2.46,2.5,174.259995,1
2.5,1.5,24.959999,12.5,1652.77002,0
8,2.4,26.639999,80,3059.820068,0
2.5,1.5,24.959999,25,2011.660034,0
0.6,0.54,9,3,399.029999,1
3,2.7,45,15,2561.909912,0
9.5,2.85,31.59,47.5,2774.189941,0
0.7,0.42,13.98,10.5,1218.630005,0
8,4.8,79.980003,40,4701.560059,0
3,0.9,15,6,691.179993,1
0.6,0.18,6,3,327.799988,1
0.5,0.3,3.33,1,107.239998,1
5,1.5,24.959999,50,2513.899902,0
2.5,2.25,37.5,25,2482.919922,0
6.5,1.95,21.6,97.5,3449.060059,0
0.6,0.36,6,3,293.380005,1
2,0.6,6.66,10,480.51001,1
2.5,0.75,8.28,37.5,1442.199951,0
2.5,1.5,16.65,37.5,1710.140015,0
0.7,0.21,6.99,3.5,374.059998,1
0.6,0.18,1.98,1.2,106.739998,1
0.5,0.45,7.5,2.5,334.720001,1
9.5,2.85,31.59,142.5,5266.359863,0
0.9,0.54,18,4.5,810.299988,1
0.8,0.72,7.92,1.6,216.779999,1
0.9,0.81,9,13.5,980.859985,1
9.5,8.55,142.5,47.5,7667.660156,0
2.5,0.75,12.48,37.5,1564.969971,0
0.5,0.15,1.64,7.5,222.029999,1
0.7,0.63,6.93,1.4,305.059998,1
0.8,0.72,12,8,724.51001,1
0.6,0.36,6,1.2,158.809998,1
0.5,0.15,4.98,2.5,281.950012,1
0.7,0.42,4.64,10.5,735.219971,1
0.8,0.48,5.31,8,397,1
0.9,0.27,4.5,4.5,291.700012,1
0.8,0.48,15.99,12,1361.599976,0
9.5,5.7,63.27,19,3438.389893,0
0.7,0.42,6.96,3.5,330.399994,1
3,0.9,15,6,889.380005,1
8,2.4,39.959999,80,3773.75,0
2.5,0.75,8.28,25,1221.98999,0
0.9,0.27,2.97,1.8,167.580002,1
0.5,0.15,2.46,1,107.739998,1
8,2.4,39.959999,16,2608.399902,0
0.6,0.36,3.96,6,303.600006,1
1.5,1.35,22.5,22.5,1830.72998,0
2,1.2,19.98,20,1561.890015,0
0.6,0.18,1.98,3,138.690002,1
11,3.3,54.959999,110,5201.939941,0
0.5,0.15,4.98,7.5,444.649994,1
4,2.4,39.959999,60,3417.540039,0
6.5,5.85,64.980003,32.5,3705.610107,0
0.9,0.27,4.5,4.5,299.570007,1
0.7,0.63,6.93,10.5,851.380005,1
6.5,3.9,43.290001,32.5,2901.959961,0
9.5,2.85,47.459999,142.5,5777.430176,0
6.5,1.95,32.459999,13,2188.47998,0
11,6.6,73.260002,55,4913.689941,0
2,1.8,19.98,10,779.880005,1
5,1.5,24.959999,75,2840.959961,0
0.8,0.72,12,4,547.789978,1
8,4.8,53.279999,80,4199.060059,0
0.6,0.18,1.98,6,197.789993,1
0.9,0.54,9,13.5,1031.890015,1
5,4.5,49.950001,75,3887.77002,0
0.5,0.15,1.64,5,167,1
0.7,0.42,13.98,7,682.02002,1
2.5,1.5,16.65,12.5,1240.550049,0
11,6.6,73.260002,165,7694.689941,0
4,1.2,13.32,8,790.320007,1
9.5,5.7,63.27,47.5,4081.550049,0
9.5,8.55,142.5,95,8526.25,0
11,3.3,54.959999,22,3628.949951,0
8,2.4,26.639999,16,1967.630005,0
0.8,0.48,15.99,12,1364.209961,0
2.5,1.5,24.959999,25,2019.349976,0
2,1.8,19.98,20,1521.329956,0
0.6,0.36,12,9,767.099976,1
9.5,2.85,47.459999,47.5,3733.669922,0
4,2.4,39.959999,60,3361.120117,0
8,7.2,79.919998,120,6134.140137,0
4,2.4,26.639999,40,2245.800049,0
0.6,0.18,1.98,1.2,71.699997,1
0.9,0.54,18,9,1079.47998,0
3,2.7,29.969999,45,2454.570068,0
0.5,0.15,4.98,1,152.550003,1
11,3.3,36.630001,110,4411.910156,0
0.5,0.45,7.5,5,363.519989,1
0.6,0.18,6,9,436.48999,1
6.5,3.9,64.980003,97.5,5254.040039,0
0.5,0.15,1.64,5,164.389999,1
0.6,0.54,18,3,794.400024,1
0.5,0.45,15,2.5,655.97998,1
0.5,0.45,4.95,2.5,238.220001,1
8,7.2,120,80,7075.549805,0
0.9,0.27,9,13.5,1111.430054,0
9.5,5.7,94.980003,142.5,8077.879883,0
0.9,0.54,9,9,610.76001,1
0.5,0.3,3.33,7.5,260.070007,1
2,0.6,6.66,30,1248.180054,0
0.6,0.18,3,3,210.070007,1
5,4.5,75,75,5174.930176,0
0.7,0.42,4.64,1.4,211.149994,1
3,0.9,9.99,15,1049.77002,1
0.5,0.45,7.5,7.5,503.450012,1
4,2.4,39.959999,40,2987.01001,0
5,4.5,49.950001,75,3899.810059,0
0.9,0.54,9,4.5,427.420013,1
3,0.9,9.99,30,1372.280029,0
9.5,8.55,94.949997,47.5,5219.470215,0
2.5,1.5,24.959999,37.5,2141.97998,0
1.5,0.9,9.99,22.5,1210.319946,0
0.6,0.18,6,1.2,186.110001,1
8,4.8,53.279999,120,4883.209961,0
0.7,0.21,2.3,7,262.119995,1
8,7.2,79.919998,80,5479.569824,0
0.8,0.24,2.64,12,721.75,1
0.5,0.15,4.98,7.5,365.480011,1
2.5,0.75,8.28,5,382.859985,1
2,0.6,6.66,30,1321.060059,0
0.8,0.24,2.64,8,307.190002,1
0.7,0.42,6.96,7,418.609985,1
0.6,0.18,6,6,393.149994,1
9.5,2.85,31.59,47.5,2804.169922,0
9.5,5.7,94.980003,142.5,8099.609863,0
0.8,0.24,2.64,4,188.039993,1
4,1.2,13.32,20,1272.800049,0
1.5,0.45,4.95,22.5,1109.01001,0
8,4.8,79.980003,80,5705.390137,0
3,0.9,9.99,30,1359.329956,0
0.7,0.21,6.99,10.5,915.950012,1
0.8,0.48,7.98,12,953.52002,1
2,0.6,6.66,4,321.940002,1
0.9,0.27,2.97,1.8,170.309998,1
0.5,0.15,1.64,2.5,119.279999,1
0.5,0.3,4.98,2.5,247.759995,1
6.5,1.95,21.6,13,1598.619995,0
0.5,0.15,4.98,7.5,363,1
5,3,49.98,25,3079.429932,0
6.5,1.95,21.6,32.5,2080.149902,0
2,1.8,30,10,1471.040039,0
5,1.5,24.959999,10,1452.209961,0
0.5,0.15,2.46,1,97.419998,1
6.5,5.85,97.5,65,5776.919922,0
6.5,1.95,32.459999,13,2230.639893,0
0.7,0.63,10.5,7,521.859985,1
9.5,5.7,94.980003,47.5,5569.589844,0
6.5,5.85,64.980003,97.5,5113.72998,0
0.5,0.3,3.33,2.5,179.169998,1
0.7,0.21,2.3,1.4,133.270004,1
2,1.2,13.32,10,732.409973,1
3,0.9,9.99,6,499.600006,1
2,0.6,6.66,4,330.519989,1
2,1.8,19.98,20,1535.089966,0
4,2.4,39.959999,60,3351.570068,0
0.9,0.81,13.5,13.5,1239.609985,0
4,2.4,26.639999,8,1355.150024,0
4,2.4,26.639999,20,1821.709961,0
0.6,0.54,9,3,397.5,1
8,4.8,53.279999,16,3016.030029,0
0.8,0.72,12,4,537.549988,1
3,1.8,19.98,15,1431.619995,0
5,3,33.299999,50,2768.48999,0
5,4.5,75,25,4154.330078,0
11,3.3,54.959999,55,4302.819824,0
11,6.6,73.260002,110,5798.919922,0
9.5,5.7,63.27,95,5065.129883,0
4,1.2,19.98,60,2414.580078,0
2,0.6,9.96,10,683.5,1
11,6.6,73.260002,110,5798.540039,0
0.8,0.24,7.98,8,514.619995,1
0.7,0.42,13.98,1.4,334.230011,1
3,2.7,29.969999,15,1809.48999,0
9.5,8.55,142.5,47.5,7655.819824,0
6.5,1.95,21.6,13,1662.800049,0
2,1.2,13.32,10,748.619995,1
0.6,0.36,3.96,1.2,113.660004,1
8,7.2,120,80,7086.509766,0
0.5,0.15,1.64,7.5,210.619995,1
0.7,0.21,2.3,3.5,157.990005,1
1.5,1.35,14.94,22.5,1442.060059,0
5,1.5,16.65,25,1726.540039,0
2,1.8,30,30,2275.5,0
0.8,0.24,2.64,1.6,156.610001,1
2.5,1.5,16.65,25,1567.790039,0
0.9,0.54,18,4.5,810.299988,1
0.7,0.42,4.64,10.5,715.799988,1
0.5,0.45,7.5,5,362.119995,1
11,3.3,36.630001,165,6403.620117,0
0.6,0.18,3,6,269.640015,1
0.7,0.42,13.98,1.4,631.01001,1
5,4.5,49.950001,25,3002.189941,0
0.6,0.36,12,6,704.440002,1
0.5,0.15,1.64,2.5,120.089996,1
4,1.2,13.32,60,2181.669922,0
2.5,1.5,24.959999,12.5,1640.180054,0
6.5,3.9,43.290001,97.5,4111.899902,0
0.8,0.24,3.96,1.6,224.449997,1
0.7,0.42,13.98,3.5,631.219971,1
0.5,0.3,9.99,2.5,456.880005,1
6.5,1.95,21.6,32.5,1988.089966,0
9.5,2.85,47.459999,19,3087.25,0
0.6,0.36,12,1.2,495.720001,1
0.6,0.54,9,9,615.210022,1
9.5,8.55,94.949997,95,6554.069824,0
5,3,33.299999,75,3168.620117,0
0.7,0.21,2.3,3.5,155.300003,1
4,3.6,60,60,4303.060059,0
0.9,0.27,2.97,4.5,214.800003,1
5,4.5,49.950001,50,3568.419922,0
2.5,1.5,16.65,5,631.76001,1
2,0.6,9.96,30,1357.920044,0
0.5,0.15,2.46,7.5,269.130005,1
4,2.4,39.959999,20,2420.449951,0
0.6,0.54,5.94,1.2,152.550003,1
11,3.3,36.630001,55,3233.889893,0
0.6,0.36,12,9,767.099976,1
1.5,1.35,14.94,7.5,608.030029,1
0.6,0.54,18,9,880.409973,1
6.5,5.85,97.5,97.5,6809.509766,0
9.5,2.85,31.59,95,3772.23999,0
6.5,1.95,32.459999,97.5,3970.689941,0
0.8,0.24,7.98,12,1050.26001,1
5,1.5,24.959999,25,2170.5,0
3,2.7,45,30,2842.330078,0
0.6,0.54,5.94,3,278.73999,1
0.9,0.54,5.94,9,462.799988,1
2,1.2,19.98,30,1834.579956,0
0.5,0.45,15,1,350.540009,1
3,0.9,15,30,1621.569946,0
0.5,0.45,4.95,7.5,323.130005,1
4,2.4,26.639999,60,2611.620117,0
0.9,0.81,13.5,4.5,607.289978,1
2.5,0.75,12.48,5,555,1
2,1.2,19.98,30,1814.689941,0
2,1.2,13.32,30,1455.579956,0
0.5,0.45,7.5,2.5,332.899994,1
9.5,5.7,63.27,142.5,6361.540039,0
0.6,0.54,5.94,1.2,152.960007,1
1.5,0.9,15,7.5,626.929993,1
0.9,0.54,18,13.5,1478.459961,0
0.8,0.72,12,4,530.179993,1
2,1.8,30,20,1920.949951,0
0.9,0.54,9,9,638.580017,1
0.7,0.21,2.3,10.5,654.22998,1
0.5,0.45,15,1,350.730011,1
0.6,0.18,3,1.2,121.660004,1
0.8,0.48,5.31,4,298.480011,1
1.5,1.35,14.94,15,1228.01001,0
6.5,5.85,97.5,32.5,5255.759766,0
0.9,0.27,9,13.5,1135.420044,0
1.5,0.9,15,15,1261.439941,0
2,1.8,30,30,2283.419922,0
0.5,0.45,15,7.5,717.059998,1
2.5,2.25,24.93,37.5,2096.25,0
2.5,0.75,8.28,12.5,897.419983,1
0.7,0.42,6.96,10.5,855.849976,1
0.8,0.24,3.96,12,728.549988,1
0.8,0.24,7.98,12,1019.070007,1
3,0.9,15,15,1332.51001,0
0.5,0.15,4.98,5,304.329987,1
9.5,5.7,94.980003,95,6838.509766,0
0.5,0.15,4.98,5,316.619995,1
5,1.5,24.959999,50,2610.399902,0
0.5,0.3,3.33,7.5,267.369995,1
0.9,0.27,9,4.5,492.809998,1
0.8,0.72,7.92,12,918.580017,1
9.5,2.85,47.459999,47.5,3759.370117,0
0.7,0.42,13.98,1.4,327.779999,1
0.5,0.45,4.95,2.5,237.289993,1
2.5,0.75,12.48,25,1467.079956,0
5,1.5,24.959999,10,1120.189941,0
2,0.6,9.96,30,1339.23999,0
5,3,33.299999,50,2769.719971,0
4,2.4,39.959999,20,2416.100098,0
0.7,0.21,3.48,3.5,244.869995,1
0.8,0.24,2.64,12,713.340027,1
0.6,0.54,5.94,6,358.820007,1
0.7,0.63,6.93,3.5,337.390015,1
11,3.3,36.630001,22,2618.199951,0
0.5,0.15,4.98,5,327.690002,1
4,1.2,13.32,20,1246.930054,0
0.6,0.36,6,9,460.73999,1
6.5,3.9,64.980003,97.5,5367.22998,0
4,3.6,60,20,3332.679932,0
0.8,0.24,3.96,4,281.049988,1
5,3,49.98,75,4016.75,0
0.9,0.27,9,1.8,465.519989,1
8,7.2,79.919998,40,4479.870117,0
0.6,0.54,18,6,808.809998,1
0.7,0.42,13.98,3.5,624.799988,1
5,3,33.299999,50,2752.25,0
3,1.8,30,45,2655.929932,0
6.5,3.9,43.290001,13,2466.98999,0
5,3,49.98,50,3646.699951,0
2.5,2.25,24.93,37.5,2098.600098,0
4,1.2,13.32,8,635.02002,1
8,4.8,53.279999,80,4172.089844,0
0.7,0.21,3.48,1.4,137.210007,1
0.9,0.81,9,4.5,413.179993,1
8,7.2,79.919998,80,5473.339844,0
8,4.8,79.980003,120,6354.060059,0
0.9,0.27,2.97,13.5,764.140015,1
4,3.6,39.959999,40,2844.629883,0
0.8,0.72,12,12,1166.910034,0
0.6,0.54,18,3,794.400024,1
0.7,0.63,6.93,10.5,866.77002,1
0.9,0.27,9,1.8,457.690002,1
0.8,0.48,15.99,4,718.780029,1
1.5,1.35,14.94,7.5,764.47998,1
0.6,0.18,1.98,1.2,74.330002,1
3,0.9,15,15,1344.880005,0
0.9,0.54,5.94,4.5,306.429993,1
0.7,0.21,2.3,10.5,648.099976,1
8,7.2,120,120,8250.629883,0
0.9,0.27,4.5,13.5,795.359985,1
0.5,0.45,15,5,674.23999,1
8,2.4,26.639999,40,2398.52002,0
0.6,0.36,3.96,1.2,120.269997,1
0.8,0.24,7.98,8,617.72998,1
0.5,0.15,4.98,2.5,280.350006,1
6.5,3.9,43.290001,65,3528.350098,0
3,0.9,9.99,30,1401.439941,0
0.7,0.21,6.99,7,457.940002,1
0.7,0.21,3.48,1.4,124.470001,1
0.7,0.63,6.93,7,394.380005,1
0.8,0.48,7.98,12,931.169983,1
0.6,0.18,3,3,213.820007,1
2.5,0.75,8.28,25,1249.459961,0
0.9,0.54,18,13.5,1478.459961,0
0.5,0.15,4.98,2.5,284.730011,1
0.8,0.48,7.98,8,483.019989,1
0.5,0.45,15,7.5,729.359985,1
2,1.8,30,30,2288.580078,0
5,1.5,24.959999,50,2506.5,0
2.5,1.5,24.959999,12.5,1643.400024,0
0.7,0.42,13.98,10.5,1219.26001,0
0.8,0.48,7.98,4,383.450012,1
11,3.3,36.630001,165,6404.089844,0
11,6.6,73.260002,165,7579.810059,0
0.6,0.54,18,6,1008.880005,1
9.5,5.7,63.27,95,5082.669922,0
2.5,2.25,37.5,37.5,2812.02002,0
8,4.8,53.279999,80,4235.830078,0
0.8,0.48,15.99,1.6,680.849976,1
0.5,0.3,9.99,5,484.809998,1
11,6.6,73.260002,22,4177.609863,0
8,2.4,26.639999,16,1896.910034,0
9.5,8.55,142.5,95,8529.129883,0
0.7,0.21,2.3,1.4,96.43,1
0.7,0.21,2.3,1.4,97.68,1
2.5,2.25,24.93,12.5,1597.349976,0
0.9,0.27,2.97,1.8,136.740005,1
1.5,0.9,15,15,1266.310059,0
0.9,0.54,5.94,1.8,172.639999,1
6.5,1.95,21.6,97.5,3418.5,0
3,1.8,30,45,2615.050049,0
4,3.6,39.959999,60,3156.540039,0
4,2.4,39.959999,20,2425.699951,0
11,3.3,54.959999,110,5223.379883,0
3,1.8,19.98,15,1445.920044,0
0.7,0.21,6.99,10.5,950.909973,1
3,2.7,45,45,3270.830078,0
2,1.2,13.32,4,540.130005,1
2,1.2,13.32,20,1224.949951,0
8,2.4,26.639999,120,4019.72998,0
4,2.4,26.639999,40,2245.01001,0
9.5,8.55,94.949997,47.5,5222.680176,0
0.7,0.63,10.5,10.5,1047.449951,1
0.5,0.15,4.98,1,159.630005,1
0.7,0.42,4.64,10.5,732,1
1.5,1.35,14.94,3,554.719971,1
