@relation wizmir
@attribute Max_temperature numeric
@attribute Min_temperature numeric
@attribute Dewpoint numeric
@attribute Precipitation numeric
@attribute Sea_level_pressure numeric
@attribute Standard_pressure numeric
@attribute Visibility numeric
@attribute Wind_speed numeric
@attribute Max_wind_speed numeric
@attribute class numeric
@attribute group {0,1}
@data
89.8,58.1,51.7,0,29.95,7.2,7.14,13.8,34.28,73.5,0
96.8,72,46.5,0,29.74,7.3,15.7,20.8,25.32,86.4,0
59.4,35.2,40.5,0,30.01,4.5,10.2,20.8,34.28,46.4,1
93.2,73.6,54.5,0,29.8,6.9,20.4,25.3,34.28,83.9,0
58.3,50,50.6,1.3,29.96,7.2,8.75,13.8,34.28,53.6,1
97.3,68.5,56,0,29.8,7.3,11.3,23,34.28,83.5,0
60.6,36.5,40.5,0,30.12,7.6,10.8,19.81,34.28,48,1
65.5,42.8,47.1,0.1,30.07,7.7,4.95,9.21,34.28,55.3,1
57.7,45.7,38.4,0,29.88,7.7,16.4,23,34.28,50.6,1
79.9,62.6,55.5,0,29.95,7.8,20.4,27.5,41.31,70.9,0
75.2,58.8,43,0,29.91,7.1,17,23,34.28,66.4,0
64.8,53.6,55.3,1.1,29.88,6.9,7.94,13.8,34.28,58.2,1
73.9,48.7,46.4,0,29.86,7.6,11.1,18.3,34.28,63.5,0
89.1,65.8,60.7,0,29.89,7.4,9.44,18.3,34.28,77.8,0
88.7,58.6,51.8,0,29.9,7.2,8.17,13.8,34.28,75.6,0
62.2,45.3,49.5,0.6,30.19,4.3,4.03,13.8,34.28,52.4,1
77.4,56.1,43.4,0,30.05,6.9,16.1,23,25.32,66.3,0
62.6,42.6,47.6,1,29.79,7.7,14.3,25.3,34.28,52.9,1
61.2,33.4,35.9,0,30.03,6.7,6.21,13.8,34.28,49.4,1
60.8,45,36.2,0,30.14,7.4,19.2,25.3,34.28,52.5,1
61.2,53.6,52.2,0,30.13,7.6,8.06,13.8,34.28,57.8,1
60.8,41,48,0,30.15,7.5,7.71,16.1,34.28,54,1
55.4,26.6,29.6,0,30.23,7.3,6.33,13.8,34.28,40.7,1
85.3,67.1,64.3,0,29.85,7.8,12.4,20.8,34.28,76.2,0
76.1,53.6,33.3,1,29.74,7.6,9.44,20.8,34.28,66.4,0
79.2,51.8,52.9,0,29.97,7.6,4.49,6.9,34.28,67.3,0
57.2,39.2,39.6,0.7,30.02,7.6,11.7,20.8,34.28,48.7,1
86.7,60.3,55.5,0,29.99,7.2,13.3,23,34.28,74.6,0
96.8,72.7,57.9,0,29.82,7.1,19.4,25.3,34.41,85.5,0
55.9,37.4,41.3,0,30.04,7.5,8.75,16.1,34.28,46.7,1
63.7,44.6,50,0.9,29.94,7.8,6.9,18.3,34.28,54.2,1
48.2,29.7,25.8,0,29.97,7.4,7.37,13.8,20.83,40.6,1
71.6,58.3,51.6,0,29.8,7.7,16.3,29.9,34.28,64.4,0
48.9,32,46.5,0,29.9,2.9,5.75,13.8,34.28,46.8,1
81.1,54.3,53.6,0,30.01,7.4,8.17,13.8,34.28,68.5,0
44.4,35.1,26.2,0,30.18,7.8,18.4,25.3,34.41,37.7,1
94.1,60.6,52.7,0,29.85,7.4,6.67,16.1,34.28,77.5,0
83.7,64.4,63.3,0.1,29.79,7.4,8.75,18.3,34.28,74,0
54,27.9,35.4,0,30.21,6.1,3.22,11.3,34.28,41.5,1
57.4,29.3,35.2,0,30.05,5.8,5.06,11.3,34.28,42.6,1
89.8,68.7,53.5,0,30.06,7.4,16.8,27.5,39.13,78.3,0
80.6,64.4,48.9,0,29.81,7.7,24.1,29.9,34.41,71.7,0
57.7,46,43.8,0.1,29.78,7.5,15.4,23,34.28,50.8,1
50,41.9,46.7,1.1,29.63,7.1,7.71,13.8,34.28,46.8,1
61.2,50.5,51.4,0.1,29.77,7.4,10.3,20.8,34.28,55.1,1
60.8,36.7,45,0.2,29.78,7.8,14.3,25.3,34.28,50.7,1
77.2,49.8,54.6,0,30.15,6.4,4.26,11.3,34.28,62.7,0
55.4,40.8,40.3,1.1,29.96,7.7,5.29,11.3,34.28,47.4,1
58.5,42.8,43.8,0.09,29.98,7.5,8.63,16.1,34.28,51,1
60.1,45.1,48.1,1.5,30.2,8,6.44,13.8,34.28,51.2,1
82.2,62.6,55.3,0,29.89,7.6,12.2,18.3,34.28,71.2,0
62.8,42.1,48.1,0,30.29,6.3,4.95,11.3,34.28,50.7,1
68.4,50,50.3,0,29.89,7.4,7.83,16.1,34.28,56,1
92.5,64.8,56.2,0,29.87,7.3,10,18.3,34.28,80.6,0
96.3,68,52.6,0,29.78,7.1,12.8,20.8,34.28,82.6,0
95.5,64.4,51.8,0,29.96,7.1,9.78,20.8,34.28,79.3,0
95,68,53.9,0,29.92,7.3,12,18.3,34.28,83,0
46.8,33.8,30,0,30.32,7.4,14,20.8,34.28,40.5,1
61.7,38.1,40.4,0,30.01,7,4.49,11.3,34.28,50.5,1
65.5,42.3,42.4,0,30.19,7.4,13.8,25.3,34.28,53.2,1
57.2,26.6,29.8,0,30.37,7.2,6.67,18.3,34.28,42.3,1
92.5,64.4,61,0,29.53,7.2,12,23,34.28,80.2,0
99,75.2,49.5,0,29.83,7.1,12.8,20.8,34.28,86,0
56.8,33.1,23.5,0,30.31,7.1,13.6,25.3,34.28,45.1,1
55.4,44.6,46,1.1,30.11,7.6,9.09,16.1,34.28,48,1
86.5,61.3,57.1,0,29.92,7.4,12.2,28.8,34.28,75,0
91.4,68,38.6,0,29.83,7.3,23.2,32.2,41.31,81,0
77,51.6,46.8,0,30.05,7.4,9.55,18.3,25.32,66.2,0
87.8,65.8,61.8,0,29.82,7.2,10.3,23,34.28,76.7,0
88.3,68.2,40.8,0,29.99,7,21.1,27.5,34.28,79,0
65.8,37.4,44.9,0,30.25,5,5.64,13.8,34.28,51.8,1
55,40.3,29.4,0,29.99,7.5,23,29.9,39.13,46.2,1
86.4,57.2,57.1,0,29.96,7.2,10.5,16.1,34.28,72.3,0
84.2,66,52.5,0,29.81,7.6,19.7,25.3,34.28,72.8,0
95,75.2,54,0,29.8,7.1,17.4,23,34.28,83.4,0
76.1,56.7,56.9,0,29.87,7.1,4.37,9.21,34.28,65.6,0
91,65.5,51.4,0,29.91,7.2,14.9,25.3,34.28,79.4,0
62.8,40.1,41.8,0,30.04,7.2,11.2,16.1,34.28,52.7,1
90.5,65.5,48.1,0,29.98,7.3,15.1,23,34.28,78.1,0
84.2,57.6,47.2,0,29.95,7.8,8.17,16.1,34.28,71,0
50.7,37,34.4,0,29.95,7.6,13,18.3,34.28,43.8,1
95.4,71.2,57.3,0,29.65,7.2,15.5,20.8,34.28,83.7,0
90.1,70.7,54.3,0,29.72,7.3,18,23,29.92,80.1,0
104,68.5,48.6,0,29.85,7.3,9.44,18.3,34.28,86.5,0
73.9,57.2,54.5,0,29.91,7.5,14.6,25.3,27.5,66.2,0
88.5,60.8,51.2,0,29.93,7.2,13.9,25.3,34.28,76.3,0
82.4,46.2,48.3,0,30.06,7.1,6.9,13.8,34.28,63.2,0
58.1,46.4,51.7,2.7,29.77,7.4,8.17,16.1,34.28,52.5,1
91,68.9,60.2,0,29.81,7.3,11.2,23,34.28,79.9,0
61.5,43.9,40,0,30.02,7.2,19.9,25.3,34.28,51.9,1
61.2,44.4,46.7,0,30.09,7.1,3.11,13.8,34.28,51.4,1
60.8,43.9,29.6,0,30.14,7.5,24,29.9,34.28,51.4,1
86.9,54.7,50.1,0,29.91,7.7,6.56,16.1,34.28,73.5,0
100,74.5,54.2,0,29.92,7.2,13.8,23,34.28,87.8,0
54.7,51.8,51,4.2,29.7,7.3,11,16.1,34.28,53.5,1
85.8,63.3,53.4,0,29.98,7.4,15.5,20.8,34.28,75.2,0
58.8,45.9,48.3,0,29.92,5.2,7.71,16.1,34.28,52.3,1
69.8,46.4,49,0,29.91,7.6,5.98,13.8,34.28,58.4,1
92.5,62.2,59.8,0,29.88,6.8,10.9,20.8,34.28,79,0
94.5,66.2,49.5,0,29.84,7.2,11.5,29.9,34.28,78.9,0
70,46,48.7,0,29.87,8,7.25,13.8,34.28,58.6,1
90.3,56.1,53.6,0,29.91,6.9,6.1,16.1,34.28,72.3,0
55.6,41.5,48.2,0.2,29.77,7.1,11.3,20.8,34.28,51.2,1
62.4,41,44.7,0,30.19,6.3,3.11,9.21,34.28,50.8,1
54,35.4,28,0,30.06,7.4,16.9,47.1,34.28,44,1
57.9,45.9,48.7,0.3,29.62,7.7,8.17,18.3,34.28,51.2,1
76.3,52.9,54.9,0,30.06,6.1,6.56,13.8,34.28,63.1,0
64.4,37,45.3,0,30.06,7.6,11,18.3,34.28,52.7,1
82.4,51.8,52.4,0,30.06,6.9,4.37,39.1,34.28,67.9,0
63.7,54.1,52.1,1.6,29.71,7.8,7.94,31,34.28,59,1
66,58.1,50.7,0.1,29.94,7.8,16.1,27.5,34.28,62.1,0
80.8,51.1,47.8,0,29.87,7.2,4.03,9.21,34.28,66.7,0
60.8,41,44.9,0.2,30.16,7,4.6,11.3,34.28,49.4,1
81,51.1,55.7,0,29.99,6.5,6.44,13.8,34.28,66.2,0
86.5,62.6,56.2,0,30.06,7.1,15.7,23,34.28,76.6,0
64.4,54.5,51.6,0,29.91,7.8,11.3,25.3,34.28,60.3,0
76.6,59,42.2,0,30.12,7.1,18.7,23,34.28,66,0
46.4,34.2,34.3,0.6,29.94,8,12.7,18.3,34.28,41.8,1
67.8,48,52.3,0.09,30.17,7.8,4.26,9.21,34.28,58.5,1
64.2,51.8,49,1.1,29.94,7.6,15.7,23,34.28,56.4,1
43.2,37.6,26.7,0,29.87,7.9,24.1,32.2,46.03,40.1,1
52.9,24.8,24.6,0,30,7.2,6.56,16.1,34.28,40.4,1
82.4,51.3,53.6,0,30.03,7.3,5.18,13.8,34.28,66.9,0
48.2,27.5,31.3,0,30.12,7.3,6.21,13.8,34.28,37.3,1
48.9,32,28.4,0,29.9,7.6,18.1,29.9,41.31,41.4,1
68.7,41.2,47.5,0,30.3,6.2,7.02,16.1,34.28,54,1
86.2,62.1,59.9,0,29.94,7.3,12.2,35.5,34.28,72.7,0
80.8,53.2,55.5,0,30.06,6.5,10.5,20.8,34.28,67.9,0
79.9,62.2,56.1,0,29.96,7.4,19.7,27.5,39.13,71.7,0
79.9,66.4,56.4,0,29.74,7.5,19.7,27.5,29.92,72.9,0
68.5,37.4,40.2,0,30.19,4.5,1.96,6.9,34.28,50.1,1
67.6,36.1,44.4,0,29.91,7,6.79,13.8,34.28,52.8,1
45.3,38.7,38,0.3,29.81,6.7,5.52,19.81,34.28,42.3,1
94.5,72.3,57.2,0,29.83,7.2,18.8,25.3,34.28,83.2,0
87.8,58.5,57.6,0.09,29.79,7.8,7.14,19.81,34.28,71.6,0
64.4,51.8,48.1,0,30.01,8,13.3,20.8,34.28,57.2,1
79.5,51.8,49.1,0,29.98,7.6,5.52,13.8,34.28,64.4,0
52.9,27.9,31,0,30.1,6.5,4.26,13.8,34.28,38.9,1
55.8,25.5,29.8,0,29.99,7.3,4.14,11.3,34.28,40.6,1
81,53.2,50.3,0,30,7.5,8.06,16.1,34.28,66.7,0
74.5,50.7,55.5,0.09,29.82,7.7,11.9,23,34.28,65.2,0
92.3,73.2,43.7,0,29.9,7.2,18,23,34.28,81.6,0
49.5,29.3,31.7,0,30.18,7.3,9.55,18.3,34.28,39.9,1
88.9,66,56.9,0,29.78,7.3,15.1,23,34.28,79.6,0
81.1,47.5,50.8,0,30.07,7.2,5.52,16.1,34.28,65.6,0
59.2,42.1,37.4,0,30.09,7.3,18.4,25.3,34.28,50.5,1
64.4,42.8,40.6,0,30.06,7.3,11.1,18.3,34.28,53.4,1
79.3,52.3,49.9,0,29.95,7,14.3,20.8,34.28,68.1,0
72.3,46,48.2,0,29.8,7.7,7.94,18.3,34.28,59.1,1
81.1,69.8,58.4,0,29.88,7.7,14,18.3,34.28,73.9,0
55.9,44.6,42.9,0,30.16,7.8,14.5,20.8,34.28,48.7,1
50,39.2,27.4,0,30.11,8.2,26,68.8,34.28,44.1,1
50,39.2,32.3,0,30.42,7.7,24.6,29.9,41.31,44.8,1
66.6,37.4,38.6,0,30.13,6.1,3.68,16.1,34.28,49.6,1
78.8,49.1,50.5,0,30,7.3,10.4,18.3,34.28,65.5,0
57.2,35.6,35.6,0,29.95,7.4,13.5,20.8,34.28,46.9,1
59.4,31.5,40.3,0,30.13,5.7,3.45,11.3,34.28,45.1,1
77,48.2,47.7,0,30.02,7.2,6.67,16.1,34.28,62.2,0
61.5,40.8,36.1,0,29.94,7.3,12.5,18.3,34.28,52,1
93.2,75.2,60.2,0,29.8,7.3,17.6,23,34.28,83.2,0
96.8,66.2,51.5,1.4,29.89,7.4,8.52,16.1,34.28,82.4,0
84.4,59.9,48.6,0,29.83,7.4,10.8,18.3,34.28,71.6,0
91,70.2,55.6,0,29.87,7.3,16,23,34.28,80.3,0
91.9,72.3,51,0,29.9,7.2,19.2,25.3,34.28,81,0
75.7,56.3,42.9,0,29.94,7.4,14.3,18.3,34.28,66,0
91.4,70.2,52.9,0,29.94,7.3,14,20.8,34.28,81.3,0
93.2,67.3,59.6,0,29.81,7.3,7.25,18.3,34.28,79,0
44.6,40.3,38.6,1.1,29.79,7.8,19.9,23,34.28,42.3,1
41,33.8,33.2,0.1,29.77,8.1,18.6,23,34.28,38.3,1
99,71.6,58.3,0,29.62,7.3,18.5,25.3,34.28,86.2,0
45.1,23.5,24.9,0,30.33,6.9,5.98,13.8,34.28,33.9,1
94.1,71.6,45.7,0,29.96,7.2,20,25.3,34.28,82.7,0
46.9,28.8,30.9,0,30.3,7.4,5.75,13.8,34.28,36.4,1
67.3,46.4,47.1,0.09,30.07,7.7,9.09,16.1,34.28,57.8,1
52.3,38.1,33.4,0,30.03,7.6,14.5,20.8,34.28,45.2,1
89.1,59.2,50.1,0,29.98,7.3,11.6,23,34.28,77.2,0
57.2,35.1,34.8,0,30.12,7.4,11.7,23,34.28,47.7,1
91.4,61.5,50.9,0,29.84,7.2,6.79,16.1,34.28,77.3,0
62.4,50,50.5,0.3,29.96,5.7,11.5,18.3,34.28,55.3,1
61.9,39.2,48.8,0.5,30,6.3,6.44,11.3,34.28,51.4,1
66.9,35.8,40.4,0,29.99,7.1,7.14,13.8,34.28,52.1,1
80.2,63.3,60.1,0,29.79,7.7,14.2,27.5,39.13,71.7,0
79.9,51.8,43.9,0,29.82,7.1,6.56,16.1,34.28,66,0
92.8,62.6,58.2,0,29.97,6.8,14.5,25.3,29.92,78.8,0
55.4,38.5,33.2,0,30.2,7.5,13.9,23,34.28,46.6,1
57.2,37.6,44,0,30.09,6.4,14.8,25.3,34.28,48.5,1
77,43.5,48,0,30.22,6.9,4.49,13.8,34.28,60.6,0
86.4,63,39.8,0,29.67,7.7,9.78,18.3,34.28,74.6,0
95,72.5,46.3,0,29.89,7.1,18.9,23,34.28,82.9,0
82.4,48.2,46.3,0,29.94,7.2,7.48,16.1,34.28,64.6,0
50,26.6,35.7,0,30.2,6.8,7.94,27.5,34.28,40,1
54.7,45.5,48.1,0.6,29.91,7.6,3.57,11.3,34.28,49.8,1
64.4,50.5,49.7,0.1,29.71,6.2,15.1,27.5,39.13,55.8,1
100,65.5,57,0,29.6,7.3,5.52,11.3,34.28,82,0
55.4,36.1,34,0,29.93,7.7,12,18.3,34.28,45.9,1
57.6,37.9,45.6,0,30.12,7.2,5.18,9.21,34.28,49.7,1
83.3,60.8,51.6,0,30.02,7.2,17.6,25.3,34.28,72.9,0
95,58.8,54.8,0,29.88,7.2,5.87,16.1,34.28,80.5,0
96.6,75.4,51.7,0,29.82,7.2,20.2,27.5,34.28,85.4,0
63.5,46.4,49.9,0.6,29.68,5.9,7.71,13.8,34.28,54.5,1
62.6,41.5,45.7,0,30.19,7.1,6.44,13.8,34.28,52.9,1
55.4,28.4,32.3,0,30.04,5.5,3.68,11.3,34.28,40.2,1
71.6,41.2,48.4,0,29.99,7.4,7.25,16.1,34.28,58.9,1
95,69.8,53.9,0,29.73,7.5,10,18.3,34.28,84,0
79.2,49.8,52.6,0,30.17,6,4.95,11.3,34.28,63.6,0
68.2,50,46.8,0,30.16,6.9,14,20.8,34.28,59.5,1
69.8,53.6,59.1,0.9,29.82,6.9,12.6,20.8,34.28,62.3,0
57.7,47.5,50.1,1,29.62,6.5,15.8,23,34.41,52.5,1
54.7,33.1,42,0.09,30.09,6,6.56,16.1,34.28,46.1,1
86.5,54.7,53.8,0,30,7.1,8.98,18.3,34.28,72.9,0
83.5,53.1,55.4,0,29.96,7.5,10.5,20.8,34.28,71.9,0
65.1,51.8,55,0,29.99,7.8,7.14,16.1,34.28,60.1,0
93.9,71.6,49.8,0,29.71,7.2,18,25.3,29.92,82.3,0
60.4,31.5,40.4,0,30.17,6.5,4.03,9.21,34.28,45.5,1
91.4,71.1,55,0,29.76,7.3,18.5,25.3,32.22,80.2,0
64.4,57,51.3,0.7,29.8,7.9,14.7,20.8,32.22,60.7,0
52.5,26.6,33.3,0,30.27,5.1,2.88,6.9,34.28,38.6,1
48.2,32,30,0,30.22,7.7,13.4,20.8,34.28,40.3,1
68.4,34.7,40.2,0,30.17,7.2,7.14,46,34.28,52.2,1
64.9,42.4,40.7,0,30.04,7.5,13.8,20.8,34.28,54.9,1
66.4,53.2,48,0.09,29.86,7.6,19.5,27.5,43.62,59.5,1
68.5,38.1,42.6,0,30.03,8.1,4.37,13.8,34.28,53.5,1
55.8,34,42.5,0,29.93,7.5,12.2,18.3,34.28,47.6,1
54.3,45.3,38.8,0,29.9,7.8,25.8,29.9,41.31,49.9,1
71.2,44.2,51.3,0,30.05,7.1,7.14,13.8,34.28,58.3,1
96.3,64.6,55.7,0,29.75,7.6,4.37,16.1,34.28,79.1,0
45.5,37.4,33.1,0.2,29.9,7.8,20.2,27.5,34.28,40.6,1
64.4,42.8,44.5,0,30.01,7.5,10.3,16.1,34.28,54.4,1
62.6,42.3,43.2,0,29.93,7.5,11,25.3,34.28,52.7,1
55.4,38.5,36.8,0,29.95,8.1,8.75,20.8,34.28,47.2,1
64.4,36.5,37.8,0,30.02,7.3,8.4,16.1,34.28,52.1,1
64.8,41.7,47.7,0.09,29.89,8,12,20.8,34.28,55,1
86,71.6,61.7,0,29.97,7,19.4,29.9,34.28,77,0
55.4,30.7,39.4,0,30.16,7.1,5.06,13.8,34.28,45.9,1
80.2,56.5,51.6,0,30.09,7.3,7.02,18.3,34.28,68.1,0
45.7,15.8,17.2,0,30.43,7.3,3.34,11.3,34.28,30,1
45.9,37.4,36.6,0.09,29.76,7.6,14,18.3,34.28,41.7,1
65.1,42.6,51.2,0.2,30.12,5.7,3.8,9.21,34.28,53.5,1
87.8,66.2,59.4,0,29.98,7.2,10.4,18.3,34.28,76.2,0
60.8,41,39.3,0,30.15,7.6,12.3,18.3,34.28,52.6,1
82.6,68,61,0,29.82,7.5,12.8,25.3,34.28,75.1,0
80.6,69.8,61.7,0,29.82,7.8,17.8,27.5,41.31,73.8,0
93.2,73.4,60,0,29.75,7.3,16.9,20.8,29.92,83,0
59.7,35.4,38.9,0,29.87,7.7,17.8,32.2,34.41,49.9,1
74.3,49.3,49.5,0,29.92,7.8,9.55,18.3,34.28,62.1,0
91.6,59,51.7,0,29.87,7.3,9.55,18.3,34.28,76.6,0
85.6,62.4,52.8,0,29.94,7.4,10.4,16.1,34.28,74.3,0
47.5,33.6,17.9,0,30.28,7.4,20.6,27.5,34.28,38.9,1
73.9,50,47.3,0,30,7.6,13.2,25.3,34.28,63,0
88.7,61.2,58.7,0,29.75,7.3,7.14,23,34.28,76.1,0
43.5,37,33,0,30.16,7.6,15.4,29.9,34.28,40,1
99.3,62.4,50.5,0,29.81,7.2,6.56,16.1,34.28,80.9,0
69.8,51.4,52.4,0,29.9,7.4,7.71,13.8,34.28,62,0
48.4,37.4,37.2,0,30.18,6.6,4.49,9.21,34.28,42.7,1
62.6,39.2,34.7,0,30.2,7.2,12.6,20.8,34.28,50,1
46.4,34.7,31.9,0,30.4,7.8,3.68,6.9,34.28,41,1
39.2,24.8,15.2,0,30.3,7.4,14.7,20.8,34.28,32.3,1
89.6,68.7,48,0,29.93,7.2,23.8,32.2,41.31,78.8,0
45.5,26.6,25.4,0,30.08,7.4,9.78,18.3,34.28,34.8,1
84.6,57.6,54.5,0,29.91,7.5,7.14,16.1,34.28,71.1,0
58.6,46.4,41.1,1,30.06,7.7,20.1,27.5,34.28,50.8,1
73,57.2,57.9,0.3,29.86,7.7,16,23,34.28,64.6,0
53.6,45.5,46.62,0,29.96,6.2,2.76,11.39,34.28,50.2,1
51.1,35.6,42.2,0.09,30.06,3.7,2.07,6.9,34.28,43.2,1
73.6,47.8,50.5,0.09,30,7.3,3.8,11.3,34.28,59.7,1
