@relation machine
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric
@attribute group {0,1}
@data
240,512,1000,8,1,3,6,1
240,512,2000,8,1,5,11,1
105,2000,4000,8,3,8,22,1
105,2000,6000,16,6,16,33,1
105,2000,8000,16,4,14,58,0
52,4000,16000,32,4,12,130,0
70,4000,12000,8,6,8,75,0
59,4000,12000,32,6,12,113,0
59,8000,16000,64,12,24,188,0
26,8000,24000,32,8,16,173,0
26,8000,32000,64,12,16,248,0
26,8000,32000,128,24,32,405,0
116,2000,8000,32,5,28,70,0
50,2000,32000,24,6,26,114,0
50,2000,32000,48,26,52,208,0
50,2000,32000,112,52,104,307,0
50,4000,32000,112,52,104,397,0
30,8000,64000,96,12,176,915,0
30,8000,64000,128,12,176,1150,0
180,262,4000,0,1,3,12,1
180,512,4000,0,1,3,14,1
180,262,4000,0,1,3,18,1
180,512,4000,0,1,3,21,1
124,1000,8000,0,1,8,42,1
98,1000,8000,32,2,8,46,1
125,2000,8000,0,2,14,52,0
480,512,8000,32,0,0,67,0
480,1000,4000,0,0,0,45,1
