@relation ozone
@attribute class numeric
@attribute VDB500HT numeric
@attribute WDSP numeric
@attribute HMDTY numeric
@attribute SDAFBTMP numeric
@attribute INVHT numeric
@attribute DAGPG numeric
@attribute INVTMP numeric
@attribute VZBLTY numeric
@attribute group {0,1}
@data
14,5720,4,71,42,1381,4,56,60,0
9,5710,3,19,55,5000,-16,50,100,1
11,5600,6,45,40,5000,38,47,150,0
7,5630,4,44,39,1302,40,53,150,1
9,5690,7,70,57,1292,-5,54,200,1
12,5730,6,45,58,5000,-14,53,100,0
12,5710,3,46,62,472,34,63,300,0
8,5610,6,50,51,1404,42,55,120,1
9,5680,5,69,61,944,35,56,100,1
5,5620,6,67,34,5000,75,35,200,1
4,5420,7,69,35,5000,41,31,200,1
4,5540,5,54,35,5000,62,33,200,1
9,5590,6,51,48,5000,44,42,300,1
13,5690,6,63,59,2014,31,53,300,0
5,5550,7,63,41,5000,56,37,250,1
10,5620,7,57,58,5000,27,48,120,0
10,5630,6,61,51,524,57,55,140,0
7,5580,7,78,46,5000,55,38,200,1
5,5560,4,65,40,5000,59,35,140,1
4,5440,5,44,35,5000,24,33,80,1
7,5480,7,51,46,2490,29,47,300,1
3,5620,5,73,39,5000,107,31,100,1
4,5450,11,35,32,5000,36,33,300,1
7,5660,6,35,47,5000,28,39,200,1
11,5680,6,61,50,1144,30,54,120,0
15,5760,4,50,65,547,1,67,100,0
22,5790,4,57,66,413,10,70,120,0
17,5720,5,68,69,610,46,64,60,0
7,5660,6,58,59,3638,81,51,120,1
10,5710,5,65,64,3848,45,57,100,0
19,5780,7,78,68,1479,40,68,100,0
18,5750,7,73,49,1108,55,65,27,0
12,5700,5,41,52,869,0,58,40,0
6,5620,9,47,56,5000,43,38,140,1
9,5650,6,46,55,5000,49,38,150,1
19,5730,5,61,66,1148,31,61,100,0
21,5810,4,55,74,856,4,75,100,0
29,5790,4,60,76,807,16,73,120,0
16,5740,8,78,70,2040,46,64,150,0
11,5690,4,71,67,314,60,59,120,0
2,5680,6,77,41,5000,75,41,120,1
12,5650,8,66,61,1410,20,55,140,0
16,5730,6,74,68,360,23,62,120,0
22,5730,3,78,69,1568,32,68,70,0
20,5760,7,78,74,1184,40,69,80,0
27,5830,6,75,74,898,24,73,70,0
33,5880,3,80,80,436,0,86,40,0
25,5890,6,88,84,774,6,86,20,0
31,5850,4,76,78,1181,50,80,17,0
18,5820,6,63,80,1991,47,70,40,0
24,5800,7,78,76,1597,56,68,50,0
16,5740,3,74,74,1184,52,69,70,0
12,5710,7,63,66,3005,58,59,80,0
9,5720,8,62,66,2880,53,57,120,1
16,5740,5,53,69,2125,64,59,100,0
8,5690,9,62,62,3720,74,51,120,1
9,5730,5,71,67,4337,66,59,200,1
29,5780,3,68,80,2053,31,73,120,0
20,5790,7,79,76,1958,70,71,40,0
5,5750,3,76,65,3644,86,59,70,1
5,5680,6,71,65,1368,75,58,100,1
11,5720,3,66,63,3539,73,54,120,0
12,5770,4,81,62,2785,49,63,100,0
19,5800,4,72,68,984,26,69,120,0
17,5780,8,92,68,1804,56,68,70,0
19,5740,6,71,69,3234,77,63,80,0
16,5730,6,64,66,3441,67,61,100,0
14,5760,6,68,70,1578,61,61,100,0
10,5770,7,59,70,1850,76,61,120,0
9,5690,8,67,64,2962,80,59,120,1
7,5650,6,66,61,2670,54,55,120,1
5,5610,3,61,52,5000,76,42,150,1
2,5570,9,81,48,5000,57,41,140,1
12,5690,5,63,59,5000,46,51,140,0
22,5760,3,58,67,987,28,64,140,0
17,5810,5,68,66,1148,43,67,140,0
26,5830,4,71,74,898,-24,78,60,0
27,5880,6,67,83,777,-1,83,30,0
14,5860,3,64,78,1279,75,72,17,0
11,5830,6,64,75,1046,69,69,80,0
23,5870,4,69,84,1167,50,74,60,0
26,5860,3,77,81,987,45,76,100,0
21,5800,3,61,79,1144,57,71,120,0
15,5800,4,69,79,977,60,71,150,0
20,5770,5,64,65,770,26,76,120,0
15,5860,4,33,81,629,-11,86,140,0
18,5870,7,38,84,337,-14,90,140,0
26,5870,4,54,83,590,26,85,120,0
19,5860,6,39,90,400,19,83,120,0
13,5880,5,43,90,580,9,87,80,0
30,5870,7,55,93,646,25,89,140,0
26,5860,4,77,88,826,41,84,140,0
15,5830,5,63,72,823,52,74,150,0
16,5820,5,65,72,2116,47,70,120,0
16,5820,8,64,70,2972,52,64,120,0
19,5860,6,68,78,2752,41,70,140,0
23,5870,3,76,87,1377,37,78,100,0
28,5890,6,71,91,1486,33,80,50,0
34,5900,6,86,87,990,22,85,40,0
33,5890,5,65,91,508,29,85,100,0
24,5910,4,73,88,1204,56,80,100,0
17,5900,5,69,83,2414,63,76,60,0
10,5860,3,64,78,2385,67,70,50,0
14,5830,3,63,79,2326,64,71,70,0
13,5850,9,72,77,3389,56,69,80,0
17,5830,6,82,81,2818,58,72,80,0
22,5810,8,69,76,2394,54,70,90,0
19,5830,4,74,78,2746,61,69,120,0
20,5830,5,69,75,2493,55,73,120,0
25,5840,7,72,82,1528,42,74,100,0
28,5870,6,73,84,111,40,78,60,0
29,5870,4,90,86,1899,45,76,40,0
23,5860,3,80,80,1289,32,75,40,0
26,5900,3,73,80,984,35,79,70,0
14,5890,4,71,84,836,28,82,80,0
13,5880,4,78,84,826,27,79,80,0
26,5890,6,80,81,1105,39,74,80,0
22,5870,8,74,85,1023,46,77,80,0
14,5820,6,63,73,2956,46,67,120,0
13,5780,6,57,72,2988,56,66,150,0
9,5770,3,55,68,4291,60,62,200,1
12,5790,4,65,65,3330,59,59,150,0
14,5840,7,65,79,1233,30,71,100,0
24,5910,5,72,81,1069,28,74,80,0
19,5890,5,79,80,984,57,73,70,0
16,5870,6,62,76,1653,71,69,60,0
7,5780,7,65,59,3930,68,59,150,1
2,5730,5,77,55,5000,73,52,200,1
4,5780,7,70,66,5000,45,51,200,1
6,5750,7,58,64,4212,46,57,200,1
12,5760,5,58,62,5000,52,50,250,0
9,5730,7,72,67,5000,31,57,300,1
15,5730,5,77,74,1545,43,66,70,0
17,5790,4,57,74,994,44,70,300,0
13,5750,3,67,70,1125,55,68,150,0
20,5880,3,73,77,636,16,74,300,0
22,5890,7,70,83,748,32,77,30,0
24,5880,4,73,81,692,44,78,100,0
26,5870,7,73,73,807,39,79,100,0
32,5900,6,71,87,869,19,79,17,0
33,5920,4,77,89,800,24,86,20,0
27,5930,3,68,92,393,6,92,4,0
38,5950,5,62,92,557,0,91,70,0
23,5950,8,61,93,620,27,86,30,0
19,5900,5,71,93,1404,33,85,70,0
19,5890,8,77,86,898,21,81,60,0
15,5860,7,71,76,377,-2,83,40,0
28,5840,5,67,81,528,17,79,50,0
10,5800,6,74,78,2818,26,73,70,0
14,5760,7,65,73,3247,10,67,140,0
26,5810,6,82,80,895,0,78,100,0
17,5850,4,67,81,721,0,80,120,0
3,5760,7,87,52,5000,39,52,150,1
14,5860,4,71,63,1965,13,61,50,0
29,5830,5,77,72,1853,10,71,70,0
18,5840,5,78,75,2342,7,71,40,0
3,5800,7,72,55,5000,56,52,70,1
9,5790,3,71,61,4028,35,55,140,1
19,5830,5,71,71,2716,26,64,140,0
8,5810,5,76,71,3671,31,66,100,1
23,5780,6,76,72,3795,31,67,70,0
13,5800,6,73,75,3120,35,67,40,0
7,5800,5,80,65,2667,17,64,100,1
3,5780,9,73,61,5000,39,53,120,1
5,5790,8,80,60,5000,36,49,120,1
11,5770,5,75,64,308,25,69,140,0
12,5750,4,68,61,2982,18,60,120,0
5,5640,5,93,63,5000,30,53,70,1
4,5640,7,57,62,5000,25,51,150,1
5,5650,3,70,59,5000,38,48,200,1
4,5710,6,65,56,5000,35,48,200,1
10,5760,6,66,59,3070,13,60,200,0
17,5840,4,73,72,830,0,72,70,0
26,5880,3,77,71,711,-9,76,40,0
30,5890,5,80,75,1049,-10,79,50,0
18,5890,4,73,71,511,-39,84,17,0
12,5890,5,19,71,5000,-40,68,80,0
7,5890,6,19,73,5000,-34,69,250,1
15,5850,3,73,78,377,-3,79,200,0
12,5830,5,76,73,862,27,74,2,0
7,5830,8,77,71,337,-17,81,20,1
28,5860,5,86,73,492,-2,82,7,0
22,5830,5,76,71,1394,13,75,30,0
18,5800,7,66,66,3146,27,64,50,0
14,5830,4,74,69,2234,11,67,70,0
24,5790,5,71,69,2109,21,70,17,0
10,5730,4,84,64,5000,23,55,80,0
14,5780,5,74,65,2270,-7,69,50,0
9,5740,7,48,54,2191,-13,69,60,1
12,5710,8,75,62,3448,12,59,60,0
7,5690,6,74,56,5000,13,49,80,1
7,5670,4,67,55,5000,11,49,50,1
6,5760,4,75,58,2719,25,57,50,1
13,5820,5,71,48,1899,21,62,40,0
5,5790,3,35,54,5000,-41,53,40,1
3,5760,5,23,57,5000,-21,51,300,1
7,5800,6,19,60,5000,-19,54,200,1
8,5810,7,59,61,2385,10,60,150,1
10,5750,4,60,63,1938,0,63,100,0
12,5840,0,38,65,590,-11,70,100,0
6,5920,3,22,71,328,-40,81,150,1
5,5860,7,19,70,5000,-29,62,300,1
20,5840,0,45,68,597,-22,74,30,0
14,5810,2,47,69,469,-4,72,50,0
16,5770,2,73,59,1541,18,63,20,0
5,5710,4,67,49,5000,24,42,200,1
3,5500,9,56,39,5000,15,42,120,1
5,5660,3,54,50,5000,27,45,300,1
1,5700,3,71,46,5000,54,43,200,1
5,5810,5,59,54,5000,-28,54,70,1
4,5860,0,25,60,5000,-38,64,140,1
11,5900,0,24,62,5000,-36,60,150,0
6,5850,5,41,65,2014,-20,70,200,1
8,5780,3,50,66,436,1,70,4,1
14,5790,0,76,66,830,3,66,40,0
18,5780,2,82,63,1112,-8,66,30,0
12,5770,2,81,62,1210,-17,68,30,0
9,5750,2,85,60,501,-22,71,2,1
7,5780,5,76,63,875,-15,69,0,1
14,5790,5,66,60,1601,7,62,30,0
4,5750,6,58,58,5000,59,42,60,1
3,5670,8,19,34,5000,-63,37,150,1
3,5760,0,19,36,5000,-52,41,100,1
3,5770,4,19,44,2280,-54,56,250,1
3,5810,2,19,53,2047,-43,64,150,1
3,5810,2,19,52,5000,-69,56,200,1
3,5870,3,19,53,3720,-50,61,200,1
3,5830,2,27,58,311,-24,70,200,1
6,5760,0,64,55,2536,28,56,80,1
6,5680,0,52,50,1154,-22,62,60,1
5,5780,4,19,48,2933,-40,60,300,1
3,5810,3,19,51,3064,-33,63,200,1
4,5760,0,32,62,826,-16,65,300,1
7,5680,0,58,40,5000,2,43,50,1
5,5750,0,26,44,111,-52,68,40,1
5,5790,5,19,49,5000,-48,55,70,1
4,5770,3,19,53,5000,-37,56,150,1
3,5750,0,19,53,5000,-26,51,150,1
2,5720,0,19,53,5000,-31,51,70,1
5,5760,3,19,55,948,-48,71,200,1
3,5780,0,19,51,5000,-50,51,120,1
4,5660,4,19,54,5000,-22,49,150,1
4,5610,2,58,48,3687,-10,47,150,1
6,5640,0,51,53,5000,0,44,60,1
6,5680,3,52,49,5000,-19,46,70,1
3,5650,5,19,48,5000,-28,45,150,1
4,5710,4,19,51,5000,-25,48,300,1
3,5680,4,57,47,508,-10,59,100,1
8,5630,4,50,50,2851,-5,50,70,1
2,5730,3,53,51,111,-14,73,200,1
3,5690,3,23,51,5000,-36,51,70,1
5,5650,3,61,50,3704,18,47,40,1
1,5550,4,85,39,5000,8,40,100,1
3,5710,4,28,40,2693,-25,48,250,1
5,5700,3,37,45,590,-24,55,100,1
5,5760,3,51,54,1450,25,57,60,1
6,5720,4,69,35,1568,15,54,60,1
4,5790,6,19,45,2631,-33,54,100,1
4,5790,3,25,55,554,-28,65,250,1
6,5700,3,73,41,2083,23,53,120,1
7,5700,3,59,44,2654,-2,48,120,1
4,5770,8,27,54,5000,-19,49,120,1
6,5720,3,44,51,111,9,63,150,1
5,5760,6,33,51,492,-44,65,40,1
4,5780,6,19,54,5000,-44,56,200,1
4,5830,3,19,58,1249,-53,76,250,1
7,5870,2,19,61,5000,-67,65,200,1
5,5840,5,19,64,5000,-40,63,200,1
9,5780,4,59,67,639,1,66,150,1
4,5680,5,73,52,393,-68,70,10,1
3,5720,4,19,54,5000,-66,55,140,1
4,5760,3,19,54,5000,-58,52,250,1
4,5730,4,26,58,5000,-26,52,200,1
5,5700,5,59,69,3044,18,53,150,1
6,5650,5,70,51,3641,23,48,140,1
9,5680,3,64,53,111,-10,60,50,1
6,5820,5,19,59,597,-52,71,70,1
6,5810,5,19,64,1791,-15,65,150,1
11,5790,3,28,63,793,-15,66,120,0
10,5800,2,32,63,531,-38,76,40,0
7,5820,5,19,62,419,-29,76,120,1
12,5770,8,76,63,816,-7,66,6,0
9,5670,3,69,54,3651,62,49,30,1
2,5590,3,76,36,5000,70,38,100,1
3,5410,6,64,31,5000,28,32,200,1
3,5350,7,62,30,1341,18,46,60,1
