@relation auto93
@attribute Manufacturer {'Acura','Audi','BMW','Buick','Cadillac','Chevrolet','Chrysler','Dodge','Eagle','Ford','Geo','Honda','Hyundai','Infiniti','Lexus','Lincoln','Mazda','Mercedes-Benz','Mercury','Mitsubishi','Nissan','Oldsmobile','Plymouth','Pontiac','Saab','Saturn','Subaru','Suzuki','Toyota','Volkswagen','Volvo'}
@attribute Type {'Compact','Large','Midsize','Small','Sporty','Van'}
@attribute City_MPG numeric
@attribute Highway_MPG numeric
@attribute Air_Bags_standard {'0','1','2'}
@attribute Drive_train_type {'0','1','2'}
@attribute Number_of_cylinders numeric
@attribute Engine_size numeric
@attribute Horsepower numeric
@attribute RPM numeric
@attribute Engine_revolutions_per_mile numeric
@attribute Manual_transmission_available {'0','1'}
@attribute Fuel_tank_capacity numeric
@attribute Passenger_capacity numeric
@attribute Length numeric
@attribute Wheelbase numeric
@attribute Width numeric
@attribute U-turn_space numeric
@attribute Rear_seat_room numeric
@attribute Luggage_capacity numeric
@attribute Weight numeric
@attribute Domestic {'0','1'}
@attribute class numeric
@attribute group {0,1}
@data
'Nissan','Small',29,33,'1','1',4,1.6,110,6000,2435,'1',13.2,5,170,96,66,33,26,12,2545,'0',11.8,1
'Nissan','Compact',24,30,'1','1',4,2.4,150,5600,2130,'1',15.9,5,181,103,67,40,28,14,3050,'0',15.7,1
'Nissan','Van',17,23,'0','1',6,3,151,4800,2065,'0',20,7,190,112,74,41,27,-2147483648,4100,'0',19.1,0
'Nissan','Midsize',21,26,'1','1',6,3,160,5200,2045,'0',18.5,5,188,104,69,41,28,14,3200,'0',21.5,0
'Oldsmobile','Compact',24,31,'0','1',4,2.3,155,6000,2380,'0',15.2,5,188,103,67,39,28,14,2910,'1',13.5,1
'Oldsmobile','Midsize',23,31,'1','1',4,2.2,110,5200,2565,'0',16.5,5,190,105,70,42,28,16,2890,'1',16.3,1
'Oldsmobile','Van',18,23,'0','1',6,3.8,170,4800,1690,'0',20,7,194,110,74,44,30,-2147483648,3715,'1',19.5,0
'Oldsmobile','Large',19,28,'1','1',6,3.8,170,4800,1570,'0',18,6,201,111,74,42,31,17,3470,'1',20.7,0
'Plymouth','Sporty',23,30,'0','2',4,1.8,92,5000,2360,'1',15.9,4,173,97,67,39,24,8,2640,'1',14.4,1
'Pontiac','Small',31,41,'0','1',4,1.6,74,5600,3130,'1',13.2,4,177,99,66,35,25,17,2350,'1',9,1
'Pontiac','Compact',23,31,'0','1',4,2,110,5200,2665,'1',15.2,5,181,101,66,39,25,13,2575,'1',11.1,1
'Pontiac','Sporty',19,28,'2','0',6,3.4,160,4600,1805,'1',15.5,4,196,101,75,43,25,13,3240,'1',17.7,0
'Pontiac','Midsize',19,27,'0','1',6,3.4,200,5000,1890,'1',16.5,5,195,108,72,41,28,16,3450,'1',18.5,0
'Pontiac','Large',19,28,'2','1',6,3.8,170,4800,1565,'0',18,6,177,111,74,43,30,18,3495,'1',24.4,0
'Saab','Compact',20,26,'1','1',4,2.1,140,6000,2910,'1',18,5,184,99,67,37,26,14,2775,'0',28.7,0
'Saturn','Small',28,38,'1','1',4,1.9,85,5000,2145,'1',12.8,5,176,102,68,40,26,12,2495,'1',11.1,1
'Subaru','Small',33,37,'0','2',3,1.2,73,5600,2875,'1',9.2,4,146,90,60,32,23,10,2045,'0',8.4,1
'Subaru','Small',25,30,'0','2',4,1.8,90,5200,3375,'1',15.9,5,175,97,65,35,27,15,2490,'0',10.9,1
'Subaru','Compact',23,30,'1','2',4,2.2,130,5600,2330,'1',15.9,5,179,102,67,37,27,14,3085,'0',19.5,0
'Suzuki','Small',39,43,'0','1',3,1.3,70,6000,3360,'1',10.6,4,161,93,63,34,27,10,1965,'0',8.6,1
'Toyota','Small',32,37,'1','1',4,1.5,82,5200,3505,'1',11.9,5,162,94,65,36,24,11,2055,'0',9.8,1
'Toyota','Sporty',25,32,'1','1',4,2.2,135,5400,2405,'1',15.9,4,174,99,69,39,23,13,2950,'0',18.4,0
'Toyota','Midsize',22,29,'1','1',4,2.2,130,5400,2340,'1',18.5,5,188,103,70,38,28,15,3030,'0',18.2,0
'Toyota','Van',18,22,'1','2',4,2.4,138,5000,2515,'1',19.8,7,187,113,71,41,35,-2147483648,3785,'0',22.7,0
'Volkswagen','Small',25,33,'0','1',4,1.8,81,5500,2550,'1',12.4,4,163,93,63,34,26,10,2240,'0',9.1,1
'Volkswagen','Van',17,21,'0','1',5,2.5,109,4500,2915,'1',21.1,7,187,115,72,38,34,-2147483648,3960,'0',19.7,0
'Volkswagen','Compact',21,30,'0','1',4,2,134,5800,2685,'1',18.5,5,180,103,67,35,31,14,2985,'0',20,0
'Volkswagen','Sporty',18,25,'0','1',6,2.8,178,5800,2385,'1',18.5,4,159,97,66,36,26,15,2810,'0',23.3,0
'Volvo','Compact',21,28,'1','0',4,2.3,114,5400,2215,'1',15.8,5,190,104,67,37,29,14,2985,'0',22.7,0
'Volvo','Midsize',20,28,'2','1',5,2.4,168,6200,2310,'1',19.3,5,184,105,69,38,30,15,3245,'0',26.7,0
