@relation dee
@attribute Hydroelectric numeric
@attribute Nuclear numeric
@attribute Coal numeric
@attribute Fuel numeric
@attribute Gas numeric
@attribute Special numeric
@attribute class numeric
@attribute group {0,1}
@data
170380,173539,171161,16252.8,24674.2,10888,2.20589,1
163292,169474,182789,20309.6,32348.7,10957,2.56002,1
155727,172762,185218,17813.6,34197.5,10542,2.03545,1
158758,172485,195032,12306.2,37469.8,9791,2.47207,1
140921,168626,177857,0,18967.2,10408,1.96765,1
145837,171697,200216,18384,31216.3,9993,4.12236,0
143097,162829,197361,37958,47108.6,9752,3.89674,0
134311,163733,201342,36983.3,53541.4,10123,3.90895,0
127643,172389,221011,33218.1,52620.7,9850,4.02099,0
119129,178550,219030,19326.6,50630,10413,3.32405,0
94601.2,172892,197017,6137.55,22221.5,10198,2.09604,1
84919,169511,175126,5989.34,15004.8,9495,1.79773,1
106940,181710,201232,17637.3,39439.1,9166,3.81473,0
112841,174227,190568,21612.8,41869,9534,3.39448,0
150122,172673,177446,17518.2,37597.9,9551,2.7289,1
173502,173392,141195,11687.1,26899.9,8998,2.15968,1
176506,162967,128097,6418.12,18572.7,8742,1.84853,1
165339,152126,89567.4,6305,12133.1,9589,0.960987,1
172518,161910,165860,8332.7,25865,9115,1.78204,1
180530,161300,162285,8367.5,27579.7,8110,1.81792,1
181733,154389,161780,5963.51,28095.8,9328,1.84554,1
163295,138952,136311,5917.41,11907.5,9217,1.85904,1
150010,144417,119162,5133.27,9892.63,9149,2.13452,1
145538,142311,179580,8063.38,25545,9371,2.51787,1
149500,139614,171480,5866.72,41343.1,9164,3.03649,0
151905,140613,170505,5801.43,27574.9,9431,3.00451,0
124480,142078,164750,4965.49,6713.44,9310,2.37613,1
131609,137988,188173,5912.13,36070.6,9252,3.19877,0
110599,138621,183065,5879.09,26131.6,8882,2.22508,1
116093,143695,192887,6002.19,38779.1,9388,3.23633,0
121900,139865,179253,5901.94,41733.4,10758,2.83681,0
100730,139326,173984,5839.45,7113.33,10849,2.40433,1
82003.1,143023,153182,5985.84,2064.71,10845,2.27033,1
113283,140823,192779,5948.66,31383.5,11461,3.75844,0
113627,141405,198537,5966.32,41732.7,10970,3.25505,0
104688,146940,189343,6315.17,43412.2,11448,3.13517,0
114440,148506,195347,5873.44,34522.3,12240,2.77649,1
95590.8,157468,145455,6255.32,0,11982,1.88574,1
134957,153716,185097,6080.48,18787.9,11441,2.47422,1
126120,149154,199565,6495.41,22143.8,11638,2.21261,1
130642,152670,187379,8936.6,20331.5,11868,2.14667,1
132015,151429,170751,4140,23589.7,10552,2.36565,1
132942,152130,165062,1903.99,18713.1,10609,2.59007,1
125627,158766,177883,2240.98,19372,11480,2.58655,1
120000,146287,194171,6445.11,26976.2,11060,2.5725,1
124565,143126,194833,9320.38,28780.6,10879,2.24424,1
123534,145821,197500,9583.1,30969.2,10562,2.57566,1
117456,149908,203245,9612.5,22077.2,10494,2.50617,1
96675.4,141761,162634,7325.52,18889.8,11249,2.01601,1
116506,155092,173134,0,10872,11633,2.40327,1
115415,157140,184303,0,15070.6,11725,2.39342,1
114560,167277,179313,0,10601.9,11025,2.2995,1
86034.1,166190,151423,0,4296.16,12080,2.09413,1
78746.8,152801,111752,0,681.644,12013,1.7285,1
103216,142308,113931,0,980.974,12018,1.96036,1
90827.6,139263,96827.4,0,2289.19,12140,1.82045,1
102000,131861,132941,0,6841.77,11912,2.03694,1
136204,142446,171006,0,17637.7,11297,2.4202,1
133652,150568,176316,0,13169.9,11137,2.47035,1
131399,158122,178054,2446.44,5677.63,11303,2.35045,1
114195,152607,169814,5713.87,4864.28,11473,2.04242,1
100055,138597,109814,0,800.86,11344,1.67901,1
130026,153559,129564,0,12550.3,10694,1.96609,1
139750,149921,143836,1569.08,10118.8,11066,2.13202,1
151393,147582,137386,0,10558.6,10766,1.8168,1
112099,137174,87366.5,0,7322.1,8888,1.69151,1
146445,149376,99627.2,0,11283,10672,2.11948,1
123189,153571,108454,0,830.934,11543,1.8381,1
92719,159306,91061.9,0,2458.74,11800,1.62473,1
137741,152334,141613,0,21169,11907,2.1057,1
142078,156647,155779,4307.56,19619.9,12097,2.23691,1
156215,146078,154821,2669.52,17667.6,12246,2.25699,1
105054,154754,152361,44.8934,6057.11,11805,2.05321,1
87045.1,148676,114246,0,8085.92,11620,1.83525,1
105428,152943,181860,6325.76,34569.5,9982,2.49441,1
100925,153313,175629,6573.14,41637.7,10176,2.53251,1
107450,145090,169750,6969.19,31542.5,10986,2.23359,1
102236,143928,179307,6519.57,31083.9,11614,2.4381,1
76643,149349,155832,3340.57,15356.4,10966,2.1727,1
68735.3,146902,109478,3678.19,23719.6,12129,1.68007,1
107175,147041,180816,9763.8,32244.2,12527,2.59703,1
113898,146898,173751,13330.2,34951.1,11681,2.77856,1
116144,142120,173316,15297,35214.5,12343,3.25564,0
113277,143640,187440,13215.2,35775.6,12595,3.23269,0
60897.9,157374,136216,1760,10020.2,12176,1.94924,1
78399.9,156931,184324,7987.93,31348,11997,3.48473,0
84501.5,145513,187673,17517.4,42649.8,11923,3.14143,0
98100.5,123089,199536,19647.5,45339.3,12532,3.58072,0
101215,130856,193412,21353.9,44293.1,12897,3.51461,0
93085.1,141693,193262,24672.8,35058.6,12814,3.86681,0
71971.7,121645,192129,17191.8,32351.7,11177,3.38977,0
48246.4,125319,191293,4087.1,32655.3,11619,2.62176,1
77292.6,123921,195372,37311.5,45609.6,12652,3.97595,0
69137.2,125835,196247,52540.6,51172.5,11578,4.2064,0
64748.5,124796,201102,53162.9,54516.9,12277,4.40494,0
53754.5,136149,194044,16630.5,49205.4,11380,3.73669,0
45959.4,136720,170898,4352.62,52820.9,11213,2.57559,1
60484.4,125255,185242,34147.8,62966.5,11342,3.56192,0
67530.6,119345,183565,59874.3,74423.2,11213,4.34402,0
92355.1,118043,191787,65886.9,66510.9,11166,4.81924,0
88635.5,120492,194975,67061.8,68409.5,11113,4.34364,0
52683.4,119118,199181,6376.4,47915.2,10466,3.51308,0
87092.9,145612,207016,49603.7,53124.3,11070,4.25188,0
86897.3,150575,211594,43073.2,59991.9,10564,3.93299,0
85407.6,144437,204773,41739.6,54185,10670,3.48783,0
92495.5,146107,194257,60374.2,55781.9,11036,3.67808,0
68022.5,162245,185311,26377.8,54708.6,11719,3.36982,0
44247.6,164260,182316,9401.7,42806.2,11647,2.25221,1
72563.7,167922,194537,37806.2,60504.1,12227,3.59718,0
72078.1,166998,191881,29455.1,71528.8,11363,3.04474,0
100556,165154,195589,53110,58724.4,11282,3.88659,0
96320.6,164871,191439,60577.6,65040.5,11222,3.78707,0
46205.2,153917,199505,4780.34,28673.4,10898,2.9788,0
77552.2,155563,212405,37301.3,45520,10711,3.68031,0
65321.2,156673,206650,43723.9,64305,10638,4.22667,0
64027.3,149331,201417,37537.2,74080.6,11456,2.82325,0
65364.7,169095,206430,21612.3,65550,10656,3.46614,0
51991.8,168856,206186,6836.6,30595.3,10402,2.48509,1
42686.6,168031,176346,4755.84,20725.3,10125,1.88338,1
80881.7,161988,207252,45438,61181.6,12516,3.34136,0
72267.5,168522,212309,57546.9,68727.3,11502,4.23803,0
67522.6,165662,209094,53089.4,68190.7,11092,4.33662,0
48739.9,167125,208599,19174.7,53758.8,11261,3.84271,0
40681.6,167113,187190,6645.15,44738.1,11102,2.47629,1
69498.9,163094,205157,46158.7,58382.8,11544,4.14754,0
67881.2,168664,219403,53732.9,59015.4,12117,4.14661,0
61793.2,176186,222488,52184.7,60652.6,11774,4.55623,0
67326.4,169719,224510,49253,61596.9,11721,4.6044,0
39727.6,158745,172958,7902.3,41210,10362,3.08476,0
76996.7,162111,206832,32894.4,63103.8,11351,4.49787,0
83333.9,165600,206695,47673.2,61947.3,12218,4.60696,0
82741.7,169789,193920,49919.4,76622.1,11758,4.88372,0
79492,169150,190808,52006.3,70044.6,11793,4.92926,0
59928.9,169654,208665,46421.9,61896.7,11805,4.52502,0
38334,168946,208367,17073.7,52944.3,11267,3.57325,0
30257.2,164695,190271,9677.9,37311.8,10855,2.42621,1
56976.5,165652,206558,46501.8,59991.7,11132,4.30393,0
49802.3,167906,211070,57442.3,69723.9,11303,4.44441,0
54252.6,167598,221658,53467.3,72976.5,11468,4.29773,0
54706.1,166132,220491,54348,72922.6,11669,4.06552,0
47781.7,167791,218489,26475.6,51444.5,13543,4.1751,0
38125.9,169420,203519,11665.7,29710.9,13620,3.6237,0
63067.4,168602,220343,45839.3,59585,12808,4.63285,0
63669,167259,227493,51963.9,63232,12377,4.98802,0
66786.8,165010,212832,59086.8,66547.7,12337,4.51785,0
62703.8,166242,218338,64833.4,67793.4,11876,4.74766,0
55566.1,167637,223361,62411.2,66958.9,13280,4.68581,0
46935.2,163778,212371,19091,50645.9,12971,3.89468,0
37298.1,162842,197343,13794.5,35518.3,12382,3.10319,0
63496.9,166323,206291,56266,55062.4,11382,5.06181,0
61937.9,168412,203308,67986.5,68160.7,11391,4.79927,0
57967.4,167394,204395,67145.7,67629.3,11386,4.65411,0
47754.1,167997,211844,60663.6,67510.9,11230,4.20809,0
36954.6,169151,192350,16542.2,45076.8,11276,3.74995,0
44003.1,171258,198570,13893,38694.6,11737,4.08326,0
34334.3,166607,196699,10072,20790.5,11856,2.74576,1
65067.3,149612,202815,37766.1,56342.6,12263,4.47261,0
55984.1,145383,201794,46229,66247.5,12088,4.14189,0
45975.6,158850,205797,38343,64153,12318,3.88872,0
44447.3,173617,215120,28877.2,65568.3,12374,3.8337,0
42457.3,173163,212528,27041.8,61670.4,12555,3.56624,0
39055.1,162225,200608,13579.4,49444.8,12251,2.63243,1
30619.1,160290,196883,7369.53,27411.6,12457,2.31852,1
47287.8,163804,211482,30888,60054.5,13077,3.6817,0
49483.9,164612,212220,35623.1,71319.3,12257,3.76466,0
41484.2,167288,221540,26155.5,71400.4,12277,3.60711,0
47668.4,173686,212013,18690.8,65984.4,12307,3.97146,0
27881.8,157243,188184,6513.48,29619.3,11752,2.18485,1
59340.5,161366,197941,37713.3,55034.2,11503,4.00095,0
59207,169197,206089,37655,64712.3,11517,4.81435,0
57859.6,163891,206241,42565,57384,12161,4.61312,0
42157.7,141079,202522,15424,60504.9,12521,4.02609,0
30513,147022,210044,6919.61,41282.8,12475,3.00515,0
51657.7,148988,229234,19930.4,65548.4,11835,4.05026,0
48814.5,149600,234833,19233.6,73929.8,11834,4.19821,0
44340.4,144773,215065,17371.9,72090,12045,2.35832,1
51058,143745,219861,16270.3,70849.4,12197,4.12121,0
35461.6,124984,208905,6384.44,23139.1,12959,2.80529,0
62675.5,119361,215805,33587.8,67083.6,13399,3.97221,0
66003.2,116531,217574,42111.6,75585.7,13833,3.60649,0
71488.7,118654,209610,51569.6,81724.9,14420,4.41967,0
42131.6,119151,223502,4451.5,57740.4,14366,3.11447,0
40478.6,117937,198261,2538.43,37563.8,14282,2.06879,1
78322.4,115606,207893,41228.1,65587.2,14516,4.04956,0
78067.6,116713,210747,47577.8,77916.3,14248,4.21058,0
76324.5,116961,218202,50827.7,80698.1,14382,5.11875,0
62028.9,116130,214557,20450.1,62717.9,14275,3.84052,0
57257.5,118513,217288,50405,78925.1,14105,4.15444,0
58407.3,138041,200249,34287.9,75368.9,14210,4.19397,0
38681.7,146761,186825,13147.3,63203.1,14070,3.16433,0
30652.9,150981,159443,6478.94,39141.9,14161,2.39823,1
61498.5,133950,205949,22332.5,70825.9,14309,4.05117,0
44469.3,128978,221285,25178.4,77888.2,14540,3.6535,0
62679,135227,227581,17403.7,63833.6,14119,4.03702,0
64015.4,132247,222417,14169.1,55401.4,13567,3.26226,0
83436.9,124906,217444,14176.9,55775.5,13836,3.62312,0
61643.8,124868,206819,1028.61,37401.5,14409,3.11875,0
37298.2,126262,192405,0,35531.5,12075,2.65464,1
75205.1,123541,201792,17931.5,59511.6,12030,3.88321,0
70135.7,125062,215592,36865.4,70654,14438,4.13404,0
61310.8,131559,221999,27253,74899.8,13427,4.07909,0
41279.8,148730,203791,8413.76,43748.8,13337,2.89231,0
31144.1,155091,178877,7236.47,31401.3,13885,2.17591,1
66804.8,154247,196157,17207.8,53063.1,14542,3.03054,0
66471.2,148880,198275,27739.2,60409.1,14326,3.64404,0
63882.8,149256,208243,27790.8,58954.1,13856,3.95571,0
63326.9,152798,196286,9348.34,30025.9,14353,3.3186,0
53530.5,145518,168958,9517.96,26047.9,14718,2.4989,1
92885.6,144161,201127,26157,49777.9,15262,4.1939,0
73279,176666,204627,19916.5,54127.8,12861,2.96751,0
79880,172226,194140,16284.2,44195,13158,2.66678,1
74297,183421,151230,8528.64,6736.05,12361,2.2336,1
65899.8,182958,142836,6005.65,7294.94,13110,2.21485,1
95110.9,179745,195945,14793.3,52028.6,12891,3.4497,0
91157.8,173332,211993,16468.7,55807.7,13184,3.2357,0
93318.4,163295,204819,17091.6,56626.6,11740,3.05575,0
106148,152550,200310,17163.3,59514.9,12382,2.98392,0
100934,167726,201212,11546.2,53495.1,13882,3.12349,0
64345.6,179695,187628,8404.86,39688.7,13625,2.89845,0
55640.1,181868,162385,3944.69,20227.8,13991,2.38016,1
99270.5,175174,197483,8671.63,43636.5,14076,3.11333,0
99442.6,176457,207212,11809.6,58829.9,13569,2.84396,0
93406.6,175094,202439,13732.6,59207.7,13811,2.84326,0
76963.5,177090,173704,8027.85,37416.5,14315,2.62054,1
72621.5,173577,135842,6204.55,22526.3,13720,1.83238,1
109162,177075,171452,11558.6,48428.3,13620,2.34377,1
113736,170646,192576,12966.9,56314.6,13701,2.71846,1
122083,168587,203287,13701.2,52674.7,13938,2.42807,1
126836,169283,203663,11297.8,56377,11922,2.93009,0
119110,175974,196978,9048.11,52981.6,12628,2.75706,1
84643.5,178440,174761,8703.35,16433.6,12852,2.48834,1
134625,171156,182985,15525.9,43333.7,13018,2.54192,1
142101,176171,184799,18058.9,41375,12095,2.32902,1
141067,172548,187628,16570.8,28467.4,13169,2.71989,1
114800,175518,161990,6353.76,12237.1,12869,2.28675,1
104118,176606,119897,6528.36,6349.15,12477,1.85067,1
157055,161870,160801,16028.6,35061.9,13884,1.8952,1
159795,168571,193359,17329.1,55332.7,14084,2.82287,0
164042,170119,193373,21788.7,57254.4,13891,2.97633,0
169042,176674,175796,20992.2,49093.2,13911,2.53167,1
165630,171092,133303,6093.01,4121.46,13782,2.06849,1
158499,174473,113437,6469.85,1628.43,13918,1.87801,1
166691,169387,127840,6266.98,3069.61,14254,1.96399,1
170717,172028,190312,23401.5,62375,13227,3.2984,0
165608,173858,199218,22549.1,56126.5,12971,2.90098,0
155313,176860,149264,9994.27,18958.3,13128,2.268,1
169047,182229,165000,20540,35640.7,13526,2.23376,1
163533,173863,192285,23801,55065,13835,2.65842,1
160804,171392,193737,20046.4,38465.8,15547,1.6984,1
166824,175563,193745,18903,37661.2,15229,2.47074,1
145505,170738,164125,5584.4,5297.98,15940,2.07865,1
129482,174271,129081,6352.87,1957.91,15925,1.67147,1
149569,175344,144693,12887.6,24285.2,16357,1.81222,1
156303,174563,158795,8579.52,27278,14887,2.00228,1
129342,177287,124973,6030.14,5889.54,13023,1.42735,1
124726,183397,126596,6072.95,9670.8,14116,2.54653,1
120149,164574,117496,5215.38,6711.5,14318,1.87193,1
101577,168244,115724,4408.39,2264.44,15389,1.79736,1
116309,178601,155197,10920.5,22042.7,15109,2.40335,1
121491,181619,144875,11030.9,24745.9,14761,1.99174,1
154571,182180,33537,4963.88,0,5630,0.765853,1
191691,177717,56528.3,6157.88,0,8324,1.61709,1
187945,179224,140881,5208.74,16628.2,8826,1.87444,1
170242,176367,201165,37503.1,10862.8,7700,3.48928,0
144906,180711,136896,1453.89,0,7449,1.3288,1
151017,178514,187563,24604.4,19834.4,7070,2.13306,1
163063,177445,132722,6257.35,11992.7,7475,1.61606,1
149087,148350,144864,9066.5,1781.42,10208,1.78434,1
154110,171142,190515,17831.4,36734.9,10583,2.33082,1
123606,171504,173861,0,6950.29,10313,2.06716,1
175491,168194,156442,18313.2,21957.7,10262,1.54912,1
185484,170355,140182,12438.9,21384.5,9251,2.32848,1
181480,164466,157650,13904.4,22813.6,8713,1.83484,1
172963,139915,167767,6955.2,21323.7,8678,2.26839,1
158342,138540,168346,5623.44,27861.8,9344,2.17487,1
105836,148476,131649,4112.91,4661.19,9301,2.17032,1
126910,142827,173434,5434.28,30677.9,9356,4.14838,0
123984,142033,181550,6127.47,44832.2,11237,3.27322,0
115336,151694,177387,6021.38,5369.65,11986,2.24068,1
112108,153029,140531,0,6504.34,10517,2.18537,1
86463.3,155651,122897,211.997,4902.04,11191,1.8312,1
69119.8,160912,135130,9.9189,1766.62,11333,1.72036,1
108444,154760,126614,25.3421,2742.79,11538,1.81688,1
137928,156219,149833,4968.03,14658.2,11288,2.09066,1
142590,152259,175601,2018.07,13172.5,11793,2.22464,1
116123,150104,168863,4583.57,19575.1,10758,2.5444,1
108789,148989,173104,9750.08,24408.3,12616,2.64659,1
62772.2,144800,181667,3807.21,22768.6,12297,2.31615,1
73583.4,126361,200252,54026.8,55805.4,11930,4.45596,0
70312.3,130864,193201,53914,62919.5,11988,4.4184,0
82773.8,118264,190864,63101.3,71503.6,11281,4.58652,0
66095.1,121080,195422,23690.4,69462,10814,4.0713,0
99429.8,125937,204207,50159.4,53067.9,11064,4.33837,0
79989.4,171302,198078,51799.3,72268.1,10930,4.03569,0
71805.8,149303,199553,22398.3,50286.2,11053,3.3829,0
57080.7,156909,207679,30063.9,76711.3,10821,3.82169,0
72009.6,163803,200045,30853.1,52471.3,10929,3.48381,0
73390.9,166138,212488,55017.9,61546.4,12365,3.98641,0
60805.1,166566,224252,42200.3,63524.2,10889,4.02768,0
47539.5,159098,204316,14439.7,50024.6,10443,3.42371,0
59599.9,163995,220774,46064.4,70375.6,13094,4.18805,0
43291.7,168962,220257,33063.7,71041.5,12464,4.21788,0
38027,158766,197959,7050.11,43419.4,13259,2.91001,0
60416.8,163176,201606,36483.9,60373,11462,4.55163,0
63515.7,154576,211435,47265.7,53683.7,12412,4.58351,0
53114.4,143601,219273,24965.3,79383.7,11902,4.00929,0
53308.4,130997,197042,5577.08,46182.3,12981,2.10912,1
67161.9,115886,213105,44545.1,83762.7,14019,3.90614,0
66328.2,122245,220162,38774.4,84452.2,13849,4.31132,0
68643,116128,211931,52131.5,77341.9,14530,4.09474,0
77360.1,114760,215188,53279.7,78219.7,14507,4.99235,0
34111.4,116452,211378,6378.88,41674.1,14065,2.89857,0
65358.8,116582,209820,43004.8,71963.8,14257,4.75986,0
47263.1,125408,218817,46716.1,74618.8,13956,4.00831,0
50043,134704,219685,38468.4,74637.6,14372,3.99862,0
80264,125600,208545,29729.5,64423.7,14382,4.85385,0
60221.8,141099,221512,20197.2,73884.1,14264,3.96876,0
74174.5,152797,211751,26115.9,57083.6,14617,3.38268,0
80317.3,155685,215776,17651.7,55888.7,14400,3.19168,0
77131.6,155512,211638,30836,60790.9,14926,3.99721,0
70348.8,171131,214682,25283.4,59491.6,14376,3.94761,0
85104.8,174706,206714,10804.5,53137.2,14231,2.70608,1
103814,174475,201098,9147.51,56099,14473,3.07069,0
83162.4,179865,142319,6576.19,6939.88,13068,2.37434,1
132774,170147,196610,19177.4,44171.3,12751,2.11697,1
140675,173080,179470,16057,27923,13167,2.50409,1
160345,166614,189754,20854.1,53318.4,13523,2.75503,1
173467,169555,185398,15964.6,42709.1,13868,2.83895,0
169322,178653,185004,16895.3,53582.5,12893,2.46265,1
139186,179138,122708,8628.45,6884.8,12382,2.01027,1
162721,174891,182417,16296.3,31574.6,15540,2.12432,1
109797,172697,96596.3,5803.86,3245.38,11801,2.06576,1
130802,179072,127273,5733.01,5344.81,12929,1.43698,1
