@relation csb.ch07.halibut
@attribute survival_time numeric
@attribute survival_status numeric
@attribute TOWD {'100','30'}
@attribute DELDEPTH numeric
@attribute LENGTH numeric
@attribute HANDTIME numeric
@attribute LOGCAT numeric
@attribute group {'1','2'}
@data
157.4,1,'30',5,46,3,3.062,'2'
29.5,1,'30',5,32,2,3.049,'1'
63.8,1,'30',5,33,3,3.049,'2'
37.5,1,'30',5,47,3,3.049,'2'
48.5,1,'30',5,42,4,3.049,'2'
132.5,1,'30',5,44,4,3.049,'2'
23.5,1,'30',5,37,4,3.049,'1'
27.5,1,'30',5,32,5,3.049,'1'
72,1,'30',2,38,6,6.311,'2'
1200,0,'30',2,45,11,6.311,'2'
216,1,'30',2,57,12,6.311,'2'
20.6,1,'30',5,44,2,4.126,'1'
30.6,1,'30',5,50,2,4.126,'2'
10.6,1,'30',5,43,3,4.126,'1'
22.1,1,'30',5,49,3,4.126,'1'
123.6,1,'30',5,43,3,4.126,'2'
22.1,1,'30',5,41,4,4.126,'1'
264,1,'30',5,43,4,4.126,'2'
30.6,1,'30',5,41,5,4.126,'2'
14.6,1,'30',5,45,5,4.126,'1'
11.2,1,'30',5,37,5,4.126,'1'
28.6,1,'30',5,42,6,4.126,'1'
30.6,1,'30',5,44,6,4.126,'2'
17.5,1,'30',5,41,7,4.126,'1'
22,1,'30',5,44,7,4.126,'1'
20.5,1,'30',5,42,8,4.126,'1'
30.5,1,'30',5,40,8,4.126,'2'
17,1,'30',5,31,9,4.126,'1'
22,1,'30',5,33,9,4.126,'1'
28.6,1,'30',5,48,3,3.786,'1'
20.1,1,'30',5,46,3,3.786,'1'
20.1,1,'30',5,33,4,3.786,'1'
18.6,1,'30',5,32,4,3.786,'1'
17.6,1,'30',5,32,5,3.786,'1'
18.6,1,'30',5,46,5,3.786,'1'
18.5,1,'30',5,44,6,3.786,'1'
26.5,1,'30',5,46,6,3.786,'1'
16.5,1,'30',5,41,7,3.786,'1'
18.5,1,'30',5,34,8,3.786,'1'
28.5,1,'30',5,40,8,3.786,'1'
18.5,1,'30',5,32,9,3.786,'1'
20,1,'30',5,43,9,3.786,'1'
18.5,1,'30',5,41,9,3.786,'1'
18.5,1,'30',5,38,9,3.786,'1'
356,1,'30',6,40,14,8.029,'2'
1200,0,'30',6,46,15,8.029,'2'
188,1,'30',6,41,15,8.029,'2'
120.2,1,'30',6,41,22,8.029,'2'
188,1,'30',6,34,25,8.029,'2'
5.3,1,'30',6,43,27,8.029,'1'
260,1,'30',6,40,28,8.029,'2'
185,1,'30',15,36,4,5.685,'2'
185,1,'30',15,46,4,5.685,'2'
713,1,'30',15,42,4,5.685,'2'
1200,0,'30',15,47,5,5.685,'2'
353,1,'30',15,39,5,5.685,'2'
377,1,'30',15,38,5,5.685,'2'
185,1,'30',15,37,6,5.685,'2'
185,1,'30',15,41,6,5.685,'2'
353,1,'30',15,40,6,5.685,'2'
117,1,'30',15,38,7,5.685,'2'
905,1,'30',15,35,7,5.685,'2'
117,1,'30',15,36,7,5.685,'2'
29.5,1,'100',5,46,26,8.69,'1'
11,1,'100',5,44,29,8.69,'1'
1.5,1,'100',5,44,35,8.69,'1'
29.5,1,'100',5,49,38,8.69,'1'
15,1,'100',10,42,4,5.323,'1'
64,0,'100',10,53,4,5.323,'2'
156,1,'100',10,42,4,5.323,'2'
64,0,'100',10,57,4,5.323,'2'
500,1,'100',10,44,4,5.323,'2'
131,1,'100',10,44,4,5.323,'2'
59,0,'100',10,48,4,5.323,'2'
64,0,'100',10,40,4,5.323,'2'
17.3,1,'100',10,47,4,5.323,'1'
16,1,'100',10,48,4,5.323,'1'
21,1,'100',10,46,4,5.323,'1'
16.2,1,'100',10,48,4,5.323,'1'
16.2,1,'100',10,43,4,5.323,'1'
162.1,1,'100',10,41,4,5.323,'2'
21,1,'100',10,43,4,5.323,'1'
64,0,'100',10,50,4,5.323,'2'
64,0,'100',10,53,9,5.323,'2'
240,1,'100',10,50,9,5.323,'2'
404,1,'100',10,46,9,5.323,'2'
126,1,'100',10,46,9,5.323,'2'
15,1,'100',10,36,9,5.323,'1'
125,1,'100',10,44,9,5.323,'2'
16,1,'100',10,42,9,5.323,'1'
122,1,'100',10,44,9,5.323,'2'
126,1,'100',10,45,9,5.323,'2'
122,1,'100',10,43,9,5.323,'2'
21,1,'100',10,40,9,5.323,'1'
1196,1,'100',10,44,14,5.323,'2'
1097,1,'100',6,48,6,4.059,'2'
61.5,0,'100',6,57,6,4.059,'2'
23.5,1,'100',6,44,8,4.059,'1'
61.5,1,'100',6,41,9,4.059,'2'
19.5,1,'100',6,44,9,4.059,'1'
61.5,0,'100',6,53,12,4.059,'2'
183,1,'100',6,42,14,4.059,'2'
108.5,1,'100',6,45,14,4.059,'2'
61.5,0,'100',6,45,15,4.059,'2'
4,1,'100',6,42,16,4.059,'1'
21.4,1,'100',6,49,17,4.059,'1'
20.4,1,'100',6,46,17,4.059,'1'
185.2,1,'100',6,49,18,4.059,'2'
23.4,1,'100',6,39,18,4.059,'1'
13.3,1,'100',6,43,19,4.059,'1'
13.1,1,'100',6,33,19,4.059,'1'
17.3,1,'100',6,36,19,4.059,'1'
15.4,1,'100',6,47,20,4.059,'1'
13,1,'100',6,36,20,4.059,'1'
19.3,1,'100',6,36,21,4.059,'1'
16.4,1,'100',6,44,21,4.059,'1'
13.2,1,'100',6,39,22,4.059,'1'
13.2,1,'100',6,46,22,4.059,'1'
13.3,1,'100',6,40,22,4.059,'1'
17.2,1,'100',6,44,23,4.059,'1'
108.2,1,'100',6,35,24,4.059,'2'
15.2,1,'100',6,43,25,4.059,'1'
23.2,1,'100',6,32,26,4.059,'1'
4.2,1,'100',6,34,27,4.059,'1'
20.2,1,'100',6,47,26,4.059,'1'
81,1,'100',2,50,5,3.979,'2'
59,0,'100',2,54,5,3.979,'2'
2,1,'100',2,43,11,3.979,'1'
120.1,1,'100',2,51,12,3.979,'2'
11.1,1,'100',2,47,12,3.979,'1'
39.9,1,'100',8,54,7,4.875,'2'
99.9,1,'100',8,42,7,4.875,'2'
35.9,1,'100',8,47,7,4.875,'2'
77.9,1,'100',8,32,7,4.875,'2'
36.9,1,'100',8,44,7,4.875,'2'
99.9,1,'100',8,34,7,4.875,'2'
163.7,1,'100',8,36,7,4.875,'2'
39.9,1,'100',8,50,7,4.875,'2'
39.9,1,'100',8,48,7,4.875,'2'
176.1,1,'100',8,45,7,4.875,'2'
141.1,1,'100',8,45,7,4.875,'2'
72.9,1,'100',8,35,7,4.875,'2'
33.9,1,'100',8,48,11,4.875,'2'
39.8,1,'100',8,44,11,4.875,'2'
29.8,1,'100',8,39,11,4.875,'2'
37.8,1,'100',8,46,12,4.875,'2'
40,1,'100',8,51,12,4.875,'2'
30,1,'100',8,45,12,4.875,'2'
29.5,1,'100',8,42,13,4.875,'1'
29.8,1,'100',8,43,14,4.875,'2'
29.8,1,'100',8,45,14,4.875,'2'
36.8,1,'100',8,46,14,4.875,'2'
39.8,1,'100',8,33,14,4.875,'2'
30,1,'100',8,45,14,4.875,'2'
31.1,1,'100',8,38,14,4.875,'2'
33.8,1,'100',8,44,16,4.875,'2'
33.8,1,'100',8,47,17,4.875,'2'
31.8,1,'100',8,45,17,4.875,'2'
32.9,1,'100',8,33,17,4.875,'2'
30,1,'100',8,40,17,4.875,'2'
29.8,1,'100',8,43,17,4.875,'2'
29.8,1,'100',8,46,17,4.875,'2'
35.8,1,'100',8,48,17,4.875,'2'
36.8,1,'100',8,47,17,4.875,'2'
29.8,1,'100',8,35,17,4.875,'2'
60.8,0,'100',8,53,17,4.875,'2'
32,1,'100',8,41,17,4.875,'2'
29.8,1,'100',8,45,17,4.875,'2'
36.7,1,'100',8,45,22,4.875,'2'
29.8,1,'100',8,46,22,4.875,'2'
96,1,'100',23,42,3,7.029,'2'
3,1,'100',23,45,8,7.029,'1'
9.3,1,'100',23,52,8,7.029,'1'
51.3,0,'100',23,50,8,7.029,'2'
5.3,1,'100',23,47,13,7.029,'1'
3.2,1,'100',23,45,13,7.029,'1'
3.3,1,'100',23,46,13,7.029,'1'
3.2,1,'100',23,38,13,7.029,'1'
3.1,1,'100',23,33,18,7.029,'1'
3.1,1,'100',23,34,18,7.029,'1'
3.1,1,'100',23,45,18,7.029,'1'
51,0,'100',23,54,18,7.029,'2'
3,1,'100',23,49,23,7.029,'1'
5.2,1,'100',23,39,23,7.029,'1'
3,1,'100',23,43,23,7.029,'1'
3,1,'100',23,46,23,7.029,'1'
3.2,1,'100',23,43,23,7.029,'1'
13,1,'100',23,39,23,7.029,'1'
4.2,1,'100',23,45,28,7.029,'1'
5,1,'100',23,33,28,7.029,'1'
33.9,1,'100',23,42,28,7.029,'2'
7.9,1,'100',23,43,28,7.029,'1'
2.5,1,'100',23,41,28,7.029,'1'
8,1,'100',23,52,28,7.029,'1'
2.7,1,'100',23,37,28,7.029,'1'
2.9,1,'100',23,42,28,7.029,'1'
4,1,'100',23,36,33,7.029,'1'
7.8,1,'100',23,35,33,7.029,'1'
2.6,1,'100',23,33,33,7.029,'1'
2.8,1,'100',23,37,36,7.029,'1'
2.6,1,'100',23,43,36,7.029,'1'
2.8,1,'100',23,36,36,7.029,'1'
10.5,1,'100',10,42,4,4.203,'1'
23.5,1,'100',10,53,4,4.203,'1'
11.8,1,'100',10,48,4,4.203,'1'
23.5,1,'100',10,50,4,4.203,'1'
10.5,1,'100',10,49,6,4.203,'1'
39.4,1,'100',10,53,6,4.203,'2'
1.5,1,'100',10,38,7,4.203,'1'
11.8,1,'100',10,51,8,4.203,'1'
11.8,1,'100',10,49,8,4.203,'1'
1.5,1,'100',10,37,9,4.203,'1'
1.5,1,'100',10,49,9,4.203,'1'
10.4,1,'100',10,49,10,4.203,'1'
1.7,1,'100',10,45,10,4.203,'1'
10.4,1,'100',10,46,11,4.203,'1'
82.3,1,'100',10,41,12,4.203,'2'
10.4,1,'100',10,46,12,4.203,'1'
1.5,1,'100',10,48,12,4.203,'1'
10.4,1,'100',10,48,13,4.203,'1'
11.7,1,'100',10,55,13,4.203,'1'
1.4,1,'100',10,37,14,4.203,'1'
159,1,'100',10,34,15,4.203,'2'
1.4,1,'100',10,34,15,4.203,'1'
11.6,1,'100',10,53,16,4.203,'1'
23.2,1,'100',10,44,16,4.203,'1'
3.2,1,'100',10,37,16,4.203,'1'
1.5,1,'100',10,34,16,4.203,'1'
102.2,1,'100',10,36,17,4.203,'2'
82.2,1,'100',10,31,18,4.203,'2'
1.4,1,'100',10,34,18,4.203,'1'
3.2,1,'100',10,30,19,4.203,'1'
1.3,1,'100',10,42,19,4.203,'1'
1.3,1,'100',10,33,20,4.203,'1'
1.2,1,'100',10,34,20,4.203,'1'
23.2,1,'100',10,37,20,4.203,'1'
1.3,1,'100',10,38,21,4.203,'1'
3.2,1,'100',10,32,21,4.203,'1'
1.1,1,'100',10,30,21,4.203,'1'
23.1,1,'100',10,29,22,4.203,'1'
1.3,1,'100',10,32,22,4.203,'1'
108.1,1,'100',10,30,22,4.203,'2'
1.9,1,'100',49,51,14,7.164,'1'
1.6,1,'100',49,51,30,7.164,'1'
51.4,0,'100',58,57,21,5.805,'2'
52,1,'100',58,52,25,5.805,'2'
51.4,1,'100',58,53,30,5.805,'2'
